brid	AVERAGE
Brahy.S05G0035300	-3.036425812
Brahy.D03G0124600	-4.452491382
Brahy.D01G0658700	2.297508252
Brahy.S01G0092900	-3.038828319
Brahy.S02G0418400	2.522350409
Brahy.S01G0135500	-2.422917509
Brahy.S08G0190800	3.51359627
Brahy.S01G0382900	-3.784501378
Brahy.D02G0632600	-2.164121194
Brahy.D01G0201900	-1.751346153
Brahy.S09G0122900	3.336165123
Brahy.D04G0451500	-4.057707049
Brahy.D01G0847100	-5.196152734
Brahy.S01G0146100	-1.887641185
Brahy.S05G0247800	-2.384641331
Brahy.D01G0169200	-1.965001338
Brahy.D03G0298400	-2.878387391
Brahy.D01G0620200	-5.641970331
Brahy.S05G0145200	1.933997982
Brahy.D01G0264900	-2.940914225
Brahy.D02G0307300	7.089518508
Brahy.S09G0127300	-2.03565901
Brahy.S06G0020000	-1.826705666
Brahy.S06G0055000	-8.314417592
Brahy.S07G0039900	2.189658541
Brahy.S05G0269800	-2.72510355
Brahy.S02G0248600	-2.321259641
Brahy.S06G0121500	-0.442102622
Brahy.D03G0655300	-1.850451799
Brahy.S01G0311400	-3.421020277
Brahy.S02G0343000	-2.950447268
Brahy.S01G0182200	-6.24851103
Brahy.S01G0083300	2.700381391
Brahy.D05G0309200	4.492815271
Brahy.D01G0626300	-2.84402999
Brahy.D01G0935000	-1.854834041
Brahy.D02G0037100	3.728778042
Brahy.D03G0109300	3.406172571
Brahy.D05G0168500	2.602924961
Brahy.D05G0191100	-2.532377995
Brahy.S09G0037300	2.918899123
Brahy.S02G0121500	-2.05371989
Brahy.D04G0611900	-1.636569919
Brahy.D01G0601500	-5.838480203
Brahy.D01G1009400	-0.463199263
Brahy.D02G0089400	-1.841442083
Brahy.D02G0712100	-4.218194827
Brahy.D03G0323300	-3.90824665
Brahy.D03G0783400	3.352703293
Brahy.S06G0013300	-2.421937735
Brahy.D04G0077800	3.387135247
Brahy.S06G0041600	-2.154606986
Brahy.D03G0459100	-1.873716905
Brahy.D04G0485200	-4.188871618
Brahy.S02G0271100	-3.057301055
Brahy.D03G0568100	-2.319546467
Brahy.S01G0026900	-3.283641232
Brahy.D02G0775300	-2.718797893
Brahy.D01G0518000	-2.981390097
Brahy.S01G0100600	-3.67322821
Brahy.D02G0814300	-3.851334572
Brahy.S06G0114300	-3.44842325
Brahy.D03G0749500	-2.026493933
Brahy.D05G0261200	-2.572436071
Brahy.S04G0076400	-1.973967198
Brahy.S08G0095100	-1.933996962
Brahy.S01G0292200	-2.901223625
Brahy.D03G0205600	-2.738060203
Brahy.D01G0311400	-2.965663736
Brahy.D03G0783600	3.263354468
Brahy.D01G0454800	4.688645192
Brahy.S04G0140000	-2.338170736
Brahy.D03G0505300	-2.285351922
Brahy.D04G0624700	-7.684583046
Brahy.S02G0254200	2.888127968
Brahy.S08G0022400	-2.65964167
Brahy.D01G1035500	-8.81302048
Brahy.S01G0158300	-3.080204365
Brahy.D04G0307600	-1.624431698
Brahy.D02G0673600	-2.538853751
Brahy.S10G0198300	-2.24275847
Brahy.S02G0107400	-2.944635378
Brahy.D02G0783900	-2.897316701
Brahy.D03G0505200	-3.094057364
Brahy.D05G0309300	3.232183169
Brahy.S09G0248400	5.178325811
Brahy.S10G0025800	2.527801831
Brahy.D01G0638700	-2.190299681
Brahy.S06G0108900	5.982314863
Brahy.S03G0213400	-2.145498082
Brahy.D03G0589100	-1.737410376
Brahy.S08G0145700	-1.514702609
Brahy.S03G0265300	-3.850205429
Brahy.S07G0117000	-2.686673483
Brahy.D03G0083900	2.547252356
Brahy.D01G0303000	2.411724694
Brahy.S02G0150900	-8.108789076
Brahy.D01G0770900	-8.944457462
Brahy.D01G0193100	-3.320412198
Brahy.D01G0570500	-2.599650162
Brahy.D01G0005800	2.231903597
Brahy.S05G0326400	-2.561593697
Brahy.S02G0322400	-4.216094796
Brahy.S04G0330600	-3.152227299
Brahy.S04G0264400	-2.435607023
Brahy.S09G0177400	-1.765303975
Brahy.D01G0157200	-2.896151375
Brahy.S02G0148200	-5.267898008
Brahy.D01G0979700	-1.78020042
Brahy.S03G0278600	2.171082388
Brahy.S05G0280000	2.768413306
Brahy.D03G0056400	-2.988676897
Brahy.D03G0805100	3.310323196
Brahy.D03G0309300	5.576031414
Brahy.S02G0037500	-2.769096629
Brahy.D05G0325400	-2.989770826
Brahy.S06G0026100	-1.869851968
Brahy.S07G0029200	-1.616572891
Brahy.D04G0587600	-1.818430234
Brahy.S05G0130400	-5.271465405
Brahy.S06G0098500	6.297700183
Brahy.S04G0146500	3.319225675
Brahy.S07G0024500	-5.667324266
Brahy.D02G0648800	-2.553566357
Brahy.S10G0041500	-1.83896293
Brahy.S01G0127600	-2.498175486
Brahy.D02G0689400	-2.188911216
Brahy.S05G0317700	-1.765714025
Brahy.D03G0298100	-1.998470725
Brahy.S02G0151400	-2.20847081
Brahy.D01G0381300	-2.941403061
Brahy.D04G0357100	-2.711828687
Brahy.D01G0901900	-3.300937135
Brahy.S08G0257100	-2.614597525
Brahy.D01G0405200	-4.251350469
Brahy.S04G0116900	-5.016370131
Brahy.S09G0274400	3.884362042
Brahy.D02G0137200	-1.917261176
Brahy.D05G0147300	-1.743809478
Brahy.S10G0142900	-1.853840464
Brahy.S02G0100700	-2.036372627
Brahy.D05G0134000	-1.924160305
Brahy.S03G0255700	1.685919523
Brahy.S04G0339200	-2.947379091
Brahy.S03G0246500	-2.127139439
Brahy.D03G0136800	-1.745789429
Brahy.S03G0188900	-2.192273689
Brahy.S06G0079500	2.390441313
Brahy.S04G0014800	-3.99060257
Brahy.D03G0698000	-2.304944031
Brahy.S05G0055700	4.503715178
Brahy.S03G0183700	-2.701349608
Brahy.D04G0645400	-2.620758856
Brahy.S05G0236400	-2.703739098
Brahy.D02G0312300	-2.023038635
Brahy.S09G0134500	-2.215374317
Brahy.S10G0064500	-0.810129589
Brahy.S01G0150300	-2.119738596
Brahy.S03G0287900	-4.701773261
Brahy.S09G0103900	-2.327230215
Brahy.S05G0076900	-4.531283529
Brahy.S06G0225800	-1.803933524
Brahy.D01G0909400	3.527652676
Brahy.D04G0051300	-1.809505902
Brahy.S04G0076300	-3.623092146
Brahy.D04G0487500	-2.712206759
Brahy.S02G0385600	-1.934661203
Brahy.S03G0067400	-2.115124668
Brahy.S06G0091100	0.738503659
Brahy.S02G0062500	2.25498828
Brahy.S01G0135600	-4.729623555
Brahy.D01G0078700	-2.740722912
Brahy.D01G0065600	-1.991681522
Brahy.D01G0332600	3.82595863
Brahy.D04G0433100	2.298060874
Brahy.D04G0372000	-3.344710628
Brahy.S05G0295700	-6.359921063
Brahy.D01G0608100	-3.257074661
Brahy.D05G0181600	-1.867507436
Brahy.D04G0075000	-2.493269539
Brahy.S03G0200700	-2.246373883
Brahy.D02G0167300	-2.07253974
Brahy.D04G0237200	-1.956989411
Brahy.D03G0072700	-2.88939373
Brahy.S10G0127800	1.95940524
Brahy.D03G0536400	-2.750493476
Brahy.D01G0419800	-1.656677466
Brahy.D01G0113900	-4.204932431
Brahy.S01G0049800	-3.404289086
Brahy.D02G0716400	1.690288178
Brahy.D04G0561600	-2.429379097
Brahy.S09G0233800	4.009655774
Brahy.D01G0094600	2.628971036
Brahy.S07G0028100	-2.053892596
Brahy.D05G0244900	-3.161770646
Brahy.S06G0022900	-2.814248756
Brahy.D03G0502200	-2.99885105
Brahy.D02G0659600	-2.088538349
Brahy.D02G0583700	-1.875825901
Brahy.D01G0338400	-3.331774057
Brahy.S04G0111600	-3.135023136
Brahy.D01G0952100	-2.114347558
Brahy.D01G0331800	-2.255732315
Brahy.D01G0285200	-8.596458223
Brahy.S06G0114500	-2.338705298
Brahy.D01G0509800	-2.801853727
Brahy.S03G0053400	-1.895742281
Brahy.D03G0461600	-2.503465172
Brahy.D04G0522300	2.56004086
Brahy.S10G0157100	-2.073464864
Brahy.S03G0196200	-3.657600859
Brahy.S08G0192000	-2.23850442
Brahy.S05G0181500	-3.457898583
Brahy.S01G0033900	-2.68441672
Brahy.D03G0443900	-2.414305317
Brahy.S01G0231500	-4.214581255
Brahy.S02G0171700	-1.744233871
Brahy.D02G0697700	-1.513972564
Brahy.D01G0845900	-2.191445396
Brahy.D04G0577400	2.364792807
Brahy.D03G0738400	-4.384031078
Brahy.S09G0237600	2.214724286
Brahy.S09G0065000	1.983634402
Brahy.S10G0044300	8.34928065
Brahy.D01G0036900	-1.739017438
Brahy.S02G0152200	-2.426409254
Brahy.D03G0627800	-2.518718468
Brahy.D03G0417000	-3.161960967
Brahy.S02G0374400	-3.361504792
Brahy.D05G0213600	5.436323586
Brahy.D05G0191200	-2.541311589
Brahy.D02G0746900	1.718344239
Brahy.D01G0191700	-2.554232128
Brahy.S01G0280000	2.299071017
Brahy.D01G1032800	-2.200806637
Brahy.D02G0061200	0.423116575
Brahy.S09G0270600	3.595081161
Brahy.S03G0096600	-4.581332585
Brahy.D04G0185500	-2.250122589
Brahy.S08G0064300	-2.2421689
Brahy.S01G0033800	-1.86625304
Brahy.S01G0284700	-2.817272769
Brahy.S02G0023900	-3.495414967
Brahy.D02G0797900	1.852182191
Brahy.S01G0282600	-1.923976206
Brahy.S05G0329200	1.958249937
Brahy.S01G0059900	3.654917171
Brahy.S01G0127500	-1.747588616
Brahy.S09G0186600	-4.300240781
Brahy.D01G0682600	-3.379727963
Brahy.D02G0102500	0.334811095
Brahy.D05G0351100	2.208334761
Brahy.D01G0648400	-2.540151065
Brahy.S02G0383400	0.854449102
Brahy.S02G0258800	2.198338713
Brahy.D05G0032700	-1.877601457
Brahy.D01G0306900	-6.506045393
Brahy.D01G0241600	-2.706348669
Brahy.D03G0134000	-3.261557805
Brahy.D01G0825900	-3.570056117
Brahy.S03G0228000	-2.244795049
Brahy.S05G0239000	-1.696526954
Brahy.D05G0290600	-2.611100233
Brahy.D02G0678000	-1.613445229
Brahy.D03G0266600	-1.836763526
Brahy.D03G0636400	3.016469864
Brahy.D01G0671500	-1.759121981
Brahy.S07G0243300	-0.772618016
Brahy.S05G0128900	-2.952280948
Brahy.D04G0069900	-2.071516088
Brahy.S08G0233900	-0.246064197
Brahy.D01G0425900	-1.790206389
Brahy.D03G0485600	2.028958639
Brahy.D01G0576200	-1.957404131
Brahy.S01G0035300	-3.276884799
Brahy.D03G0734800	-3.078864765
Brahy.D02G0772800	3.433509375
Brahy.D05G0145600	-1.992549089
Brahy.D01G0088900	-1.838085589
Brahy.S03G0313600	-1.594626366
Brahy.D03G0736900	-2.601197251
Brahy.D03G0060200	4.608903994
Brahy.S06G0178900	-1.583409864
Brahy.D05G0025900	-1.717542758
Brahy.D01G0117500	-3.492708517
Brahy.D01G0203000	-3.690458624
Brahy.D01G0272700	5.166773832
Brahy.S01G0047900	2.559067572
Brahy.S07G0158700	-2.409020315
Brahy.D04G0254100	-2.260070852
Brahy.D04G0493500	-1.727062453
Brahy.D04G0473500	-3.745294606
Brahy.D04G0427600	-2.394216348
Brahy.S01G0358700	-3.522833539
Brahy.D02G0651800	-3.613703026
Brahy.D03G0514500	0.438035417
Brahy.D04G0638800	6.061833065
Brahy.D02G0338100	3.310854521
Brahy.S02G0358000	-2.054431484
Brahy.S06G0246700	-2.162401662
Brahy.S05G0151200	-4.905779067
Brahy.D01G0835800	-2.735673596
Brahy.D03G0124700	-2.609615128
Brahy.D04G0550800	-2.882806103
Brahy.S03G0124100	-1.75853256
Brahy.S04G0293400	-2.734241529
Brahy.S02G0092500	-3.716929517
Brahy.S02G0066000	-2.620478186
Brahy.S01G0221000	-2.649568481
