atid	AVERAGE
AT1G50450	1.186696739
AT1G50590	-1.674836363
AT1G50900	-1.4454334219999998
AT1G51560	1.2812480659999999
AT1G51760	-1.151454117
AT1G52140	-1.2637478770000001
AT1G52290	-2.19168002
AT1G52340	-1.663431071
AT1G52570	0.15272682049999986
AT1G52720	-2.840365128
AT1G52770	-5.249341985
AT1G52820	2.854444912
AT1G53210	2.2066589415
AT1G53310	-1.620801494
AT1G53400	-1.322286708
AT1G53500	2.9655530310000002
AT1G53520	1.6097575780000002
AT1G53540	-1.5459509480000002
AT1G53885	-3.6539830319999997
AT1G53910	1.3940681769999999
AT1G54500	-1.59288133
AT1G54510	-1.5392633130000002
AT1G55020	-3.317182566
AT1G55110	1.179162925
AT1G55140	1.3063521059999998
AT1G55590	-1.2102128429999999
AT1G55740	2.377898788
AT1G55760	1.326382554
AT1G55870	1.6357160119999998
AT1G55920	1.995804252
AT1G56010	1.0797494589999999
AT1G56050	-1.3956060319999999
AT1G56210	-1.724981122
AT1G56220	1.2856327040000002
AT1G56230	-1.457413359
AT1G56320	-2.3891938880000003
AT1G56430	1.213585765
AT1G58230	1.7758823119999998
AT1G58360	1.806925357
AT1G59590	2.89242631
AT1G59740	3.502126863
AT1G59870	2.239682297
AT1G59900	-2.728588287
AT1G59960	-1.44446107
AT1G60190	-3.797858445
AT1G60420	-4.161871836
AT1G60600	-1.500213536
AT1G60710	1.997540965
AT1G60940	-2.3157191015
AT1G61255	-4.041317866
AT1G61260	-3.2306913180000003
AT1G61680	4.17103508
AT1G61720	-1.5342007975
AT1G61800	-2.531710977
AT1G62200	-1.498121606
AT1G62400	-1.13677801
AT1G62660	-5.402071236
AT1G62710	1.544898585
AT1G62780	-1.158656411
AT1G62940	-4.927853368
AT1G63430	-2.5648832109999997
AT1G63640	-1.335802401
AT1G63660	1.702190299
AT1G63720	-1.716181938
AT1G63810	1.5350325809999998
AT1G63940	1.5512714269999999
AT1G64110	-3.711873531
AT1G64160	8.227622226
AT1G64170	-1.326305742
AT1G64510	-1.694351481
AT1G64660	-4.114290003
AT1G64850	1.828539463
AT1G64890	-1.165337614
AT1G64940	-2.345790102
AT1G64980	-2.4841032455
AT1G65060	-3.0068725830000003
AT1G65295	-1.0717827709999999
AT1G65480	1.24096842
AT1G65540	-1.520083295
AT1G65560	-1.469090126
AT1G65610	-1.4858064359999998
AT1G65680	1.0466351745
AT1G65790	1.000541397
AT1G65870	-3.1173981889999998
AT1G66150	2.008182858
AT1G66160	2.8242710719999997
AT1G66230	-2.430104043
AT1G66250	-2.202687384
AT1G66850	-1.67777613
AT1G66910	1.277628244
AT1G66920	1.842656021
AT1G67080	-2.264403083
AT1G67090	0.461116453
AT1G67120	1.596136751
AT1G67280	-1.8968499
AT1G67420	1.49305472
AT1G67510	-1.471082205
AT1G67550	-1.259523151
AT1G67570	-1.7967639930000001
AT1G67600	-2.0554406514999997
AT1G67730	-3.240106337
AT1G67900	-1.306871746
AT1G68080	-1.099452557
AT1G68090	-1.430636693
AT1G68270	-2.645292411
AT1G68290	-3.554282391
AT1G68390	2.6531350259999997
AT1G68460	2.002913324
AT1G68530	-0.45701259849999987
AT1G68560	3.5064105339999996
AT1G68570	-3.7003698739999997
AT1G68780	-1.5288543909999999
AT1G68840	1.794845425
AT1G69040	2.306784563
AT1G69120	-1.1204345765
AT1G69310	1.6398431180000002
AT1G69420	-2.4531023380000003
AT1G69440	1.6711320980000002
AT1G69450	-1.4486015315
AT1G69740	-0.41812855600000004
AT1G69870	1.900997517
AT1G70080	-3.884453498
AT1G70090	0.6201032390000001
AT1G70140	-1.627546327
AT1G70160	-1.404586391
AT1G70170	-1.357527353
AT1G70250	1.1163840809999999
AT1G70290	1.92172984
AT1G70520	-1.796598638
AT1G70660	-1.34056839
AT1G70670	-2.448729611
AT1G71090	1.022650089
AT1G71110	-1.644358362
AT1G71360	-1.39690655
AT1G71460	-1.389974663
AT1G71695	2.219575643
AT1G71710	-1.340979702
AT1G71850	1.884547681
AT1G71930	2.492561535
AT1G72210	-6.527713747999999
AT1G72230	-0.046364301499999705
AT1G72300	1.643572346
AT1G72310	0.4225206960000001
AT1G72610	-2.017905077
AT1G72770	-2.6031647055000002
AT1G72820	1.383358443
AT1G72960	1.150757013
AT1G73010	-3.299614028
AT1G73040	-10.88041431
AT1G73370	1.895018017
AT1G73390	-1.4768976480000002
AT1G73540	2.262002739
AT1G73590	-1.4162181040000001
AT1G73730	1.514552671
AT1G73780	3.195634685
AT1G73880	-1.562496256
AT1G73965	-1.9939493830000001
AT1G74030	-2.2165926725
AT1G74070	-1.290263553
AT1G74190	5.988371784
AT1G74210	0.11588495250000008
AT1G74320	-0.37795688049999987
AT1G74520	-1.572895507
AT1G74690	-1.238540743
AT1G74710	-1.346658783
AT1G75210	-1.505230831
AT1G75290	-2.579825458
AT1G75390	-1.0097979256666667
AT1G75450	2.087440977
AT1G75800	1.659492995
AT1G76070	-1.4293259109999998
AT1G76140	-0.776750232
AT1G76240	0.6048091210000002
AT1G76340	-1.754422251
AT1G76490	-1.128650112
AT1G76520	2.756428174
AT1G76550	-1.315134917
AT1G76600	0.8236668195000002
AT1G76640	4.452846
AT1G76680	1.7881080280000001
AT1G76690	2.464039555
AT1G76890	-2.2237876795
AT1G76940	-1.546943554
AT1G77122	-1.3866525269999999
AT1G77130	-1.514221305
AT1G77270	1.8212669680000002
AT1G77330	2.4643949715
AT1G77610	-1.3082678415000002
AT1G77670	-1.3617572869999999
AT1G77700	3.2352780660000002
AT1G77760	-2.209321437
AT1G77940	-1.030993296
AT1G78020	-1.5617267080000001
AT1G78080	-1.407764362
AT1G78170	1.286142917
AT1G78230	-1.2728782459999999
AT1G78370	-3.1912289030000003
AT1G78380	-1.32230018
AT1G78440	-2.0624044636666667
AT1G78720	1.783682372
AT1G78780	0.9880141823333334
AT1G78980	-1.769248661
AT1G79040	2.9853948705000004
AT1G79360	3.617567389
AT1G79590	-2.6994661860000004
AT1G79620	3.894232379
AT1G79820	-1.163961724
AT1G79840	1.865997196
AT1G80170	-2.264969926
AT1G80310	-1.5757624119999998
AT1G80440	2.5391566709999998
AT1G80570	2.659333751
AT1G80660	-1.889129928
AT1G80870	1.315958858
AT2G01150	-1.379105835
AT2G01170	1.60212935
AT2G01275	-3.463649166
AT2G01300	-2.7156101089999996
AT2G01750	-1.267268256
AT2G01755	-1.444062866
AT2G01770	-1.945937246
AT2G01900	-2.286921979
AT2G01910	-3.812284448
AT2G02020	2.62706135
AT2G02040	-0.39790807700000014
AT2G02220	1.3831165314999998
AT2G02230	3.596867351
AT2G02340	2.630119402
AT2G02370	-1.261809034
AT2G02540	-2.8291045269999997
AT2G02990	-4.376585437
AT2G03200	-2.0974825459999997
AT2G03280	-1.37136365
AT2G03420	-1.534563595
AT2G03440	-1.427348998
AT2G03450	-1.294166729
AT2G03500	0.08935548299999996
AT2G03590	-2.43201601
AT2G03730	1.4581018369999998
AT2G04240	-1.6670854125
AT2G04400	2.4773951419999998
AT2G04690	-1.1997835190000001
AT2G05760	-1.742977375
AT2G05940	-1.480851942
AT2G06925	-3.0867252389999997
AT2G06990	1.344508065
AT2G07050	-0.158160815
AT2G11810	-4.811957363
AT2G12400	1.500981219
AT2G13100	-3.351312988
AT2G13810	-1.026311024
AT2G14610	0.478240565
AT2G15220	-0.5366804926666666
AT2G15480	3.0596299399999998
AT2G15760	1.93335721
AT2G15890	1.64241893
AT2G16050	1.59643224
AT2G16130	-1.138594429
AT2G16270	-2.648132694
AT2G16500	-1.8344337240000002
AT2G16660	0.827838055
AT2G16710	-1.339556025
AT2G16720	2.083143443
AT2G16730	-2.225489575
AT2G16890	-1.456597259
AT2G16910	1.093155955
AT2G17070	-2.362204358
AT2G17220	-3.207115064
AT2G17450	1.739467156
AT2G17480	-3.267204861
AT2G17630	1.5434324
AT2G17700	-1.221940823
AT2G17730	-1.856720058
AT2G17840	2.4725358285
AT2G17880	2.4157959555
AT2G17975	-1.3676611630000002
AT2G18130	-1.6947632240000001
AT2G18480	1.551154608
AT2G18500	2.403995224
AT2G18700	1.7209040215
AT2G18890	-1.6584710569999999
AT2G18960	-1.9938947319999998
AT2G18980	1.34447159
AT2G19090	2.549798194
AT2G19130	-1.810170875
AT2G19410	-2.039833261
AT2G19450	-1.306387778
AT2G19600	-1.244610424
AT2G19810	-1.967483991
AT2G19880	-1.15637084
AT2G20030	1.1106623979999999
AT2G20050	1.955962755
AT2G20340	2.6843619071666667
AT2G20725	-1.2935649
AT2G20830	1.036876557
AT2G20880	-1.6641123530000002
AT2G20920	1.005934038
AT2G20990	-2.089533438
AT2G21180	-1.738958482
AT2G21620	1.21104643
AT2G21910	3.986869159
AT2G21970	1.9759481230000002
AT2G22190	-2.769354186
AT2G22330	2.913842929
AT2G22500	-0.358552721
AT2G22795	-1.80753897
AT2G23060	1.3445243340000002
AT2G23340	-2.176694667
AT2G23450	1.5071174319999998
AT2G23520	-1.9358983
AT2G23560	2.9173419275
AT2G23610	-1.888015829
AT2G23620	-2.192360026
AT2G23770	-1.065265063
AT2G23790	-1.977287588
AT2G23910	-1.712894075
AT2G24100	0.8763909329999999
AT2G24150	-1.897477455
AT2G24200	1.451400373
AT2G24580	2.314496508
AT2G24762	-2.958989125
AT2G24790	1.1869818909999998
AT2G25470	1.726455444
AT2G25625	-0.755448083
AT2G25810	1.013250177
AT2G25870	-1.4854232040000002
AT2G25880	1.227039477
AT2G25950	-1.25368428
AT2G26150	-3.5654628280000003
AT2G26170	1.9684218580000001
AT2G26310	-1.912469056
AT2G26560	-1.2363392616666669
AT2G26600	1.53475711
AT2G26660	-2.629904356
AT2G26800	1.233429028
AT2G26900	-1.476113199
AT2G26910	-1.845426472
AT2G26975	-0.111262234
AT2G26980	1.679568207
AT2G27040	2.502400703
AT2G27080	-0.7515578186666668
AT2G27230	0.26539852
AT2G27260	-1.274783642
AT2G27360	1.510020063
AT2G27385	7.897528958
AT2G27500	-2.0184114909999997
AT2G27690	0.7987723164999999
AT2G27710	-4.200395412
AT2G27920	-1.2567091190000002
AT2G28000	-1.397745548
AT2G28100	-1.463538316
AT2G28120	1.185795871
AT2G28190	2.189627438
AT2G28630	-1.3344896929999999
AT2G28780	-4.228198834
AT2G28840	1.393251925
AT2G29040	-4.694930493999999
AT2G29120	1.297495352
AT2G29190	1.9834616669999998
AT2G29200	-0.620749316
AT2G29380	-3.3466356375
AT2G29420	1.73576154
AT2G29980	0.06907805850000015
AT2G30020	-1.536993246
AT2G30070	1.5015261080000002
AT2G30210	3.360482465
AT2G30360	1.476692829
AT2G30440	1.399455085
AT2G30490	-1.7981916059999998
AT2G30520	1.932132416
AT2G30620	-1.408102359
AT2G30695	-1.463263788
AT2G30720	1.029786071
AT2G31030	-1.3885467180000002
AT2G31090	-1.6938149869999999
AT2G31180	-1.587226326
AT2G31390	1.2587445640000001
AT2G31560	2.335208815
AT2G31730	0.577789408
AT2G32070	1.475567441
AT2G32090	-1.749192776
AT2G32190	-1.292147159
AT2G32210	-3.859079274
AT2G32290	-2.37387317
AT2G32300	-2.079529246
AT2G32440	2.553940464
AT2G32540	1.4805806590000001
AT2G32560	-1.6350512990000001
AT2G32760	2.127932679
AT2G32770	-2.8177916339999998
AT2G32840	-2.17134152
AT2G33370	-1.040151021
AT2G33385	-1.6853203669999999
AT2G33460	-1.9276851990000001
AT2G33570	-1.408018865
AT2G33590	-1.740029522
AT2G33690	-1.229090579
AT2G33710	4.43240617
AT2G33770	-1.6442779840000001
AT2G33830	2.4370250560000004
AT2G34000	1.173843114
AT2G34070	1.162313553
AT2G34360	1.2078071275
AT2G34420	-2.7122888635
AT2G34560	-2.066762369
AT2G34710	-2.021711415
AT2G34780	-1.266686716
AT2G34930	2.480019915
AT2G35060	-1.037144026
AT2G35290	2.302871252
AT2G35390	1.6763846519999999
AT2G35460	1.0878541305
AT2G35680	-1.037125232
AT2G35795	2.31628051
AT2G35840	1.51233163
AT2G35860	-1.810798414
AT2G35980	2.5965441830000002
AT2G36290	0.5951377906666667
AT2G36310	-1.58432549
AT2G36320	-2.782611643
AT2G36690	0.356221849
AT2G36750	-2.754382052
AT2G36780	0.7972611829999999
AT2G36790	2.561025354
AT2G36800	2.546645195
AT2G36830	-1.5638223519999999
AT2G36880	-1.668268624
AT2G36885	-2.63137954
AT2G36895	1.187045221
AT2G37070	-2.617214275
AT2G37170	-1.416725569
AT2G37220	-1.620313001
AT2G37230	1.671255767
AT2G37660	-1.2196905359999999
AT2G37710	-0.217183742
AT2G37730	-2.151796359
AT2G38290	1.7126710765
AT2G38400	1.792956099
AT2G38470	1.5915790840000001
AT2G38540	-1.000786259
AT2G38640	-2.1866170985
AT2G38670	-1.9913355680000002
AT2G38740	-1.5456924855
AT2G38750	-3.625965659
AT2G38820	-1.81992826
AT2G38870	-4.085302802
AT2G38905	-1.224781588
AT2G38920	1.2599279859999999
AT2G38940	-1.834501689
AT2G39080	-1.2208658079999999
AT2G39130	1.644229901
AT2G39280	-1.4096597990000002
AT2G39350	1.9508349759999999
AT2G39420	2.090691417
AT2G39500	-2.012330819
AT2G39540	-0.541637921
AT2G39670	-1.008291161
AT2G39705	-4.31377615
AT2G39710	-1.984679448
AT2G39730	3.643137793
AT2G39760	-3.8578820210000004
AT2G39795	-2.08311967
AT2G39800	-3.846908795
AT2G40000	3.342234052
AT2G40095	-0.14417607400000002
AT2G40300	-1.34954998
AT2G40316	-2.396582098
AT2G40320	-1.720049891
AT2G40340	1.120705709
AT2G40370	3.451202372
AT2G40400	1.819726254
AT2G40435	1.708626094
AT2G41050	-1.2324724009999999
AT2G41190	-1.853836534
AT2G41200	3.7880650589999996
AT2G41210	-1.658297283
AT2G41250	-2.2969723319999997
AT2G41380	1.685037766
AT2G41410	1.352076958
AT2G41475	-1.609451718
AT2G41540	0.43587336299999996
AT2G41560	1.6900435725
AT2G41640	-1.601495156
AT2G41870	-1.079377607
AT2G41940	-1.25695713
AT2G42010	1.216632365
AT2G42140	1.79707621
AT2G42280	-1.1484244590000001
AT2G42490	1.58854429
AT2G42620	1.496844944
AT2G42880	-1.570793101
AT2G43000	3.2454914485
AT2G43020	-0.25531357450000003
AT2G43120	-1.887977843
AT2G43290	0.249259567
AT2G43820	1.6560364075
AT2G43840	2.6475428365
AT2G43940	-1.43015366
AT2G44130	1.87475191
AT2G44210	1.241719205
AT2G44260	-2.508790949
AT2G44300	2.42757642
AT2G44610	-2.06941914
AT2G44940	-2.6458531295
AT2G44970	-2.330572212
AT2G45130	-3.484457598
AT2G45510	2.2584713919999997
AT2G45600	-2.349433714
AT2G45660	-2.395213749
AT2G45770	-1.40388051
AT2G45910	-0.7476371413333335
AT2G46140	0.7406819859999999
AT2G46270	-2.991140414
AT2G46530	-1.979546735
AT2G46550	1.097524556
AT2G46680	-3.7865985443333336
AT2G46930	-1.526387173
AT2G46960	-0.21538335425
AT2G47000	2.532614121
AT2G47070	-1.332212232
AT2G47180	-1.3106195170000001
AT2G47460	-2.2954384075
AT2G47600	-1.304182187
AT2G47870	2.135512313
AT2G47990	2.141463776
AT2G48130	-2.17174639
AT3G01180	-2.93403494
AT3G01310	-2.432132536
AT3G01470	-2.570064709
AT3G01480	-1.535023077
AT3G01570	-4.978907403
AT3G01800	1.5232442030000002
AT3G02040	-3.2258462435
AT3G02100	1.4429183940000003
AT3G02420	-1.502591915
AT3G02550	-0.1417331625
AT3G02570	-1.458951162
AT3G02870	-1.812863304
AT3G02940	2.049209817
AT3G03080	4.3844134310000005
AT3G03310	-1.661321885
AT3G03341	-5.31376884
AT3G03440	-1.185906869
AT3G03530	-1.848946028
AT3G03630	-1.313530493
AT3G03710	-1.219538435
AT3G03790	-1.6968153000000001
AT3G03900	-1.984033931
AT3G03910	1.374022474
AT3G03990	1.524138165
AT3G04070	-6.237296538
AT3G04080	-3.9090307419999997
AT3G04260	-1.427787022
AT3G04530	-1.353151948
AT3G04550	-1.4828351469999999
AT3G04580	-3.233122203
AT3G04670	-1.0829903779999999
AT3G04710	-1.1138125875
AT3G04720	0.653781601
AT3G05170	-1.5135424069999999
AT3G05200	2.91787026
AT3G05327	1.112196197
AT3G05410	-1.886651377
AT3G05500	-1.8963822730000002
AT3G05510	1.128289024
AT3G05630	-1.772478762
AT3G05700	1.4331570480000002
AT3G05820	2.642775339
AT3G05840	1.35543855
AT3G05880	0.38427581899999996
AT3G05890	-1.811189573
AT3G05950	0.9498127825000001
AT3G05970	-1.251180749
AT3G05975	-1.365066134
AT3G06170	-1.468179879
AT3G06680	-1.141465899
AT3G06730	-1.081024562
AT3G07020	-1.213415984
AT3G07040	0.70557467475
AT3G07130	-2.844065503
AT3G07330	0.291542122
AT3G07360	-1.424224402
AT3G07390	2.6820996409999998
AT3G07400	-1.40544633
AT3G07440	-1.601384236
AT3G07570	1.069613381
AT3G07720	-1.7455117980000001
AT3G07750	1.764747734
AT3G07770	1.5050956519999998
AT3G08505	-1.261400962
AT3G08590	-1.233529177
AT3G08690	-1.8429988030000002
AT3G08730	-1.812269525
AT3G08860	2.011953754
AT3G08910	-1.597253118
AT3G09010	1.424094835
AT3G09070	2.115984357
AT3G09220	0.9910182014
AT3G09310	-1.347452909
AT3G09400	-1.031248051
AT3G09650	1.121556658
AT3G09660	1.2538192209999999
AT3G09925	-2.543004071
AT3G10080	2.323328139
AT3G10150	-3.981104994
AT3G10190	1.588134877
AT3G10420	-1.671083015
AT3G10600	-2.619802336
AT3G10910	-5.499281792000001
AT3G11030	1.7110397569999998
AT3G11340	0.7292402269999999
AT3G11480	-2.043654505
AT3G11660	-1.6554709980000002
AT3G11710	-2.241393821
AT3G11900	2.195340467
AT3G11964	1.5714825319999999
AT3G12150	1.266614451
AT3G12350	-1.6609300619999998
AT3G12360	1.34665309
AT3G12490	-1.587072042
AT3G12500	0.09810013500000003
AT3G12740	-1.8623475440000001
AT3G12750	0.6208963229999999
AT3G12860	1.5991784564999998
AT3G13040	-1.8491936249999998
AT3G13050	-1.799366821
AT3G13460	1.001888441
AT3G13560	-1.040031674
AT3G13600	3.3728352010000004
AT3G13784	3.263336143
AT3G13840	-2.491864182
AT3G13860	1.7285561669999998
AT3G14020	-1.756046762
AT3G14200	-1.641511652
AT3G14350	-1.6915179830000002
AT3G14360	-2.927490627
AT3G14460	1.9297793840000002
AT3G14470	0.8129976896666666
AT3G14640	1.642944077
AT3G14650	2.3681883480000003
AT3G14660	2.0431065040000003
AT3G14680	2.205661952
AT3G14690	1.4054899585
AT3G14770	-1.6188193419999999
AT3G14810	-1.774480289
AT3G14840	1.5248288719999998
AT3G14920	-1.3854980430000001
AT3G15030	-2.8078253295
AT3G15210	-1.310122668
AT3G15353	-2.300001511
AT3G15630	-0.4512858794999999
AT3G15670	-7.088339801666667
AT3G15680	-2.091632514
AT3G15820	1.842930676
AT3G15900	-1.408491959
AT3G16150	-1.426383093
AT3G16360	-1.8669959790000001
AT3G16370	2.333230554
AT3G16490	2.018973069
AT3G16510	-2.734615121
AT3G16520	0.3545642861666667
AT3G16560	2.034630882
AT3G16660	-1.635851113
AT3G16720	-1.9350218719999999
AT3G16980	-2.147195686
AT3G17180	1.743127249
AT3G17690	1.223480121
AT3G17700	1.348214034
AT3G17760	4.792695141
AT3G18000	1.221568409
AT3G18070	-2.2417538390000002
AT3G18110	1.749509732
AT3G18160	-1.9944326980000002
AT3G18170	0.31855061900000015
AT3G18180	-0.8404366056000001
AT3G18200	0.8517319364999999
AT3G18280	-3.1007054380000003
AT3G18660	3.017644208
AT3G18710	1.737401323
AT3G18830	-0.170182706
AT3G18950	-1.7317794569999998
AT3G18990	-4.976267366
AT3G19010	-2.100153534
AT3G19430	-2.333801743
AT3G19450	-1.7815704319999999
AT3G19690	2.21683481
AT3G19760	1.5190876569999998
AT3G19970	-1.925060395
AT3G20040	-1.336051259
AT3G20070	1.294954332
AT3G20300	-1.9815923345000002
AT3G20660	-2.383878915
AT3G21090	-1.306046901
