brid	AVERAGE
Brast07G196100	1.34447159
Brast09G221700	1.419540201
Brast04G163100	3.316834148
Brast10G003400	-1.927165656
Brast07G093700	2.479661751
Brast04G222000	-1.964143137
Brast01G126500	-2.432132536
Brast07G188100	-1.903408253
Brast01G164500	1.647904894
Brast01G024500	-3.342036778
Brast01G145400	2.022042627
Brast06G239800	0.039485288
Brast02G170000	1.334269473
Brast08G044400	-0.273946354
Brast07G036300	-4.622249475
Brast02G144100	-5.313839394
Brast10G175400	3.458082502
Brast07G225900	-5.091261281
Brast09G005100	3.059243262
Brast03G232700	2.57756957
Brast01G024400	-3.981104994
Brast10G001900	-8.118541718
Brast06G094200	5.878162892
Brast03G202200	-3.171302005
Brast04G197200	-10.39560251
Brast04G121000	-5.90620463
Brast02G245300	-4.369296848
Brast06G060800	-3.856719481
Brast02G129000	-3.423100368
Brast06G230200	-6.697474241
Brast03G069100	3.986869159
Brast01G162500	-3.299614028
Brast10G072600	-6.482651677
Brast04G110500	-3.857625349
Brast08G074900	-8.184685974
Brast09G120200	2.643397683
Brast05G031200	-7.261671186
Brast03G187000	2.765798227
Brast01G170400	-10.42288886
Brast09G081400	-6.005956461
Brast03G168000	-9.922225606
Brast09G158900	-3.93333029
Brast06G224900	3.565370865
Brast05G134300	-3.653983032
Brast05G249900	-3.815843934
Brast01G072300	2.189870145
Brast07G182200	-3.50512865
Brast01G267400	2.435693833
Brast01G149900	-4.152387425
Brast03G006000	-3.859079274
Brast08G040500	-8.415846095
Brast04G032600	-3.233122203
Brast03G221800	-4.075183625
Brast03G041100	-3.251335393
Brast10G087200	-4.995122056
Brast10G195900	3.518818337
Brast09G012400	4.797520357
Brast02G061800	-2.638603885
Brast09G248900	-10.04352524
Brast03G253700	-4.645659224
Brast07G025500	-4.185160468
Brast05G249700	-8.077554059
Brast01G240000	-3.565462828
Brast05G222600	-2.103694364
Brast03G035100	-2.418916305
Brast05G126600	-2.924179101
Brast05G049400	-8.808726175
Brast01G201600	-5.31376884
Brast05G287600	-6.237296538
Brast03G246900	-9.236296744
Brast01G090900	-3.257650101
Brast05G045200	-8.123990326
Brast04G115300	-4.764018571
Brast08G212900	-3.144880375
Brast01G069100	2.432222493
Brast09G147300	7.709560599
Brast10G062200	4.723550964
Brast09G144300	-2.687226536
Brast01G119300	-4.161871836
Brast03G018600	-8.967404096
Brast10G062100	1.835330793
Brast08G141600	-3.821242567
Brast05G233600	-4.859198771
Brast03G016800	4.046237968
Brast04G242900	-3.1165087
Brast04G293900	-2.58795051
Brast01G359900	-5.742651085
Brast03G085900	-2.18388987
Brast04G246900	-3.36130614
Brast08G120900	-3.700369874
Brast04G021600	-4.640208698
Brast09G102700	-1.920222337
Brast02G147100	-6.333859761
Brast03G242700	-2.473134055
Brast09G139000	-5.855880664
Brast02G155100	-5.856591978
Brast06G076000	1.687981204
Brast02G131000	3.360482465
Brast06G093300	-5.009606723
Brast02G358500	4.649968823
Brast03G227500	1.92172984
Brast01G057200	-3.181840039
Brast04G030500	-2.122549156
Brast10G154300	-3.085034371
Brast05G172700	3.853556526
Brast08G089700	-5.686514496
Brast01G025800	2.929404422
Brast02G021200	-3.578147574
Brast07G225500	-3.697498343
Brast03G271800	1.749543639
Brast01G092200	3.451202372
Brast04G179900	-4.725635309
Brast09G172800	-3.242427076
Brast02G115600	2.82886424
Brast05G114600	-4.114659337
Brast05G245800	-1.890347253
Brast03G254200	-1.934208312
Brast07G164200	1.842930676
Brast02G228800	-2.002845164
Brast04G160100	-2.857531514
Brast01G166400	-2.781932902
Brast09G115700	-1.963469072
Brast01G003300	-1.956632027
Brast02G038700	-4.694930494
Brast02G090100	-2.448729611
Brast03G161400	-2.616365225
Brast01G092900	-2.931735853
Brast01G195400	-3.41306712
Brast04G181200	2.178973138
Brast02G105500	-1.944179034
Brast06G092100	-3.230691318
Brast02G243100	2.162425333
Brast07G049600	2.377898788
Brast01G359600	-2.403818655
Brast01G394100	-2.31913639
Brast04G231600	-3.736163199
Brast07G194600	-2.93150198
Brast04G294200	-2.954599474
Brast07G142100	-3.748854783
Brast09G168300	-2.754382052
Brast04G218800	-7.877854018
Brast02G131300	-3.123749701
Brast02G026500	1.678934136
Brast04G013400	-3.013230418
Brast07G217100	-1.910416405
Brast05G099100	-3.320408592
Brast04G310800	1.700744983
Brast02G209300	-4.961276074
Brast09G185900	-2.018710361
Brast04G072200	-2.267320211
Brast07G130200	5.861005681
Brast06G025400	-2.296972332
Brast04G305800	-1.794978997
Brast06G230000	-3.499978312
Brast08G050900	-1.867629553
Brast05G146200	-1.729986488
Brast08G090900	-2.56359938
Brast01G128000	2.087440977
Brast07G195200	-3.371165784
Brast02G272300	-4.978907403
Brast09G009300	4.11676273
Brast04G246300	2.082832375
Brast03G016700	5.021123984
Brast01G354500	-1.923906102
Brast07G067400	-1.649407649
Brast10G148100	-1.740905124
Brast05G038800	-3.378221841
Brast05G044600	3.238456853
Brast01G083800	-3.528404073
Brast01G161700	-1.78592182
Brast02G020000	-2.88232013
Brast07G180100	-1.933005071
Brast01G349300	-2.300001511
Brast01G197800	-1.893960813
Brast08G102400	-1.635461376
Brast03G186700	2.107299576
Brast09G263200	-2.111423109
Brast10G196000	3.355602199
Brast07G194000	2.87938836
Brast08G125200	5.056093414
Brast05G101100	-2.39706361
Brast04G336800	-5.402071236
Brast03G029300	-1.456453057
Brast02G173700	-2.442919524
Brast10G062400	7.950061613
Brast03G251500	-5.411627857
Brast01G089500	-3.846908795
Brast03G232000	-1.960031009
Brast07G196600	1.995826845
Brast02G382800	-3.538671494
Brast09G026900	2.002281232
Brast09G101100	-5.43453451
Brast08G017400	-2.569213708
Brast09G159600	-2.06625345
Brast06G091400	-5.570440284
Brast06G037600	-9.379272957
Brast01G235400	-2.045300786
Brast02G129300	-2.151796359
Brast05G237400	3.502126863
Brast08G215200	2.238480537
Brast08G067200	3.343547516
Brast02G022600	-2.695175574
Brast05G209700	-1.751832196
Brast09G062500	3.760965058
Brast03G075900	-2.844065503
Brast06G209600	-6.52625358
Brast02G035300	-2.420098607
Brast05G223900	-1.929011901
Brast07G218300	3.723108365
Brast01G167500	-2.029524896
Brast03G178900	-2.747611465
Brast05G128300	2.795163165
Brast09G238100	3.072379622
Brast08G016000	-2.407911805
Brast06G245800	-2.765907239
Brast02G340500	-3.90313635
Brast02G106100	-1.738958482
Brast01G055700	-2.033007252
Brast01G366000	-2.840365128
Brast07G157600	2.539156671
Brast02G231600	2.058975824
Brast10G180200	2.602043539
Brast06G083200	-2.11847923
Brast09G185800	-1.706722876
Brast01G265700	-2.160768164
Brast01G273100	2.642775339
Brast08G075000	-4.059431966
Brast03G191200	-4.202658312
Brast09G147500	2.561025354
Brast01G381800	1.575435291
Brast06G111800	-4.345845323
Brast05G118700	2.092633098
Brast09G185500	-3.029025796
Brast01G349800	-8.269382732
Brast09G070700	-1.638577272
Brast03G308800	2.189627438
Brast07G037100	1.496844944
Brast04G037300	-2.208829188
Brast05G183500	2.8458551
Brast01G277000	-2.525169808
Brast01G397100	-2.264403083
Brast04G250700	-1.560162095
Brast04G080000	1.925484272
Brast03G010700	3.880931942
Brast07G184300	-2.406800009
Brast02G245600	-2.275751353
Brast05G240800	-1.915632384
Brast05G062300	2.287103809
Brast04G285500	3.10948789
Brast02G346900	2.42757642
Brast03G193800	-2.742202665
Brast02G199800	-1.883170668
Brast03G246100	-1.641511652
Brast03G198000	-2.534720287
Brast10G057000	-2.352887328
Brast06G039800	-1.811189573
Brast02G131100	-1.786530588
Brast08G044200	-2.424396509
Brast06G016600	-1.896382273
Brast08G142200	-1.727847504
Brast04G338600	-2.753122436
Brast02G286300	-1.815663985
Brast09G194400	-1.661079332
Brast08G039300	-2.313891478
Brast08G001900	-2.101956409
Brast04G168200	2.689717901
Brast04G173300	-3.337729947
Brast02G022300	-2.429397332
Brast02G356100	-1.898753513
Brast07G193400	-1.495505093
Brast09G250300	-1.552201284
Brast10G037600	1.530700855
Brast01G180500	-3.463649166
Brast03G224000	-1.811803056
Brast09G071900	1.729116091
Brast06G094700	-2.728533285
Brast02G078600	1.995804252
Brast02G194100	-3.049510097
Brast01G210800	2.65407177
Brast02G223900	-1.812863304
Brast01G119700	-1.404586391
Brast01G201100	-1.476113199
Brast01G206300	-2.129742188
Brast04G292100	-2.005617973
Brast08G097400	4.217879761
Brast03G224300	-1.407764362
Brast01G383000	2.078220502
Brast04G121800	-2.635218506
Brast02G141500	-2.588392942
Brast01G361000	-2.644695257
Brast07G060400	1.696180838
Brast05G028900	-2.110297635
Brast02G026900	0.617634244
Brast05G301500	-4.228198834
Brast02G278500	-3.086725239
Brast01G042500	-1.540791715
Brast03G255000	1.71831343
Brast03G025000	-3.884453498
Brast09G243100	-2.569296705
Brast02G036800	-2.194042084
Brast03G204400	-1.939458796
Brast01G349400	-2.021711415
Brast02G206300	-1.769248661
Brast10G008300	-1.341153724
Brast02G320200	-1.870212127
Brast01G119500	-2.097248029
Brast03G054200	-2.82145498
Brast03G103800	-2.3468068
Brast04G118000	2.370041875
Brast09G261500	-1.790569029
Brast01G182600	-3.550049847
Brast08G213100	-3.038880655
Brast10G039100	-1.83347853
Brast07G176400	-2.250345291
Brast04G271400	-2.071877223
Brast03G064400	-2.07528065
Brast04G081900	1.840858661
Brast10G162700	-2.628718071
Brast07G202800	-2.089533438
Brast04G306500	1.497306218
Brast04G270000	-2.909269079
Brast06G230100	-3.58608299
Brast06G174000	-1.626243561
Brast02G109100	-2.17134152
Brast09G067500	2.008719181
Brast07G042300	-6.208009082
Brast03G010400	3.755218098
Brast02G129200	-2.706082783
Brast07G169700	1.676384652
Brast08G040600	-2.42628445
Brast06G142000	-1.630491544
Brast01G091300	-1.984679448
Brast03G112300	-1.580068206
Brast07G218200	1.567745641
Brast01G057900	2.335208815
Brast04G216300	-5.292832529
Brast08G227400	-3.320964392
Brast01G271300	2.193300226
Brast02G180600	-3.059274568
Brast01G234400	-2.790677527
Brast06G054100	-2.769354186
Brast03G236900	-1.83300339
Brast01G127100	-1.694763224
Brast05G289100	-1.991335568
Brast03G231700	-2.286921979
Brast07G201100	-1.818709884
Brast08G014700	-0.755448083
Brast05G239600	2.620469447
Brast04G262300	-1.776762772
Brast09G093700	-2.397851939
Brast02G201800	-1.64458721
Brast04G303700	-1.400938348
Brast01G067400	-3.839868556
Brast04G109900	-1.774480289
Brast04G019900	-2.550587719
Brast04G135200	-2.405694905
Brast09G114200	-1.665458481
Brast02G117000	1.574877274
Brast08G053800	-1.925978903
Brast01G354400	-1.760263658
Brast03G043000	-1.796763993
Brast01G402500	-2.010013333
Brast02G287600	-2.935819207
Brast07G058600	-2.380271956
Brast10G127900	-1.646325146
Brast05G199400	-1.856720058
Brast09G148700	2.361250224
Brast09G102300	-3.056460005
Brast10G062000	2.966103117
Brast06G158000	-2.930193041
Brast05G289900	-2.876466965
Brast02G276000	-2.241753839
Brast03G273900	-1.752614456
Brast01G333400	1.484488622
Brast05G069700	3.85969824
Brast04G025900	-6.527713748
Brast02G175100	-1.998712676
Brast07G042700	1.76149695
Brast07G084100	-1.641771834
Brast10G100300	-2.219652813
Brast01G119800	-1.951561672
Brast03G267100	-2.393890715
Brast09G099300	-2.632038692
Brast01G102100	1.819726254
Brast04G137600	1.79324949
Brast01G336100	-1.527308646
Brast09G099500	-1.711213099
Brast09G147900	2.652741651
Brast08G196000	1.743127249
Brast09G259500	2.978653969
Brast08G104100	2.145149006
Brast08G053200	-1.38399768
Brast04G052900	-1.700674731
Brast07G089600	-2.728588287
Brast07G204400	-1.696166666
Brast04G217000	1.955962755
Brast01G264500	-3.112486488
Brast02G267000	1.891652422
Brast01G077400	-5.499281792
Brast02G220200	-2.973652836
Brast01G401100	-1.644358362
Brast02G099900	2.311665342
Brast09G118100	1.58854429
Brast03G242300	-3.239194313
Brast05G000800	-3.746184381
Brast01G160100	1.545472376
Brast01G203100	-1.566320709
Brast07G006100	2.227507574
Brast07G065800	1.749509732
Brast02G017600	-1.460169296
Brast05G080900	-1.9358983
Brast05G201900	3.172353495
Brast05G097300	-3.314606564
Brast03G012400	1.551271427
Brast10G162100	-2.132474402
Brast01G108000	1.861229412
Brast02G323100	-1.873973809
Brast04G045800	-1.842998803
Brast09G080900	1.480580659
Brast09G067000	2.034630882
Brast03G036400	2.588359329
Brast02G168600	2.385214478
Brast07G241500	-1.877605925
Brast05G208800	1.730864308
Brast04G153100	-2.642763647
Brast04G260100	-1.686101878
Brast05G210800	-2.344693363
Brast10G148200	-1.755233222
Brast08G070400	-2.783280197
Brast03G285500	-2.119171487
Brast08G147100	1.524966638
Brast02G087800	-2.453102338
Brast02G353600	-1.663431071
Brast05G139000	-2.720198335
Brast09G113500	-2.232289739
Brast10G054300	-1.798469373
Brast08G213000	-1.760506144
Brast05G263000	-1.655470998
Brast07G023600	1.53986779
Brast01G378500	-1.142724158
Brast04G272200	0.098231889
Brast10G041400	-2.897976394
Brast01G361700	1.035901643
Brast02G175800	-2.950178172
Brast04G166600	-3.045136774
Brast04G312900	1.469920722
Brast01G022400	-2.363654644
Brast02G153900	-2.389193888
Brast01G137000	-1.387275589
Brast06G030800	0.169682078
Brast05G237500	-0.474795986
Brast03G232900	2.265570909
Brast03G161900	1.641224002
Brast10G031800	1.504421491
Brast10G062300	2.776850899
Brast07G115300	1.274673132
Brast10G154400	-3.338971055
Brast08G039400	-2.040656859
Brast08G070500	1.687372231
Brast09G126900	1.730855165
Brast02G139500	-1.409659799
Brast04G133200	-3.01968889
Brast01G018300	-1.84330665
Brast01G387400	-2.373573112
