"biogrid","entrez gene/locuslink","Human Readable Label","name","ncbi_gene_id","selected","shared name","Taxonomy ID","Taxonomy Name"
"6287","AT3G16980|NRPD9A|NRPE9A|820954|NRPB9A","AT3G16980","820954","820954","false","820954","3702",
"22948","F25C20_21|F25C20.21|837708|RBP45B|ATRBP45B|AT1G11650","F25C20_21","837708","837708","false","837708","3702",
"25474","F10C21.14|AT1G33470|840240|F10C21_14","F10C21.14","840240","840240","false","840240","3702",
"11201","AT4G05420|C6L9.100|825890|DDB1A|C6L9_100|damaged DNA binding protein 1A","AT4G05420","825890","825890","false","825890","3702",
"13148","827857|F7J7_40|F7J7.40|AT4G21100|damaged DNA binding protein 1B|DDB1B","F7J7_40","827857","827857","false","827857","3702",
"26968","841743|SPA1-related 4|SPA4|F8L10_5|F8L10.5|AT1G53090","SPA1-related 4","841743","841743","false","841743","3702",
"28178","PRODUCTION OF ANTHOCYANIN PIGMENT 2|T27F4_14|842957|PAP2|myb domain protein 90|ATMYB90|MYB90|T27F4.14|AT1G66390","PRODUCTION OF ANTHOCYANIN PIGMENT 2","842957","842957","false","842957","3702",
"27345","MYELOBLASTOSIS PROTEIN 75|AT1G56650|SUC-INDUCED ANTHOCYANIN ACCUMULATION 1|SIAA1|MYB DOMAIN PROTEIN 75|MYB75|ATMYB75|production of anthocyanin pigment 1|F25P12.92|PAP1|F25P12_92|842120|phosphatidic acid phosphatase 1","MYELOBLASTOSIS PROTEIN 75","842120","842120","false","842120","3702",
"21748","UVR8|MGI19.7|AT5G63860|UVB-RESISTANCE 8|836506|MGI19_7","UVR8","836506","836506","false","836506","3702",
"16008","AT5G08330|F8L15.60|F8L15_60|830730","AT5G08330","830730","830730","false","830730","3702",
