bhdid	bsid
Brahy.D01G1057800	Brast02G013600
Brahy.D01G0258600	Brast02G192000
Brahy.D01G0259400	Brast02G192900
Brahy.D01G0261500	Brast02G193500
Brahy.D01G0262500	Brast02G195000
Brahy.D01G0263200	Brast02G195100
Brahy.D01G0265800	Brast02G197700
Brahy.D01G0266100	Brast02G198400
Brahy.D01G0267200	Brast02G198800
Brahy.D01G0216200	Brast02G143600
Brahy.D01G0216700	Brast02G144400
Brahy.D01G0217100	Brast02G146200
Brahy.D01G0218000	Brast02G148600
Brahy.D01G0218200	Brast02G149900
Brahy.D01G0218400	Brast02G151200
Brahy.D01G0218600	Brast02G151600
Brahy.D01G0002300	Brast02G393400
Brahy.D01G0002400	Brast02G393300
Brahy.D01G0002500	Brast02G393200
Brahy.D01G0002700	Brast02G393100
Brahy.D01G0002800	Brast02G393000
Brahy.D01G0002900	Brast02G392900
Brahy.D01G0003000	Brast02G392800
Brahy.D01G0003100	Brast02G392700
Brahy.D01G0003200	Brast02G392500
Brahy.D01G0003300	Brast02G392400
Brahy.D01G0003400	Brast02G392300
Brahy.D01G0003600	Brast02G392200
Brahy.D01G0003800	Brast02G392100
Brahy.D01G0004000	Brast02G391700
Brahy.D01G0004100	Brast02G391600
Brahy.D01G0004200	Brast02G391500
Brahy.D01G0004300	Brast02G391400
Brahy.D01G0004400	Brast02G391300
Brahy.D01G0004500	Brast02G391200
Brahy.D01G0004600	Brast02G391100
Brahy.D01G0004700	Brast02G391000
Brahy.D01G0004800	Brast02G390900
Brahy.D01G0004900	Brast02G390800
Brahy.D01G0005000	Brast02G390700
Brahy.D01G0005100	Brast02G390600
Brahy.D01G0005200	Brast02G390500
Brahy.D01G0005300	Brast02G390400
Brahy.D01G0005400	Brast02G390300
Brahy.D01G0005800	Brast02G390200
Brahy.D01G0005900	Brast02G390100
Brahy.D01G0006000	Brast02G390000
Brahy.D01G0006100	Brast02G389900
Brahy.D01G0006300	Brast02G389800
Brahy.D01G0006500	Brast02G389600
Brahy.D01G0006600	Brast02G389400
Brahy.D01G0006700	Brast02G389300
Brahy.D01G0006800	Brast02G389200
Brahy.D01G0006900	Brast02G389100
Brahy.D01G0007000	Brast02G389000
Brahy.D01G0007100	Brast02G388900
Brahy.D01G0007200	Brast02G388800
Brahy.D01G0007300	Brast02G388700
Brahy.D01G0007400	Brast02G388600
Brahy.D01G0007500	Brast02G388500
Brahy.D01G0007600	Brast02G388400
Brahy.D01G0007700	Brast02G388300
Brahy.D01G0007800	Brast02G388200
Brahy.D01G0008300	Brast02G388000
Brahy.D01G0008400	Brast02G387900
Brahy.D01G0008500	Brast02G387800
Brahy.D01G0008600	Brast02G387700
Brahy.D01G0008700	Brast02G387600
Brahy.D01G0008800	Brast02G387500
Brahy.D01G0008900	Brast02G387300
Brahy.D01G0009300	Brast02G387100
Brahy.D01G0009400	Brast02G387000
Brahy.D01G0009500	Brast02G386900
Brahy.D01G0009600	Brast02G386800
Brahy.D01G0009700	Brast02G386700
Brahy.D01G0009800	Brast02G386600
Brahy.D01G0009900	Brast02G386500
Brahy.D01G0010400	Brast02G386400
Brahy.D01G0011100	Brast02G386300
Brahy.D01G0011900	Brast02G386200
Brahy.D01G0012000	Brast02G386100
Brahy.D01G0012500	Brast02G385900
Brahy.D01G0012700	Brast02G385800
Brahy.D01G0012900	Brast02G385700
Brahy.D01G0013000	Brast02G385500
Brahy.D01G0013100	Brast02G385400
Brahy.D01G0013200	Brast02G385300
Brahy.D01G0013300	Brast02G385200
Brahy.D01G0013400	Brast02G385100
Brahy.D01G0013500	Brast02G385000
Brahy.D01G0013600	Brast02G384900
Brahy.D01G0013800	Brast02G384800
Brahy.D01G0013900	Brast02G384700
Brahy.D01G0014000	Brast02G384600
Brahy.D01G0014100	Brast02G384500
Brahy.D01G0014300	Brast02G384300
Brahy.D01G0014700	Brast02G384200
Brahy.D01G0014800	Brast02G384100
Brahy.D01G0014900	Brast02G384000
Brahy.D01G0015000	Brast02G383900
Brahy.D01G0015400	Brast02G383800
Brahy.D01G0015500	Brast02G383600
Brahy.D01G0015900	Brast02G383300
Brahy.D01G0016000	Brast02G383200
Brahy.D01G0016100	Brast02G383100
Brahy.D01G0016200	Brast02G383000
