bhdid	bsid
Brahy.D01G0672100	Brast07G026700
Brahy.D01G0672200	Brast07G026600
Brahy.D01G0672300	Brast07G026500
Brahy.D01G0672400	Brast07G026400
Brahy.D01G0672500	Brast07G026300
Brahy.D01G0672700	Brast07G026200
Brahy.D01G0672900	Brast07G026100
Brahy.D01G0673000	Brast07G026000
Brahy.D01G0673100	Brast07G025900
Brahy.D01G0673200	Brast07G025800
Brahy.D01G0673300	Brast07G025600
Brahy.D01G0673600	Brast07G025500
Brahy.D01G0673800	Brast07G025200
Brahy.D01G0674500	Brast07G024900
Brahy.D01G0674600	Brast07G024800
Brahy.D01G0674900	Brast07G024500
Brahy.D01G0675000	Brast07G024400
Brahy.D01G0675100	Brast07G024300
Brahy.D01G0675400	Brast07G024100
Brahy.D01G0675600	Brast07G024000
Brahy.D01G0675800	Brast07G023900
Brahy.D01G0675900	Brast07G023800
Brahy.D01G0676100	Brast07G023600
Brahy.D01G0676300	Brast07G023500
Brahy.D01G0676600	Brast07G023400
Brahy.D01G0676700	Brast07G023200
Brahy.D01G0677000	Brast07G023000
Brahy.D01G0677200	Brast07G022900
Brahy.D01G0677300	Brast07G022700
Brahy.D01G0677400	Brast07G022600
Brahy.D01G0677500	Brast07G022400
Brahy.D01G0677800	Brast07G022200
Brahy.D01G0678100	Brast07G022100
Brahy.D01G0678800	Brast07G022000
Brahy.D01G0678900	Brast07G021900
Brahy.D01G0679000	Brast07G021800
Brahy.D01G0679100	Brast07G021700
Brahy.D01G0679200	Brast07G021600
Brahy.D01G0679300	Brast07G021500
Brahy.D01G0679400	Brast07G021400
Brahy.D01G0680000	Brast07G021300
Brahy.D01G0680100	Brast07G021200
Brahy.D01G0680300	Brast07G020900
Brahy.D01G0680400	Brast07G020800
Brahy.D01G0680500	Brast07G020700
Brahy.D01G0680700	Brast07G020500
Brahy.D01G0680800	Brast07G020400
Brahy.D01G0680900	Brast07G020300
Brahy.D01G0681000	Brast07G020100
Brahy.D01G0681900	Brast07G019300
Brahy.D01G0682000	Brast07G019200
Brahy.D01G0682100	Brast07G019100
Brahy.D01G0682600	Brast07G018800
Brahy.D01G0682700	Brast07G018700
Brahy.D01G0682800	Brast07G018600
Brahy.D01G0683000	Brast07G018300
Brahy.D01G0683100	Brast07G018200
Brahy.D01G0683300	Brast07G018000
Brahy.D01G0683400	Brast07G017900
Brahy.D01G0683700	Brast07G017700
Brahy.D01G0683900	Brast07G017600
Brahy.D01G0684100	Brast07G017500
Brahy.D01G0684200	Brast07G017400
Brahy.D01G0684300	Brast07G017300
Brahy.D01G0684500	Brast07G017100
Brahy.D01G0684600	Brast07G017000
Brahy.D01G0684700	Brast07G016900
Brahy.D01G0684800	Brast07G016800
Brahy.D01G0684900	Brast07G016700
Brahy.D01G0685100	Brast07G016500
Brahy.D01G0685500	Brast07G016400
Brahy.D01G0685700	Brast07G016200
Brahy.D01G0685800	Brast07G016100
Brahy.D01G0686100	Brast07G016000
Brahy.D01G0686200	Brast07G015900
Brahy.D01G0686300	Brast07G015800
Brahy.D01G0686400	Brast07G015700
Brahy.D01G0686500	Brast07G015600
Brahy.D01G0686700	Brast07G015500
Brahy.D01G0686800	Brast07G015400
Brahy.D01G0687100	Brast07G015300
Brahy.D01G0687300	Brast07G015100
Brahy.D01G0687500	Brast07G014900
Brahy.D01G0687600	Brast07G014700
Brahy.D01G0687700	Brast07G014600
Brahy.D01G0687900	Brast07G014500
Brahy.D01G0688000	Brast07G014400
Brahy.D01G0688100	Brast07G014300
Brahy.D01G0688300	Brast07G014200
Brahy.D01G0688500	Brast07G014000
Brahy.D01G0688600	Brast07G013900
Brahy.D01G0688700	Brast07G013800
Brahy.D01G0688800	Brast07G013700
Brahy.D01G0689300	Brast07G013400
Brahy.D01G0689400	Brast07G013300
Brahy.D01G0689500	Brast07G013200
Brahy.D01G0689700	Brast07G013100
Brahy.D01G0689800	Brast07G013000
Brahy.D01G0689900	Brast07G012900
Brahy.D01G0690100	Brast07G012800
Brahy.D01G0690500	Brast07G012700
Brahy.D01G0690600	Brast07G012600
Brahy.D01G0690700	Brast07G012500
Brahy.D01G0690900	Brast07G012400
Brahy.D01G0691000	Brast07G012300
Brahy.D01G0691200	Brast07G012200
Brahy.D01G0691400	Brast07G012000
Brahy.D01G0691500	Brast07G011900
Brahy.D01G0691800	Brast07G011700
Brahy.D01G0691900	Brast07G011600
Brahy.D01G0692000	Brast07G011500
Brahy.D01G0692100	Brast07G011400
Brahy.D01G0692200	Brast07G011300
Brahy.D01G0692400	Brast07G011200
Brahy.D01G0692500	Brast07G011100
Brahy.D01G0692600	Brast07G011000
Brahy.D01G0692800	Brast07G010800
Brahy.D01G0692900	Brast07G010700
Brahy.D01G0693000	Brast07G010600
Brahy.D01G0693100	Brast07G010400
Brahy.D01G0693200	Brast07G010300
Brahy.D01G0693300	Brast07G010200
Brahy.D01G0693400	Brast07G010100
Brahy.D01G0693600	Brast07G010000
Brahy.D01G0693700	Brast07G009900
Brahy.D01G0694000	Brast07G009800
Brahy.D01G0694100	Brast07G009700
Brahy.D01G0694200	Brast07G009600
Brahy.D01G0694300	Brast07G009500
Brahy.D01G0695400	Brast07G009400
Brahy.D01G0695500	Brast07G009300
Brahy.D01G0695600	Brast07G009200
Brahy.D01G0695900	Brast07G009100
Brahy.D01G0696000	Brast07G009000
Brahy.D01G0696100	Brast07G008900
Brahy.D01G0696200	Brast07G008800
Brahy.D01G0696900	Brast07G008500
Brahy.D01G0697200	Brast07G008400
Brahy.D01G0697300	Brast07G008300
Brahy.D01G0697500	Brast07G008200
Brahy.D01G0697600	Brast07G008100
Brahy.D01G0697900	Brast07G007800
Brahy.D01G0698000	Brast07G007700
Brahy.D01G0698100	Brast07G007600
Brahy.D01G0698300	Brast07G007500
Brahy.D01G0698400	Brast07G007300
Brahy.D01G0698500	Brast07G007200
Brahy.D01G0698600	Brast07G007100
Brahy.D01G0698700	Brast07G007000
Brahy.D01G0698900	Brast07G006800
Brahy.D01G0699100	Brast07G006700
Brahy.D01G0699200	Brast07G006500
Brahy.D01G0699300	Brast07G006400
Brahy.D01G0699400	Brast07G006300
Brahy.D01G0699700	Brast07G006100
Brahy.D01G0699800	Brast07G006000
Brahy.D01G0699900	Brast07G005900
Brahy.D01G0700000	Brast07G005800
Brahy.D01G0700100	Brast07G005700
Brahy.D01G0700300	Brast07G005600
Brahy.D01G0700400	Brast07G005500
Brahy.D01G0700700	Brast07G005300
Brahy.D01G0700800	Brast07G005200
Brahy.D01G0701000	Brast07G005100
Brahy.D01G0701100	Brast07G005000
Brahy.D01G0701200	Brast07G004900
Brahy.D01G0701300	Brast07G004800
Brahy.D01G0701400	Brast07G004700
Brahy.D01G0701500	Brast07G004600
Brahy.D01G0701600	Brast07G004500
Brahy.D01G0701700	Brast07G004400
Brahy.D01G0701800	Brast07G004300
Brahy.D01G0701900	Brast07G004200
Brahy.D01G0702100	Brast07G004100
Brahy.D01G0702900	Brast07G004000
Brahy.D01G0703000	Brast07G003900
Brahy.D01G0703100	Brast07G003800
Brahy.D01G0703200	Brast07G003700
Brahy.D01G0703300	Brast07G003600
Brahy.D01G0703400	Brast07G003500
Brahy.D01G0703600	Brast07G003400
Brahy.D01G0703700	Brast07G003300
Brahy.D01G0703800	Brast07G003200
Brahy.D01G0703900	Brast07G003100
Brahy.D01G0704000	Brast07G003000
Brahy.D01G0704100	Brast07G002900
Brahy.D01G0704200	Brast07G002800
Brahy.D01G0704300	Brast07G002700
Brahy.D01G0704400	Brast07G002600
Brahy.D01G0704600	Brast07G002500
Brahy.D01G0704700	Brast07G002400
Brahy.D01G0704800	Brast07G002300
Brahy.D01G0704900	Brast07G002200
Brahy.D01G0705000	Brast07G002100
Brahy.D01G0705100	Brast07G002000
Brahy.D01G0705300	Brast07G001900
Brahy.D01G0705500	Brast07G001700
Brahy.D01G0705600	Brast07G001600
Brahy.D01G0705700	Brast07G001500
Brahy.D01G0705800	Brast07G001400
Brahy.D01G0705900	Brast07G001300
Brahy.D01G0706000	Brast07G001200
Brahy.D01G0706100	Brast07G001100
Brahy.D01G0706200	Brast07G001000
Brahy.D01G0706300	Brast07G000800
Brahy.D01G0706400	Brast07G000700
Brahy.D01G0706600	Brast07G000600
Brahy.D01G0706800	Brast07G000400
Brahy.D01G0540500	Brast07G125100
Brahy.D01G0543000	Brast07G123400
Brahy.D01G0543300	Brast07G123200
Brahy.D01G0545800	Brast07G120500
Brahy.D01G0545900	Brast07G120200
Brahy.D01G0546200	Brast07G120000
Brahy.D01G0546500	Brast07G119800
Brahy.D01G0546600	Brast07G119700
Brahy.D01G0546700	Brast07G119600
Brahy.D01G0546800	Brast07G119400
Brahy.D01G0546900	Brast07G119300
Brahy.D01G0547100	Brast07G119000
Brahy.D01G0547200	Brast07G118800
Brahy.D01G0547400	Brast07G118500
Brahy.D01G0547500	Brast07G118300
Brahy.D01G0547700	Brast07G118200
Brahy.D01G0548000	Brast07G117900
Brahy.D01G0548100	Brast07G117800
Brahy.D01G0548300	Brast07G117700
Brahy.D01G0549900	Brast07G117500
Brahy.D01G0550500	Brast07G117400
Brahy.D01G0550600	Brast07G117300
Brahy.D01G0551000	Brast07G117200
Brahy.D01G0551200	Brast07G117000
Brahy.D01G0551300	Brast07G116800
Brahy.D01G0551700	Brast07G116600
Brahy.D01G0552100	Brast07G116000
Brahy.D01G0552200	Brast07G115700
Brahy.D01G0552300	Brast07G115600
Brahy.D01G0552900	Brast07G115300
Brahy.D01G0553000	Brast07G115200
Brahy.D01G0553100	Brast07G115100
Brahy.D01G0553300	Brast07G115000
Brahy.D01G0553500	Brast07G114900
Brahy.D01G0553600	Brast07G114800
Brahy.D01G0553700	Brast07G114700
Brahy.D01G0554000	Brast07G114500
Brahy.D01G0554200	Brast07G114300
Brahy.D01G0554400	Brast07G114100
Brahy.D01G0554600	Brast07G114000
Brahy.D01G0554900	Brast07G113900
Brahy.D01G0555000	Brast07G113800
Brahy.D01G0555200	Brast07G113700
Brahy.D01G0555700	Brast07G113600
Brahy.D01G0555800	Brast07G113500
Brahy.D01G0556300	Brast07G113300
Brahy.D01G0561800	Brast07G113100
Brahy.D01G0561900	Brast07G112700
Brahy.D01G0562200	Brast07G112600
Brahy.D01G0562300	Brast07G112500
Brahy.D01G0562700	Brast07G112200
Brahy.D01G0562900	Brast07G112000
Brahy.D01G0563100	Brast07G111800
Brahy.D01G0563200	Brast07G111600
Brahy.D01G0563400	Brast07G111300
Brahy.D01G0544200	Brast07G127300
Brahy.D01G0544900	Brast07G126800
Brahy.D01G0545000	Brast07G126700
Brahy.D01G0545300	Brast07G126100
Brahy.D01G0545400	Brast07G126000
Brahy.D01G0545500	Brast07G125900
Brahy.D01G0545600	Brast07G125800
Brahy.D02G0542300	Brast01G241400
Brahy.D02G0543800	Brast01G242300
Brahy.D02G0543900	Brast01G242400
Brahy.D02G0544000	Brast01G242600
Brahy.D02G0544200	Brast01G242800
Brahy.D02G0544300	Brast01G243300
Brahy.D02G0544400	Brast01G243400
Brahy.D02G0544800	Brast01G243500
Brahy.D02G0544900	Brast01G243800
Brahy.D02G0545200	Brast01G243900
Brahy.D02G0545300	Brast01G244000
Brahy.D02G0545700	Brast01G244100
Brahy.D02G0545800	Brast01G244200
Brahy.D02G0545900	Brast01G244300
Brahy.D02G0546000	Brast01G244400
Brahy.D02G0546200	Brast01G244600
Brahy.D02G0546300	Brast01G244700
Brahy.D02G0546600	Brast01G245100
Brahy.D02G0546800	Brast01G245300
Brahy.D02G0547000	Brast01G245400
Brahy.D02G0547100	Brast01G245700
Brahy.D02G0547300	Brast01G245900
Brahy.D02G0547400	Brast01G246000
Brahy.D02G0547500	Brast01G246100
Brahy.D02G0547600	Brast01G246200
Brahy.D02G0547700	Brast01G246300
Brahy.D02G0548000	Brast01G246400
Brahy.D02G0548100	Brast01G246500
Brahy.D02G0548200	Brast01G246600
Brahy.D02G0548300	Brast01G246700
Brahy.D02G0548400	Brast01G246800
Brahy.D02G0548500	Brast01G246900
Brahy.D02G0548600	Brast01G247000
Brahy.D02G0548800	Brast01G247200
Brahy.D02G0548900	Brast01G247300
Brahy.D02G0549000	Brast01G247400
Brahy.D02G0549100	Brast01G247500
Brahy.D02G0549200	Brast01G247700
Brahy.D02G0537100	Brast01G247900
Brahy.D02G0537200	Brast01G248000
Brahy.D02G0537300	Brast01G248100
Brahy.D02G0537400	Brast01G248200
Brahy.D02G0537600	Brast01G248300
Brahy.D02G0537700	Brast01G248400
Brahy.D02G0538000	Brast01G248500
Brahy.D02G0538100	Brast01G248600
Brahy.D02G0538400	Brast01G248700
Brahy.D02G0538700	Brast01G249100
Brahy.D02G0538800	Brast01G249200
Brahy.D02G0539300	Brast01G249500
Brahy.D02G0539400	Brast01G249600
Brahy.D02G0539900	Brast01G250300
Brahy.D02G0540100	Brast01G250400
Brahy.D02G0540400	Brast01G250700
Brahy.D02G0540500	Brast01G250800
Brahy.D02G0540600	Brast01G250900
Brahy.D02G0541000	Brast01G251000
Brahy.D02G0541100	Brast01G251100
Brahy.D02G0541200	Brast01G251200
Brahy.D02G0541300	Brast01G251300
Brahy.D02G0541400	Brast01G251400
Brahy.D02G0541500	Brast01G251500
Brahy.D02G0541600	Brast01G251600
Brahy.D02G0541700	Brast01G251800
Brahy.D02G0541900	Brast01G251900
Brahy.D02G0542500	Brast01G252300
Brahy.D02G0542600	Brast01G252600
Brahy.D02G0542700	Brast01G252800
Brahy.D02G0542800	Brast01G252900
Brahy.D02G0542900	Brast01G253400
Brahy.D02G0543100	Brast01G253500
Brahy.D02G0543200	Brast01G253600
Brahy.D02G0543500	Brast01G253900
Brahy.D02G0543600	Brast01G254000
Brahy.D02G0143800	Brast01G295500
Brahy.D02G0143900	Brast01G295600
Brahy.D02G0144000	Brast01G295700
Brahy.D02G0144100	Brast01G295900
Brahy.D02G0144200	Brast01G296100
Brahy.D02G0144500	Brast01G296200
Brahy.D02G0144600	Brast01G296300
Brahy.D02G0144700	Brast01G296500
Brahy.D02G0144800	Brast01G296600
Brahy.D02G0144900	Brast01G296700
Brahy.D02G0145000	Brast01G296800
Brahy.D02G0145100	Brast01G296900
Brahy.D02G0145200	Brast01G297000
Brahy.D02G0145600	Brast01G297100
Brahy.D02G0147000	Brast01G297200
Brahy.D02G0147200	Brast01G297400
Brahy.D02G0147500	Brast01G297600
Brahy.D02G0147600	Brast01G297700
Brahy.D02G0001200	Brast01G412600
Brahy.D02G0001600	Brast01G412800
Brahy.D02G0002300	Brast01G413100
Brahy.D02G0002400	Brast01G413200
Brahy.D02G0002900	Brast01G413500
Brahy.D02G0003000	Brast01G413600
Brahy.D02G0003600	Brast01G414000
Brahy.D02G0003700	Brast01G414100
Brahy.D02G0003800	Brast01G414200
Brahy.D02G0003900	Brast01G414300
Brahy.D02G0004100	Brast01G414400
Brahy.D02G0004200	Brast01G414500
Brahy.D02G0004300	Brast01G414600
Brahy.D02G0004400	Brast01G414700
Brahy.D02G0004500	Brast01G414800
Brahy.D02G0443200	Brast01G363500
Brahy.D02G0443300	Brast01G363600
Brahy.D02G0443400	Brast01G363700
Brahy.D02G0444400	Brast01G366000
Brahy.D02G0446500	Brast01G367400
Brahy.D02G0446800	Brast01G367900
Brahy.D02G0448400	Brast01G369400
Brahy.D02G0448800	Brast01G370100
Brahy.D02G0449100	Brast01G370500
Brahy.D02G0449500	Brast01G371600
Brahy.D02G0449600	Brast01G371700
Brahy.D02G0449900	Brast01G371900
Brahy.D02G0818100	Brast01G016500
Brahy.D02G0818600	Brast01G016600
Brahy.D02G0818700	Brast01G016700
Brahy.D02G0818900	Brast01G016800
Brahy.D02G0819000	Brast01G016900
Brahy.D02G0819100	Brast01G017000
Brahy.D02G0819300	Brast01G017300
Brahy.D02G0195600	Brast01G255200
Brahy.D02G0196000	Brast01G255300
Brahy.D02G0196200	Brast01G255500
Brahy.D02G0196300	Brast01G255700
Brahy.D02G0196500	Brast01G255900
Brahy.D02G0196700	Brast01G256000
Brahy.D02G0196800	Brast01G256100
Brahy.D02G0825200	Brast01G010200
Brahy.D02G0825500	Brast01G010500
Brahy.D02G0826000	Brast01G011600
Brahy.D02G0826100	Brast01G011700
Brahy.D02G0826200	Brast01G011800
Brahy.D02G0826400	Brast01G011900
Brahy.D02G0550500	Brast01G241600
Brahy.D02G0550600	Brast01G241500
Brahy.D02G0550800	Brast01G241300
Brahy.D02G0550900	Brast01G241200
Brahy.D02G0551000	Brast01G241100
Brahy.D02G0551100	Brast01G241000
Brahy.D02G0551900	Brast01G240900
Brahy.D02G0552200	Brast01G240600
Brahy.D02G0552300	Brast01G240500
Brahy.D02G0552600	Brast01G240400
Brahy.D02G0552700	Brast01G240300
Brahy.D02G0552800	Brast01G240200
Brahy.D02G0552900	Brast01G240000
Brahy.D02G0553000	Brast01G239900
Brahy.D02G0553100	Brast01G239700
Brahy.D02G0553200	Brast01G239600
Brahy.D02G0553300	Brast01G239500
Brahy.D02G0553400	Brast01G239400
Brahy.D02G0553600	Brast01G239100
Brahy.D02G0553700	Brast01G238900
Brahy.D02G0554100	Brast01G238800
Brahy.D02G0554200	Brast01G238700
Brahy.D02G0554300	Brast01G238500
Brahy.D02G0554700	Brast01G238200
Brahy.D02G0554800	Brast01G238100
Brahy.D02G0555300	Brast01G237900
Brahy.D02G0555400	Brast01G237800
Brahy.D02G0555600	Brast01G237700
Brahy.D02G0555800	Brast01G237600
Brahy.D02G0555900	Brast01G237500
Brahy.D02G0556000	Brast01G237300
Brahy.D02G0556200	Brast01G237100
Brahy.D02G0556700	Brast01G237000
Brahy.D02G0557000	Brast01G236800
Brahy.D02G0557400	Brast01G236400
Brahy.D02G0557700	Brast01G236300
Brahy.D02G0558000	Brast01G236100
Brahy.D02G0558100	Brast01G236000
Brahy.D02G0558500	Brast01G235900
Brahy.D02G0558700	Brast01G235700
Brahy.D02G0558800	Brast01G235600
Brahy.D02G0558900	Brast01G235500
Brahy.D02G0559600	Brast01G235400
Brahy.D02G0559700	Brast01G235300
Brahy.D02G0559900	Brast01G235200
Brahy.D02G0560000	Brast01G235100
Brahy.D02G0560200	Brast01G235000
Brahy.D02G0560300	Brast01G234900
Brahy.D02G0560400	Brast01G234800
Brahy.D02G0560800	Brast01G234700
Brahy.D02G0560900	Brast01G234600
Brahy.D02G0561000	Brast01G234500
Brahy.D02G0561100	Brast01G234300
Brahy.D02G0561200	Brast01G234200
Brahy.D02G0561300	Brast01G234100
Brahy.D02G0561400	Brast01G234000
Brahy.D02G0561500	Brast01G233900
Brahy.D02G0561600	Brast01G233800
Brahy.D02G0561700	Brast01G233700
Brahy.D02G0561800	Brast01G233600
Brahy.D02G0561900	Brast01G233500
Brahy.D02G0562000	Brast01G233400
Brahy.D02G0562100	Brast01G233300
Brahy.D02G0562200	Brast01G233200
Brahy.D02G0562300	Brast01G233100
Brahy.D02G0562400	Brast01G233000
Brahy.D02G0562600	Brast01G232800
Brahy.D02G0562700	Brast01G232700
Brahy.D02G0562800	Brast01G232600
Brahy.D02G0562900	Brast01G232500
Brahy.D02G0563000	Brast01G232400
Brahy.D02G0563500	Brast01G232100
Brahy.D02G0563700	Brast01G232000
Brahy.D02G0563800	Brast01G231900
Brahy.D02G0564100	Brast01G231800
Brahy.D02G0564200	Brast01G231700
Brahy.D02G0564300	Brast01G231600
Brahy.D02G0564400	Brast01G231500
Brahy.D02G0564700	Brast01G231400
Brahy.D02G0564800	Brast01G231300
Brahy.D02G0564900	Brast01G231200
Brahy.D02G0565000	Brast01G231100
Brahy.D02G0565400	Brast01G231000
Brahy.D02G0565500	Brast01G230900
Brahy.D02G0565600	Brast01G230800
Brahy.D02G0565800	Brast01G230700
Brahy.D02G0566000	Brast01G230500
Brahy.D02G0566100	Brast01G230400
Brahy.D02G0566600	Brast01G230000
Brahy.D02G0566800	Brast01G229900
Brahy.D02G0566900	Brast01G229800
Brahy.D02G0567100	Brast01G229500
Brahy.D02G0567200	Brast01G229400
Brahy.D02G0567300	Brast01G229300
Brahy.D02G0567600	Brast01G228900
Brahy.D02G0567700	Brast01G228800
Brahy.D02G0567800	Brast01G228700
Brahy.D02G0568000	Brast01G228600
Brahy.D02G0568100	Brast01G228500
Brahy.D02G0568200	Brast01G228400
Brahy.D02G0568300	Brast01G228300
Brahy.D02G0568500	Brast01G228200
Brahy.D02G0568600	Brast01G228100
Brahy.D02G0568700	Brast01G227800
Brahy.D02G0568800	Brast01G227700
Brahy.D02G0569000	Brast01G227600
Brahy.D02G0569500	Brast01G227400
Brahy.D02G0569800	Brast01G227300
Brahy.D02G0569900	Brast01G227200
Brahy.D02G0570000	Brast01G227100
Brahy.D02G0570100	Brast01G227000
Brahy.D02G0570200	Brast01G226900
Brahy.D02G0570300	Brast01G226800
Brahy.D02G0570400	Brast01G226600
Brahy.D02G0570500	Brast01G226500
Brahy.D02G0570600	Brast01G226400
Brahy.D02G0570700	Brast01G226300
Brahy.D02G0571000	Brast01G226000
Brahy.D02G0571100	Brast01G225900
Brahy.D02G0571600	Brast01G225800
Brahy.D02G0571800	Brast01G225600
Brahy.D02G0571900	Brast01G225400
Brahy.D02G0572400	Brast01G225100
Brahy.D02G0572700	Brast01G225000
Brahy.D02G0573200	Brast01G224800
Brahy.D02G0573300	Brast01G224700
Brahy.D02G0573600	Brast01G224600
Brahy.D02G0573700	Brast01G224500
Brahy.D02G0573800	Brast01G224400
Brahy.D02G0574000	Brast01G224300
Brahy.D02G0574100	Brast01G224200
Brahy.D02G0574400	Brast01G224100
Brahy.D02G0574500	Brast01G224000
Brahy.D02G0574600	Brast01G223900
Brahy.D02G0574700	Brast01G223700
Brahy.D02G0574800	Brast01G223600
Brahy.D02G0574900	Brast01G223500
Brahy.D02G0575000	Brast01G223300
Brahy.D02G0575300	Brast01G223200
Brahy.D02G0575400	Brast01G223100
Brahy.D02G0575500	Brast01G223000
Brahy.D02G0576000	Brast01G222600
Brahy.D02G0576100	Brast01G222500
Brahy.D02G0576200	Brast01G222300
Brahy.D02G0576700	Brast01G222200
Brahy.D02G0576800	Brast01G222100
Brahy.D02G0577000	Brast01G222000
Brahy.D02G0577100	Brast01G221900
Brahy.D02G0577200	Brast01G221800
Brahy.D02G0577300	Brast01G221700
Brahy.D02G0577400	Brast01G221600
Brahy.D02G0577500	Brast01G221500
Brahy.D02G0577600	Brast01G221400
Brahy.D02G0577700	Brast01G221300
Brahy.D02G0577800	Brast01G221100
Brahy.D02G0578100	Brast01G221000
Brahy.D02G0578200	Brast01G220900
Brahy.D02G0578300	Brast01G220600
Brahy.D02G0578400	Brast01G220500
Brahy.D02G0578700	Brast01G220400
Brahy.D02G0579000	Brast01G220300
Brahy.D02G0579200	Brast01G220200
Brahy.D02G0579700	Brast01G220100
Brahy.D02G0579800	Brast01G219900
Brahy.D02G0579900	Brast01G219800
Brahy.D02G0580000	Brast01G219700
Brahy.D02G0580100	Brast01G219600
Brahy.D02G0580200	Brast01G219500
Brahy.D02G0580300	Brast01G219400
Brahy.D02G0580400	Brast01G219300
Brahy.D02G0580800	Brast01G219100
Brahy.D02G0580900	Brast01G219000
Brahy.D02G0581100	Brast01G218900
Brahy.D02G0581200	Brast01G218800
Brahy.D02G0581400	Brast01G218700
Brahy.D02G0581500	Brast01G218600
Brahy.D02G0581600	Brast01G218500
Brahy.D02G0581700	Brast01G218300
Brahy.D02G0581900	Brast01G218100
Brahy.D02G0582000	Brast01G218000
Brahy.D02G0582100	Brast01G217900
Brahy.D02G0582200	Brast01G217800
Brahy.D02G0582400	Brast01G217700
Brahy.D02G0582500	Brast01G217600
Brahy.D02G0582600	Brast01G217500
Brahy.D02G0583000	Brast01G216600
Brahy.D02G0583100	Brast01G216500
Brahy.D02G0583200	Brast01G216400
Brahy.D02G0583300	Brast01G216300
Brahy.D02G0583400	Brast01G216200
Brahy.D02G0583500	Brast01G216100
Brahy.D02G0583600	Brast01G216000
Brahy.D02G0583700	Brast01G215800
Brahy.D02G0583800	Brast01G215700
Brahy.D02G0584000	Brast01G215600
Brahy.D02G0584100	Brast01G215500
Brahy.D02G0584200	Brast01G215400
Brahy.D02G0584300	Brast01G215300
Brahy.D02G0584400	Brast01G215100
Brahy.D02G0584600	Brast01G214900
Brahy.D02G0584800	Brast01G214800
Brahy.D02G0584900	Brast01G214700
Brahy.D02G0585000	Brast01G214600
Brahy.D02G0585600	Brast01G214500
Brahy.D02G0585700	Brast01G214400
Brahy.D02G0585800	Brast01G214300
Brahy.D02G0585900	Brast01G214200
Brahy.D02G0586000	Brast01G214100
Brahy.D02G0586300	Brast01G213900
Brahy.D02G0586500	Brast01G213700
Brahy.D02G0586600	Brast01G213100
Brahy.D02G0586700	Brast01G213000
Brahy.D02G0586900	Brast01G212900
Brahy.D02G0587500	Brast01G212700
Brahy.D02G0587600	Brast01G212600
Brahy.D02G0588100	Brast01G212200
Brahy.D02G0588200	Brast01G212100
Brahy.D02G0588300	Brast01G212000
Brahy.D02G0588400	Brast01G211900
Brahy.D02G0588500	Brast01G211800
Brahy.D02G0588800	Brast01G211600
Brahy.D02G0588900	Brast01G211500
Brahy.D02G0589100	Brast01G211300
Brahy.D02G0589200	Brast01G211200
Brahy.D02G0589400	Brast01G211000
Brahy.D02G0589500	Brast01G210900
Brahy.D02G0589700	Brast01G210800
Brahy.D02G0589800	Brast01G210700
Brahy.D02G0589900	Brast01G210600
Brahy.D02G0590000	Brast01G210500
Brahy.D02G0590200	Brast01G210300
Brahy.D02G0590300	Brast01G210200
Brahy.D02G0590400	Brast01G210100
Brahy.D02G0590700	Brast01G210000
Brahy.D02G0590900	Brast01G209900
Brahy.D02G0591100	Brast01G209800
Brahy.D02G0591300	Brast01G209600
Brahy.D02G0591400	Brast01G209500
Brahy.D02G0591600	Brast01G209300
Brahy.D02G0591700	Brast01G209200
Brahy.D02G0591800	Brast01G209100
Brahy.D02G0592300	Brast01G208900
Brahy.D02G0592800	Brast01G208600
Brahy.D02G0593000	Brast01G208500
Brahy.D02G0593100	Brast01G208400
Brahy.D02G0593200	Brast01G208200
Brahy.D02G0593400	Brast01G208100
Brahy.D02G0593700	Brast01G207800
Brahy.D02G0594100	Brast01G207700
Brahy.D02G0594200	Brast01G207600
Brahy.D02G0594400	Brast01G207500
Brahy.D02G0594500	Brast01G207300
Brahy.D02G0594600	Brast01G207200
Brahy.D02G0594700	Brast01G207000
Brahy.D02G0594800	Brast01G206900
Brahy.D02G0594900	Brast01G206800
Brahy.D02G0595000	Brast01G206700
Brahy.D02G0595300	Brast01G206600
Brahy.D02G0595400	Brast01G206500
Brahy.D02G0595500	Brast01G206400
Brahy.D02G0595600	Brast01G206300
Brahy.D02G0595700	Brast01G206200
Brahy.D02G0595800	Brast01G206100
Brahy.D02G0595900	Brast01G206000
Brahy.D02G0596000	Brast01G205900
Brahy.D02G0596200	Brast01G205600
Brahy.D02G0596300	Brast01G205500
Brahy.D02G0596400	Brast01G205400
Brahy.D02G0596600	Brast01G205300
Brahy.D02G0597100	Brast01G205200
Brahy.D02G0597200	Brast01G205100
Brahy.D02G0597300	Brast01G205000
Brahy.D02G0598200	Brast01G204500
Brahy.D02G0598500	Brast01G204100
Brahy.D02G0598900	Brast01G204000
Brahy.D02G0599000	Brast01G203900
Brahy.D02G0599200	Brast01G203800
Brahy.D02G0599300	Brast01G203700
Brahy.D02G0599400	Brast01G203600
Brahy.D02G0599500	Brast01G203500
Brahy.D02G0599600	Brast01G203400
Brahy.D02G0599800	Brast01G203300
Brahy.D02G0599900	Brast01G203200
Brahy.D02G0600000	Brast01G203100
Brahy.D02G0600100	Brast01G202900
Brahy.D02G0600200	Brast01G202800
Brahy.D02G0600400	Brast01G202700
Brahy.D02G0600500	Brast01G202600
Brahy.D02G0600600	Brast01G202500
Brahy.D02G0600800	Brast01G202400
