	bhsid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
854	Brahy.S03G0325200	0.002017729	0.001935915	1.042261153	Brast03G298700			
855	Brahy.S03G0330400	0.000796446	0.001401202	0.568402225	Brast03G303600			
856	Brahy.S04G0006600	0.0005376012499999	0.000857277	0.6344127225	Brast04G005100	0.0011183624999999	0.005472288	0.155161169
857	Brahy.S04G0009000	4.02e-05	0.0001689	0.238008454	Brast04G007400			
858	Brahy.S04G0011800	0.000438966	0.0011740973333333	0.5166503933333334	Brast04G010300			
859	Brahy.S04G0012100	0.00175232325	0.0026256985	0.96725012725	Brast04G010600			
860	Brahy.S04G0012700	0.011133628	0.010828255	1.028201447	Brast04G011200			
861	Brahy.S04G0013200	0.0049546693333333	0.0073860646666666	0.6800054683333334	Brast04G011700			
862	Brahy.S04G0014700	0.0007410755	0.001280949	0.56822562	Brast04G013300			
863	Brahy.S04G0015000	0.000270954	0.00045013	0.601945163	Brast04G013600			
864	Brahy.S04G0021800	0.0031902865	0.00457224675	0.72116756125	Brast04G020300			
865	Brahy.S04G0021900	0.0009963062	0.0014342218	0.7525796326	Brast04G020400			
866	Brahy.S04G0023000	0.002640881	0.002434394	1.08482055	Brast04G021400			
867	Brahy.S04G0023200	0.006576576	0.0070482613333333	1.10018384	Brast04G021600			
868	Brahy.S04G0023500	0.0024265895	0.00374890575	0.78135457275	Brast04G021900			
869	Brahy.S04G0025300	0.000852319	0.00073896775	1.26159703675	Brast04G023900			
870	Brahy.S04G0028200	0.00202367	0.0030996256666666	0.712470351	Brast04G027000	0.000426755	0.000394998	1.0546327263333335
871	Brahy.S04G0035100	9.55e-05	0.000246427	0.387577402	Brast04G033100	0.000613335	0.001007719	0.608637516
872	Brahy.S04G0035900	0.00011115575	0.000260115	0.42802459525	Brast04G033800			
873	Brahy.S04G0036000	0.002656035	0.00501477475	0.6289230325	Brast04G033900	0.004307274	0.001231275	3.498223029
874	Brahy.S04G0036100	0.000804248	0.00191309	0.420392241	Brast04G034000			
875	Brahy.S04G0040100	0.002199082	0.002302671	0.955013277	Brast04G037600			
876	Brahy.S04G0040200	0.00050347	0.002072669	0.2630863625	Brast04G037700			
877	Brahy.S04G0047300	0.000908833	0.000655259	1.386982004	Brast04G044100			
878	Brahy.S04G0049000	0.00288310525	0.006299669	0.439123376	Brast04G045800			
879	Brahy.S04G0060800	0.000882786	0.005274847	0.16735758	Brast04G057300			
880	Brahy.S04G0069600	0.0042484	0.0046656276666666	0.9816354506666668	Brast04G065500			
881	Brahy.S04G0073200	0.002245665	0.0070256466666666	0.3530943229999999	Brast04G069100			
882	Brahy.S04G0076400	0.000531249	0.000616348	0.861930054	Brast04G072300	0.001222919	0.002739133	0.446461973
883	Brahy.S04G0082000	0.0055863505	0.00604503275	0.93078787625	Brast04G077300			
884	Brahy.S04G0082100	0.003242193	0.001846659	1.6554508095	Brast04G077400			
885	Brahy.S04G0083100	1.5e-05	4.33e-05	0.34717877	Brast04G078400			
886	Brahy.S04G0084700	0.0002218469999999	0.0003436573333333	0.6306503713333333	Brast04G080000	0.001050626	0.000947054	1.109362475
887	Brahy.S04G0085800	0.000631076	0.001018633	0.619532415	Brast04G081100			
888	Brahy.S04G0090800	0.0017093763333333	0.0013895643333333	1.507250101	Brast04G086000			
889	Brahy.S04G0094000	3.0400000000000105e-05	3.365000000000022e-05	0.683065335	Brast04G089000	2.76e-05	0.000740217	0.037323878
890	Brahy.S04G0094200	0.0007523973333333	0.000370497	1.969631025	Brast04G089200			
891	Brahy.S04G0098600	0.00069885125	0.0007279165	0.84849143725	Brast04G093300			
892	Brahy.S04G0098700	0.0004411636666666	0.0013843006666666	0.3794639746666666	Brast04G093400			
893	Brahy.S04G0100000	0.0055483395	0.00866408	0.5990134205	Brast04G094600			
894	Brahy.S04G0102300	0.0017547406666666	0.0053230563333333	0.3653080873333333	Brast04G096500			
895	Brahy.S04G0113700	0.004508433	0.005562749	0.83225661625	Brast04G107200	0.00185369	0.003463299	0.535238074
896	Brahy.S04G0116600	5.53e-05	0.000221955	0.249234624	Brast04G109900	0.0001803	0.000332068	0.542960629
897	Brahy.S04G0121200	0.0038368893333333	0.0029544519999999	1.3874414946666669	Brast04G114200			
898	Brahy.S04G0124600	0.000365447	0.001158816	0.31536276	Brast04G117600			
899	Brahy.S04G0139700	7.9516e-05	0.0001915845	0.4014436995	Brast04G131900			
900	Brahy.S04G0144200	5.31e-05	0.000186855	0.284146559	Brast04G136400			
901	Brahy.S04G0144500	0.001697858	0.00206312375	0.8565348325	Brast04G136600			
902	Brahy.S04G0145600	0.0016461499999999	0.00227306225	0.76055728425				
903	Brahy.S04G0149500	0.00197138	0.002924088	0.674186395	Brast04G140300			
904	Brahy.S04G0150800	0.0004992275	0.0010036845	0.411784395	Brast04G141600			
905	Brahy.S04G0153700	0.000983454	0.00232558	0.4500867705	Brast04G144200			
906	Brahy.S04G0156000	0.000338999	0.0002221294999999	1.801816577	Brast04G146200	0.0055512624999999	0.0048569749999999	1.1367425065
907	Brahy.S04G0156200	0.0009135165	0.005681173	0.1609368075	Brast04G146400			
908	Brahy.S04G0160600	0.000510142	0.0023263593333333	0.2504673833333333	Brast04G150200	0.000406178	0.001437597	0.282539824
909	Brahy.S04G0162200	0.001163663	0.0008663265	1.856396702	Brast04G151800			
910	Brahy.S04G0164800	0.0008452304999999	0.002578573	0.3266120695	Brast04G154100			
911	Brahy.S04G0165000	0.000652032	0.004759131	0.137006549	Brast04G154200			
912	Brahy.S04G0165200	0.000639963	0.001426332	0.448677569	Brast04G154400			
913	Brahy.S04G0167500	0.0009692783333333	0.0015733086666666	0.65479368	Brast04G156600			
914	Brahy.S04G0167700	0.0004195135999999	0.001217842	0.4475701728	Brast04G156800			
915	Brahy.S04G0169400	0.0006518895	0.0023088025	0.282354374	Brast04G158400			
916	Brahy.S04G0171300	0.000727176	0.004960188	0.146602443	Brast04G160100			
917	Brahy.S04G0175000	0.000900054	0.007148887	0.125901325	Brast04G163700			
918	Brahy.S04G0181600	1.35e-05	2.92e-05	0.462839743	Brast04G169700			
919	Brahy.S04G0184500	0.000115122	0.001554582	0.074053367	Brast04G172200			
920	Brahy.S04G0198000	0.0012684416666666	0.0030399713333333	0.42769601	Brast04G184500			
921	Brahy.S04G0203800	0.000286251	0.0007397266666666	0.377240407	Brast04G189800			
922	Brahy.S04G0217300	0.00031697	0.002018227	0.157053853	Brast04G202500			
923	Brahy.S04G0224500	7.46e-05	0.000226843	0.328783811	Brast04G208800			
924	Brahy.S04G0228800	0.000479808	0.000925553	0.518401335	Brast04G212000			
925	Brahy.S04G0236900	0.0008109384999999	0.0005942755	3.3632707230000003	Brast04G220200	0.000729028	0.00161875	0.450364766
926	Brahy.S04G0238300	0.0139438356666666	0.020853035	0.6677654369999999	Brast04G218700			
927	Brahy.S04G0242700	0.001215505	0.008703431	0.139658126	Brast04G225200			
928	Brahy.S04G0250000	0.001867409	0.001132396	1.649077789	Brast04G231500			
929	Brahy.S04G0257500	0.000399721	0.001336246	0.299137595	Brast04G238300	0.0026904	0.003902636	0.689380186
930	Brahy.S04G0262000	0.001350809	0.000262053	5.154708017	Brast04G242300	0.001073766	0.003158481	0.339962765
931	Brahy.S04G0265400	0.0037744383333333	0.006046227	0.6459426006666668	Brast04G245700	0.000913977	0.003563431	0.256487965
932	Brahy.S04G0267800	0.002518785	0.001431252	1.759846941	Brast04G247900			
933	Brahy.S04G0270800	0.013067885	0.035559141	0.367497205	Brast04G250700			
934	Brahy.S04G0271000	0.0016200084999999	0.002506126	0.770143138	Brast04G250900	0.003556786	0.006058071	0.587115243
935	Brahy.S04G0279800	0.003258335	0.0082023596666666	0.467200885	Brast04G258200			
936	Brahy.S04G0280000	0.000173909	0.000337864	0.514730822	Brast04G258400	9.45e-05	5.26e-05	1.796562971
937	Brahy.S04G0280200	5.23e-05	0.000961903	0.054351382				
938	Brahy.S04G0287000	0.000232097	0.000138909	1.670861389	Brast04G264900	0.000473564	0.00075951	0.623512529
939	Brahy.S04G0293400	0.001568571	0.008876694	0.176706657	Brast04G270900	4.13e-05	0.000130904	0.315470177
940	Brahy.S04G0293500	0.0171744775	0.02220872675	0.78155950625	Brast04G271000			
941	Brahy.S04G0295600	0.000229093	0.000627955	0.36482308				
942	Brahy.S04G0301200	1.59e-05	6.94e-05	0.229414436	Brast04G278700			
943	Brahy.S04G0302100	0.000497545	0.000144381	3.446049418	Brast04G279600			
944	Brahy.S04G0307300	0.0015270315	0.0014483719999999	0.824036136	Brast04G284500	0.00111297	0.001028789	1.081825949
945	Brahy.S04G0308300	0.0007860524999999	0.0008904725	0.9973764755	Brast04G285600			
946	Brahy.S04G0317400	0.000803	0.000534127	1.503387198	Brast04G293900	0.000359913	0.001180664	0.304839283
947	Brahy.S04G0319200	0.007165317	0.005325102	1.345573498	Brast04G295600			
948	Brahy.S04G0319700	0.000665053	0.000434914	1.52916074	Brast04G296100			
949	Brahy.S04G0324600	5.01e-05	0.00015153	0.330583756	Brast04G300200			
950	Brahy.S04G0324900	0.003647204	0.00664616	0.548768592	Brast04G300400			
951	Brahy.S04G0326800	0.001324418	0.004352152	0.304313451	Brast04G302200			
952	Brahy.S04G0328800	0.000170731	0.001208317	0.141296664	Brast04G304300			
953	Brahy.S04G0330200	0.000415665	0.000415547	1.000283617	Brast04G305500	0.00049516	0.001163677	0.425512953
954	Brahy.S04G0331500	0.002254	0.00132815	1.697097069	Brast04G306500	0.000325908	0.000999171	0.3902514856666666
955	Brahy.S04G0333500	0.00020123275	0.00026274425	0.87043069475	Brast04G308500			
956	Brahy.S04G0338000	0.000173282	0.000663048	0.2172321865	Brast04G312900			
957	Brahy.S04G0347000	0.002296808	0.001587419	1.446882087	Brast04G322200			
958	Brahy.S04G0348100	0.0006206545	0.001302341	0.4629628999999999				
959	Brahy.S04G0352000	0.000445753	0.001010365	0.441180404	Brast04G327300			
960	Brahy.S04G0355300	0.028523577	0.014955045	1.907287958	Brast04G330600	0.001830879	0.001240574	1.475832285
961	Brahy.S04G0359400	0.000274629	0.000211217	1.300217681	Brast04G334700			
962	Brahy.S04G0362700	0.000773805	0.0048497835	0.18427237625	Brast04G338200			
963	Brahy.S04G0367200	8.63e-05	0.000585388	0.147480724	Brast04G342600			
964	Brahy.S05G0001300	0.002629385	0.003583552	0.733737133	Brast05G000800			
965	Brahy.S05G0001500	0.000319047	0.000276133	1.155411394	Brast05G001000			
966	Brahy.S05G0003000	0.000969309	0.00150926	0.642241457	Brast05G002400			
967	Brahy.S05G0008900	0.0001707	0.001589947	0.107361937	Brast05G008000			
968	Brahy.S05G0012900	0.00097166	0.001527067	0.636291498	Brast05G011600			
969	Brahy.S05G0015400	0.0008550945	0.0076324815	0.1115266495	Brast05G014000			
970	Brahy.S05G0017600	0.000461223	0.002177984	0.211765837	Brast05G016100	0.000780876	0.000806218	0.968566989
971	Brahy.S05G0021100	1.81e-05	0.0003119875	0.0734358715	Brast05G019400			
972	Brahy.S05G0027700	0.001103834	0.0012023294	1.1005709926	Brast05G025400	0.000235716	0.000772639	0.305078506
973	Brahy.S05G0027800	0.0004098865	0.0031337565	0.0979715474999999	Brast05G025500			
974	Brahy.S05G0034300	0.002938218	0.002066011	1.422169802	Brast05G031700	0.001325351	0.000322035	4.115549856
975	Brahy.S05G0042600	0.001350866	0.001280718	1.054771991	Brast05G039100			
976	Brahy.S05G0048600	0.01166467325	0.01028846325	1.110084045	Brast05G044300			
977	Brahy.S05G0050300	0.000603015	0.000845271	0.713398102	Brast05G046000			
978	Brahy.S05G0051700	6.68e-05	0.000220371	0.303057287	Brast05G047300			
979	Brahy.S05G0055300	7.6e-05	0.000242883	0.313011945	Brast05G051500			
980	Brahy.S05G0056600	0.00140039	0.0032358225	0.5638925730000001	Brast05G050200			
981	Brahy.S05G0060300	0.010030534	0.0124455665	0.81309168625	Brast05G054500			
982	Brahy.S05G0060400	0.0200967999999999	0.0275741254999999	0.7308095917499999				
983	Brahy.S05G0062000	0.001774457	0.0012065206666666	1.4538325463333333	Brast05G056000			
984	Brahy.S05G0065400	0.00080020975	0.00146294325	0.53695607775	Brast05G056500			
985	Brahy.S05G0069500	0.00234549	0.001557723	1.505716837	Brast05G061000			
986	Brahy.S05G0072400	0.0072971699999999	0.01219395125	0.6058547025000001				
987	Brahy.S05G0076200	0.0002598075	0.001154915	0.2647541025	Brast05G078900			
988	Brahy.S05G0077100	0.000263227	0.000514668	0.511450382	Brast05G080800			
989	Brahy.S05G0079400	0.000823376	0.001041037	0.790919057	Brast05G077500			
990	Brahy.S05G0085900	0.001518817	0.001906015	0.796854458	Brast05G073300			
991	Brahy.S05G0089800	0.000770344	0.0044026776666666	0.1791872903333333	Brast05G069700	0.001310292	0.000467787	2.801044359
992	Brahy.S05G0092900	0.000245125	0.001904057	0.128738152	Brast05G068700	0.00072921	0.001734717	0.420362295
993	Brahy.S05G0095000	0.0015819085	0.00290365	0.512252524	Brast05G089300			
994	Brahy.S05G0102600	0.00681553475	0.014362249	0.474633099	Brast05G093500			
995	Brahy.S05G0104800	0.004320123	0.010040135	0.430285371	Brast05G092200			
996	Brahy.S05G0109000	0.000137839	0.001232965	0.111794441	Brast05G096000			
997	Brahy.S05G0111700	0.00142027025	0.002377833	0.55894228875	Brast05G098600	0.000650524	0.001732769	0.375424648
998	Brahy.S05G0113500	0.0002015533333333	0.0033889953333333	0.063288107	Brast05G100400	0.000186325	0.0006216715	0.27676996
999	Brahy.S05G0114500	0.0004018559999999	0.000498506	0.774659185	Brast05G101200	0.0002243476666666	0.000340388	1.8555860506666668
1000	Brahy.S05G0119000	0.000658122	0.00236727	0.333481474				
1001	Brahy.S05G0125200	0.000384348	0.001122719	0.342337052	Brast05G110400			
1002	Brahy.S05G0133300	0.000357442	0.0002322985	1.500416445				
1003	Brahy.S05G0137500	0.0025796836666666	0.0036405726666666	0.8178509706666667	Brast05G121500	0.000389443	0.001253338	0.310724253
1004	Brahy.S05G0139400	0.000622983	0.003565158	0.174741968	Brast05G123300			
1005	Brahy.S05G0143200	0.000138353	0.00019086	0.724895271	Brast05G126600			
1006	Brahy.S05G0145000	0.000178359	0.000595992	0.299264827				
1007	Brahy.S05G0156300	0.000623457	0.001863757	0.334516318	Brast05G138800			
1008	Brahy.S05G0156700	0.0020848743333333	0.0015787026666666	1.1984829453333334	Brast05G139300			
1009	Brahy.S05G0159400	0.00647929375	0.0131311	0.49246376875				
1010	Brahy.S05G0161200	0.000495566	0.000854366	0.580039026	Brast05G143300	0.0009035075	0.000626188	2.137372727
1011	Brahy.S05G0163600	0.012777316	0.00444103425	3.09344571925	Brast05G145600			
1012	Brahy.S05G0174500	0.000531682	0.00137572	0.386475704	Brast05G155600	0.006584517	0.018624653	0.353537701
1013	Brahy.S05G0180900	0.002792004	0.003218606	0.867457667	Brast05G161700	2.38e-05	8.87e-05	0.268885774
1014	Brahy.S05G0183700	0.005465734	0.0055770125	0.9621066285	Brast05G164500			
1015	Brahy.S05G0184100	7.98e-05	0.000328605	0.242754201	Brast05G164800			
1016	Brahy.S05G0184700	0.0011088945	0.0043122495	0.2445011225	Brast05G165200	0.000351389	0.001172542	0.299681179
1017	Brahy.S05G0190600	0.00699615575	0.00533159525	1.40576458525	Brast05G170300	8.12e-05	0.003761453	0.021582269
1018	Brahy.S05G0200400	6.53e-05	0.00271553	0.024048082	Brast05G179700			
1019	Brahy.S05G0200600	0.0020801303333333	0.0078869436666666	0.3819195123333334	Brast05G179900	0.001263796	0.007749913	0.163072279
1020	Brahy.S05G0200900	0.0008510515	0.00094904	0.896749086				
1021	Brahy.S05G0202500	0.000288489	0.000973078	0.296470815	Brast05G181600	0.000811155	0.001931897	0.419874776
1022	Brahy.S05G0203500	0.000980762	0.001700215	0.576845494	Brast05G182900	0.000141529	0.000437265	0.32366815
1023	Brahy.S05G0218600	0.002643456	0.0048956765	0.4592333345	Brast05G197700			
1024	Brahy.S05G0218800	0.003771889	0.003393827	1.111397031	Brast05G197900			
1025	Brahy.S05G0221000	0.001031341	0.001659285	0.621557452	Brast05G200100	0.000492128	0.001991874	0.247067644
1026	Brahy.S05G0230600	0.00749534775	0.01029607625	0.73617445875	Brast05G209100	0.00053946	0.000464439	1.161531527
1027	Brahy.S05G0241300	0.002997108	0.011159705	0.268565201	Brast05G218900	0.0011337435	0.0007481725	1.524978334
1028	Brahy.S05G0241800	0.000280282	0.000967527	0.289689205	Brast05G219400			
1029	Brahy.S05G0246700	0.003986392	0.0048888449999999	0.835088871	Brast05G224000			
1030	Brahy.S05G0247100	0.0011825273333333	0.0043501423333333	0.2700294883333333	Brast05G224400	0.000550853	0.000640225	0.860405624
1031	Brahy.S05G0253100	0.000352568	0.000544247	0.7412591045	Brast05G230200			
1032	Brahy.S05G0253200	0.0036316235	0.00576007725	1.0986063435				
1033	Brahy.S05G0258700	0.0005859075	0.0008260275	1.143922958	Brast05G235400			
1034	Brahy.S05G0263100	0.000779836	0.0012196135	0.62940285225	Brast05G239600			
1035	Brahy.S05G0268500	0.00180351	0.00115687	1.558956275	Brast05G244600			
1036	Brahy.S05G0269600	0.00961171775	0.00738422575	1.30756919625	Brast05G245600			
1037	Brahy.S05G0270000	0.000237749	0.000931697	0.255177866	Brast05G246000	0.004768041	0.004821239	0.988965896
1038	Brahy.S05G0282500	0.002511381	0.001741454	1.442117164	Brast05G257800			
1039	Brahy.S05G0283700	0.0001601365	0.0039136145	0.041560131	Brast05G258800			
1040	Brahy.S05G0283900	4.86e-05	0.000204012	0.238014308				
1041	Brahy.S05G0295700	0.000362629	0.000761118	0.476441757	Brast05G269400	0.002232276	0.001130934	1.973833731
1042	Brahy.S05G0300500	0.0020108803333333	0.0009931996666666	2.119085013	Brast05G273900			
1043	Brahy.S05G0301600	0.00066953	0.002547324	0.262836442	Brast05G274900			
1044	Brahy.S05G0302000	0.0021921358	0.0042627888	0.486333777	Brast05G275300	0.000312281	0.001199204	0.260407338
1045	Brahy.S05G0308200	0.0006858994	0.0023834876	0.4986356648	Brast05G281100	0.001297917	0.002421844	0.535920767
1046	Brahy.S05G0312200	0.0042433492	0.0057071796	0.733978233	Brast05G284900			
1047	Brahy.S05G0313300	0.000113408	0.000351339	0.322786425	Brast05G286000			
1048	Brahy.S05G0314300	0.00936905475	0.01134326225	0.8400682225	Brast05G286900			
1049	Brahy.S05G0319600	0.00099201075	0.00140574775	0.92973974	Brast05G292200	0.000504892	0.0005397024999999	0.9363509825
1050	Brahy.S05G0321000	0.005544364	0.00160961	3.444538634				
1051	Brahy.S05G0322200	0.002409146	0.001465719	1.643661045	Brast05G294400			
1052	Brahy.S05G0324100	0.000751664	0.0012363265	0.7606760115	Brast05G296200	0.000717333	0.000996031	0.717440745
1053	Brahy.S05G0325500	0.001310251	0.003106584	0.421765893	Brast05G297700			
1054	Brahy.S05G0325700	7.84e-05	4.58e-05	1.710165389	Brast05G297900	0.0011914044999999	0.0027256875	0.4368112779999999
1055	Brahy.S05G0326400	0.0011344673333333	0.0050109263333333	0.2407340673333333	Brast05G298500			
1056	Brahy.S05G0330400	0.001621074	0.001589727	1.019718503	Brast05G301900			
1057	Brahy.S06G0000400	0.0006374765	0.0050517765	0.2131469485	Brast06G004800			
1058	Brahy.S06G0003700	0.002016628	0.002859031	0.705353712	Brast06G001800			
1059	Brahy.S06G0007000	0.004452461	0.0071904	0.6064045245	Brast06G006500			
1060	Brahy.S06G0007300	0.022842707	0.012297879	1.857450957	Brast06G006900			
1061	Brahy.S06G0007600	0.000767047	0.001162175	0.660009695	Brast06G007200	0.0004311725	0.000660765	0.9007545525
1062	Brahy.S06G0008200	0.003036084	0.004014842	0.75621521	Brast06G007800			
1063	Brahy.S06G0009400	0.00097809	0.0045968	0.212776202	Brast06G009000			
1064	Brahy.S06G0009500	0.0005191725	0.001599467	0.32422874	Brast06G009100			
1065	Brahy.S06G0009700	0.007301072	0.0201319035	0.36030486375	Brast06G009300	0.000323308	0.000488243	0.662187188
1066	Brahy.S06G0009800	0.0017952715	0.0022451245	1.286155493				
1067	Brahy.S06G0012600	0.0007837215	0.00409507525	0.18311622825	Brast06G012300	0.000561026	0.000561067	0.999925721
1068	Brahy.S06G0013900	0.000960184	0.003541524	0.280283098	Brast06G013400			
1069	Brahy.S06G0014100	0.001287721	0.001768086	0.728313481				
1070	Brahy.S06G0020000	0.000698474	0.001126316	0.620140331	Brast06G019400			
1071	Brahy.S06G0022500	0.000120339	0.000166442	0.723009282	Brast06G021900			
1072	Brahy.S06G0025100	0.00187328	0.002049397	0.914064196	Brast06G024500			
1073	Brahy.S06G0029600	0.0019523515	0.003097396	0.6405653005	Brast06G028600			
1074	Brahy.S06G0029900	0.00440146275	0.0043238554999999	1.01530970125				
1075	Brahy.S06G0030800	0.00063347	0.000334009	1.896564138	Brast06G029800			
1076	Brahy.S06G0034400	0.00133433475	0.0010053275	1.07996489875	Brast06G033000	0.000276469	0.000618441	0.447042707
1077	Brahy.S06G0035500	0.00234487	0.001535128	1.527475482	Brast06G034000			
1078	Brahy.S06G0036800	0.000352305	0.000972583	0.362236108	Brast06G035300			
1079	Brahy.S06G0037000	0.008853894	0.0109979193333333	0.9379209086666666	Brast06G035500			
1080	Brahy.S06G0042300	0.000722873	0.002541374	0.284441904	Brast06G040400			
1081	Brahy.S06G0043600	0.001811887	0.00150758	1.201851757	Brast06G041500			
1082	Brahy.S06G0044400	0.001485807	0.002627893	0.565398595	Brast06G042300			
1083	Brahy.S06G0045200	0.002083333	0.006896552	0.302083333	Brast06G043100			
1084	Brahy.S06G0049500	0.000361799	0.001124035	0.321875183	Brast06G047400			
1085	Brahy.S06G0051400	0.005828439	0.0066468998	0.9165461788	Brast06G049400			
1086	Brahy.S06G0055100	0.0014881493333333	0.003122517	0.4461215186666666	Brast06G053000	0.003104724	0.001647606	1.884385419
1087	Brahy.S06G0056200	0.0013695354	0.0035963782	0.4315087954				
1088	Brahy.S06G0060200	0.002491164	0.004372422	0.569744718	Brast06G058000			
1089	Brahy.S06G0061800	0.006464728	0.006995217	0.924164003	Brast06G059600			
1090	Brahy.S06G0063000	0.002623408	0.002192438	1.19657155	Brast06G060700	0.000315017	0.000822454	0.383020718
1091	Brahy.S06G0063100	0.000355183	0.00107904	0.329165853	Brast06G060800	0.003448459	0.007459472	0.462292617
1092	Brahy.S06G0063700	0.0020869515	0.001763464	1.25907125525	Brast06G061400	0.001195567	0.001993537	0.5997213
1093	Brahy.S06G0070700	0.001842255	0.004727335	0.389702604				
1094	Brahy.S06G0080000	0.020843939	0.025539979	0.816129852				
1095	Brahy.S06G0082900	0.002142436	0.002423491	0.884028796	Brast06G079200			
1096	Brahy.S06G0084900	0.00225264075	0.0041835955	0.5765374875				
1097	Brahy.S06G0085700	0.001011975	0.00284495	0.355709226	Brast06G081800			
1098	Brahy.S06G0088600	0.0002784295	0.0009931755	0.28297069425	Brast06G084700			
1099	Brahy.S06G0097600	0.001076298	0.003566733	0.301760039	Brast06G093300			
1100	Brahy.S06G0099000	8.94e-05	0.000505698	0.176695943	Brast06G094700			
1101	Brahy.S06G0104000	0.001221614	0.0013517105	1.15669920975	Brast06G098900	6.67e-05	0.000564768	0.118036991
1102	Brahy.S06G0110800	0.0027232975	0.005259464	0.5719232894999999				
1103	Brahy.S06G0113500	0.0062211	0.006856266	0.907359822	Brast06G107700	0.003148306	0.00674957	0.466445414
1104	Brahy.S06G0113600	0.000806021	0.005715639	0.141020277	Brast06G107800			
1105	Brahy.S06G0114500	0.003100148	0.007089928	0.437260846	Brast06G108700			
1106	Brahy.S06G0115500	0.003102401	0.002309042	1.343587702	Brast06G109700			
1107	Brahy.S06G0115600	0.001218924	0.016414243	0.074260128	Brast06G109800			
1108	Brahy.S06G0124500	0.003732504	0.002797327	1.334311184	Brast06G118400			
1109	Brahy.S06G0124600	0.002609838	0.0027354	0.954097361				
1110	Brahy.S06G0124800	0.002450768	0.00243452	1.006674089	Brast06G118600	0.005574455	0.011443974	0.487108372
1111	Brahy.S06G0128600	0.000258444	0.001365725	0.189235597	Brast06G122400	0.000563693	0.001830836	0.307888606
1112	Brahy.S06G0128800	0.000961162	0.001753046	0.548281387	Brast06G122600			
1113	Brahy.S06G0133300	0.0007363256666666	0.0004866233333333	1.5505255719999995				
1114	Brahy.S06G0136000	0.0002923815	0.0009494645	0.30788185	Brast06G137800			
1115	Brahy.S06G0139300	0.00185783	0.0020905726666666	0.8551359456666666	Brast06G134500			
1116	Brahy.S06G0143200	0.000274223	0.000836587	0.327787934	Brast06G130900			
1117	Brahy.S06G0144700	0.0006633328333333	0.0025338214999999	0.2848917036666666	Brast06G129200	0.001879034	0.002190526	0.857800723
1118	Brahy.S06G0153300	0.00112784475	0.00622991525	0.17844731	Brast06G150700			
1119	Brahy.S06G0166800	9.9579e-05	0.000188571	0.5246411165	Brast06G148700			
1120	Brahy.S06G0171000	0.000644178	0.0006059895	0.711290273	Brast06G169100			
1121	Brahy.S06G0179700	0.000503269	0.001114794	0.451445534	Brast06G156000	0.000460436	0.00104479	0.440696833
1122	Brahy.S06G0187000	0.00221558	0.004170887	0.531201245	Brast06G181400			
1123	Brahy.S06G0193100	0.002377038	0.001537611	1.545929368	Brast06G175900			
1124	Brahy.S06G0194700	0.00176264125	0.00387855475	1.0712634275	Brast06G174500			
1125	Brahy.S06G0194800	0.00206554025	0.00172542325	1.26664681375	Brast06G174400			
1126	Brahy.S06G0199300	5.95e-05	0.000166396	0.35785457	Brast06G183000	0.0016531093333333	0.00149786	0.9828408546666668
1127	Brahy.S06G0200600	0.001207619	0.002066722	0.584316299	Brast06G195300			
1128	Brahy.S06G0207700	0.001207283	0.001404386	0.859651337	Brast06G189200			
1129	Brahy.S06G0210900	0.00183456975	0.00119182825	1.5090675245	Brast06G186300			
1130	Brahy.S06G0219200	0.000266071	0.000409612	0.649567418				
1131	Brahy.S06G0221200	0.007362702	0.005708464	1.289786926	Brast06G203800			
1132	Brahy.S06G0222900	0.00121570225	0.00304478	0.40335862125	Brast06G205300	0.001427593	0.001722485	0.828798545
1133	Brahy.S06G0226300	0.000930803	0.002054334	0.453092351	Brast06G208300			
1134	Brahy.S06G0229300	0.001009526	0.00385396	0.261945025	Brast06G210800			
1135	Brahy.S06G0235000	0.000837399	0.002544878	0.329052626	Brast06G215800			
1136	Brahy.S06G0235300	0.0141086055	0.00366174875	3.853682097	Brast06G216100	0.002821719	0.000944755	2.986718905
1137	Brahy.S06G0237400	0.00429295625	0.00215236375	1.992725667	Brast06G218300	0.000792	0.003856746	0.205354565
1138	Brahy.S06G0239600	0.0059805066666666	0.004647598	1.804807898666667				
1139	Brahy.S06G0241000	0.000128266	0.000121066	1.059476032	Brast06G221800			
1140	Brahy.S06G0246500	0.000577471	0.001257735	0.459135237	Brast06G227200	0.005955711	0.006231415	0.955755801
1141	Brahy.S06G0247400	0.0011810265	0.00597314525	0.1989393185	Brast06G228000			
1142	Brahy.S06G0247800	6.77e-05	0.000114711	0.58984936	Brast06G228400	0.000110831	0.000311494	0.355805114
1143	Brahy.S06G0253300	0.003091724	0.009806373	0.315276981	Brast06G232900			
1144	Brahy.S06G0254200	0.0002818013333333	0.0007329369999999	0.547627073	Brast06G233700	0.000613154	0.002613878	0.234576418
1145	Brahy.S06G0256100	0.006955532	0.007616211	0.913253681	Brast06G235600	0.001036114	0.000272623	3.80053805
1146	Brahy.S06G0258600	0.000593042	0.001822157	0.325461255	Brast06G237500			
1147	Brahy.S06G0260300	0.000392655	0.001272812	0.308494151	Brast06G239200			
1148	Brahy.S06G0260400	0.0044860135	0.0050076735	0.5399922295	Brast06G239300			
1149	Brahy.S06G0260600	0.004170142	0.016483516	0.252988602	Brast06G239500			
