bhsid	bsid
Brahy.S01G0160600	Brast01G150600
Brahy.S01G0160700	Brast01G150700
Brahy.S01G0160800	Brast01G150800
Brahy.S01G0160900	Brast01G150900
Brahy.S01G0161000	Brast01G151000
Brahy.S01G0161100	Brast01G151100
Brahy.S01G0161200	Brast01G151200
Brahy.S01G0161300	Brast01G151300
Brahy.S01G0161400	Brast01G151500
Brahy.S01G0161500	Brast01G151600
Brahy.S01G0161600	Brast01G151800
Brahy.S01G0161800	Brast01G152000
Brahy.S01G0162100	Brast01G152100
Brahy.S01G0162200	Brast01G152200
Brahy.S01G0162300	Brast01G152300
Brahy.S01G0162400	Brast01G152400
Brahy.S01G0162500	Brast01G152500
Brahy.S01G0162600	Brast01G152600
Brahy.S01G0162700	Brast01G152700
Brahy.S01G0162800	Brast01G152800
Brahy.S01G0162900	Brast01G152900
Brahy.S01G0163000	Brast01G153000
Brahy.S01G0163100	Brast01G153100
Brahy.S01G0163200	Brast01G153200
Brahy.S01G0163300	Brast01G153300
Brahy.S01G0163400	Brast01G153400
Brahy.S01G0163500	Brast01G153500
Brahy.S01G0163700	Brast01G153700
Brahy.S01G0163900	Brast01G153900
Brahy.S01G0164000	Brast01G154000
Brahy.S01G0164100	Brast01G154100
Brahy.S01G0164200	Brast01G154200
Brahy.S01G0164300	Brast01G154300
Brahy.S01G0164600	Brast01G154500
Brahy.S01G0164700	Brast01G154700
Brahy.S01G0164800	Brast01G154800
Brahy.S01G0164900	Brast01G154900
Brahy.S01G0165100	Brast01G155000
Brahy.S01G0165200	Brast01G155100
Brahy.S01G0165400	Brast01G155200
Brahy.S01G0165500	Brast01G155300
Brahy.S01G0165600	Brast01G155400
Brahy.S01G0165800	Brast01G155500
Brahy.S01G0165900	Brast01G155600
Brahy.S01G0166000	Brast01G155700
Brahy.S01G0166100	Brast01G155800
Brahy.S01G0166200	Brast01G155900
Brahy.S01G0166500	Brast01G156000
Brahy.S01G0166600	Brast01G156100
Brahy.S01G0166700	Brast01G156200
Brahy.S01G0166800	Brast01G156300
Brahy.S01G0166900	Brast01G156400
Brahy.S01G0167000	Brast01G156500
Brahy.S01G0167200	Brast01G156700
Brahy.S01G0167300	Brast01G156800
Brahy.S01G0167400	Brast01G156900
Brahy.S01G0167500	Brast01G157000
Brahy.S01G0167600	Brast01G157100
Brahy.S01G0167700	Brast01G157200
Brahy.S01G0167800	Brast01G157300
Brahy.S01G0167900	Brast01G157400
Brahy.S01G0168100	Brast01G157500
Brahy.S01G0168200	Brast01G157600
Brahy.S01G0168300	Brast01G157700
Brahy.S01G0168400	Brast01G157800
Brahy.S01G0168500	Brast01G157900
Brahy.S01G0168600	Brast01G158000
Brahy.S01G0168700	Brast01G158100
Brahy.S01G0168800	Brast01G158200
Brahy.S01G0168900	Brast01G158300
Brahy.S01G0169000	Brast01G158400
Brahy.S01G0169100	Brast01G158500
Brahy.S01G0169300	Brast01G158600
Brahy.S01G0169400	Brast01G158800
Brahy.S01G0169500	Brast01G158900
Brahy.S01G0169600	Brast01G159000
Brahy.S01G0169700	Brast01G159100
Brahy.S01G0169900	Brast01G159200
Brahy.S01G0170000	Brast01G159300
Brahy.S01G0170100	Brast01G159400
Brahy.S01G0170200	Brast01G159500
Brahy.S01G0170300	Brast01G159600
Brahy.S01G0170400	Brast01G159700
Brahy.S01G0170500	Brast01G159800
Brahy.S01G0170600	Brast01G159900
Brahy.S01G0170700	Brast01G160000
Brahy.S01G0170800	Brast01G160100
Brahy.S01G0170900	Brast01G160200
Brahy.S01G0171000	Brast01G160300
Brahy.S01G0171100	Brast01G160400
Brahy.S01G0171200	Brast01G160600
Brahy.S01G0171300	Brast01G160700
Brahy.S01G0171400	Brast01G160800
Brahy.S01G0171500	Brast01G160900
Brahy.S01G0171600	Brast01G161000
Brahy.S01G0171700	Brast01G161100
Brahy.S01G0171900	Brast01G161400
Brahy.S01G0172100	Brast01G161500
Brahy.S01G0172200	Brast01G161700
Brahy.S01G0172300	Brast01G161800
Brahy.S01G0172500	Brast01G161900
Brahy.S01G0172600	Brast01G162000
Brahy.S01G0172800	Brast01G162100
Brahy.S01G0172900	Brast01G162200
Brahy.S01G0173000	Brast01G162300
Brahy.S01G0173200	Brast01G162500
Brahy.S01G0173300	Brast01G162600
Brahy.S01G0173400	Brast01G162700
Brahy.S01G0173500	Brast01G162800
Brahy.S01G0173700	Brast01G162900
Brahy.S01G0173800	Brast01G163000
Brahy.S01G0173900	Brast01G163100
Brahy.S01G0174000	Brast01G163200
Brahy.S01G0174100	Brast01G163300
Brahy.S01G0174200	Brast01G163400
Brahy.S01G0174300	Brast01G163500
Brahy.S01G0174400	Brast01G163600
Brahy.S01G0174500	Brast01G163700
Brahy.S01G0174600	Brast01G163800
Brahy.S01G0174700	Brast01G163900
Brahy.S01G0174800	Brast01G164000
Brahy.S01G0174900	Brast01G164100
Brahy.S01G0175000	Brast01G164200
Brahy.S01G0175100	Brast01G164300
Brahy.S01G0175200	Brast01G164400
Brahy.S01G0175300	Brast01G164500
Brahy.S01G0175400	Brast01G164600
Brahy.S01G0175500	Brast01G164700
Brahy.S01G0175600	Brast01G164800
Brahy.S01G0175700	Brast01G164900
Brahy.S01G0175800	Brast01G165000
Brahy.S01G0175900	Brast01G165100
Brahy.S01G0176100	Brast01G165200
Brahy.S01G0176200	Brast01G165300
Brahy.S01G0176400	Brast01G165400
Brahy.S01G0176500	Brast01G165500
Brahy.S01G0176600	Brast01G165600
Brahy.S01G0176700	Brast01G165700
Brahy.S01G0176800	Brast01G165800
Brahy.S01G0176900	Brast01G165900
Brahy.S01G0177000	Brast01G166000
Brahy.S01G0177100	Brast01G166100
Brahy.S01G0177200	Brast01G166200
Brahy.S01G0177300	Brast01G166300
Brahy.S01G0177400	Brast01G166400
Brahy.S01G0177500	Brast01G166500
Brahy.S01G0177600	Brast01G166600
Brahy.S01G0177700	Brast01G166700
Brahy.S01G0177800	Brast01G166800
Brahy.S01G0177900	Brast01G166900
Brahy.S01G0178000	Brast01G167000
Brahy.S01G0178100	Brast01G167100
Brahy.S01G0178200	Brast01G167200
Brahy.S01G0178300	Brast01G167300
Brahy.S01G0178400	Brast01G167400
Brahy.S01G0178500	Brast01G167500
Brahy.S01G0178600	Brast01G167600
Brahy.S01G0178700	Brast01G167700
Brahy.S01G0178800	Brast01G167800
Brahy.S01G0178900	Brast01G167900
Brahy.S01G0179000	Brast01G168000
Brahy.S01G0179100	Brast01G168100
Brahy.S01G0179200	Brast01G168200
Brahy.S01G0179300	Brast01G168300
Brahy.S01G0179400	Brast01G168400
Brahy.S01G0179500	Brast01G168500
Brahy.S01G0179600	Brast01G168600
Brahy.S01G0179700	Brast01G168700
Brahy.S01G0179800	Brast01G168800
Brahy.S01G0179900	Brast01G168900
Brahy.S01G0180000	Brast01G169000
Brahy.S01G0180100	Brast01G169100
Brahy.S01G0180200	Brast01G169200
Brahy.S01G0180300	Brast01G169300
Brahy.S01G0180400	Brast01G169400
Brahy.S01G0180600	Brast01G169500
Brahy.S01G0180700	Brast01G169600
Brahy.S01G0180800	Brast01G169700
Brahy.S01G0180900	Brast01G169800
Brahy.S01G0181000	Brast01G169900
Brahy.S01G0181200	Brast01G170100
Brahy.S01G0181300	Brast01G170200
Brahy.S01G0181400	Brast01G170300
Brahy.S01G0181500	Brast01G170400
Brahy.S01G0181600	Brast01G170500
Brahy.S01G0181800	Brast01G170700
Brahy.S01G0181900	Brast01G170900
Brahy.S01G0182000	Brast01G171000
Brahy.S01G0182100	Brast01G171200
Brahy.S01G0182200	Brast01G171300
Brahy.S01G0182300	Brast01G171400
Brahy.S01G0182400	Brast01G171500
Brahy.S01G0182500	Brast01G171600
Brahy.S01G0182600	Brast01G171700
Brahy.S01G0182700	Brast01G171800
Brahy.S01G0182800	Brast01G171900
Brahy.S01G0182900	Brast01G172000
Brahy.S01G0183000	Brast01G172100
Brahy.S01G0183100	Brast01G172200
Brahy.S01G0183200	Brast01G172300
Brahy.S01G0183300	Brast01G172400
Brahy.S01G0183500	Brast01G172600
Brahy.S01G0183600	Brast01G172700
Brahy.S01G0183700	Brast01G172900
Brahy.S01G0183800	Brast01G173000
Brahy.S01G0183900	Brast01G173100
Brahy.S01G0184000	Brast01G173200
Brahy.S01G0184100	Brast01G173300
Brahy.S01G0184300	Brast01G173400
Brahy.S01G0184400	Brast01G173500
Brahy.S01G0184500	Brast01G173600
Brahy.S01G0184600	Brast01G173700
Brahy.S01G0185100	Brast01G173900
Brahy.S01G0185200	Brast01G174000
Brahy.S01G0185300	Brast01G174100
Brahy.S01G0185400	Brast01G174200
Brahy.S01G0185500	Brast01G174300
Brahy.S01G0185900	Brast01G174600
Brahy.S01G0186000	Brast01G174800
Brahy.S01G0186100	Brast01G174900
Brahy.S01G0186200	Brast01G175000
Brahy.S01G0186300	Brast01G175100
Brahy.S01G0186400	Brast01G175200
Brahy.S01G0186500	Brast01G175300
Brahy.S01G0186600	Brast01G175400
Brahy.S01G0186700	Brast01G175500
Brahy.S01G0186800	Brast01G175600
Brahy.S01G0186900	Brast01G175700
Brahy.S01G0187100	Brast01G175800
Brahy.S01G0187200	Brast01G175900
Brahy.S01G0187300	Brast01G176000
Brahy.S01G0187400	Brast01G176100
Brahy.S01G0187500	Brast01G176200
Brahy.S01G0187600	Brast01G176300
Brahy.S01G0187700	Brast01G176400
Brahy.S01G0187800	Brast01G176500
Brahy.S01G0187900	Brast01G176600
Brahy.S01G0188000	Brast01G176700
Brahy.S01G0188100	Brast01G176800
Brahy.S01G0188200	Brast01G176900
Brahy.S01G0188300	Brast01G177000
Brahy.S01G0188400	Brast01G177100
Brahy.S01G0188500	Brast01G177200
Brahy.S01G0188600	Brast01G177300
Brahy.S01G0188700	Brast01G177400
Brahy.S01G0188800	Brast01G177500
Brahy.S01G0188900	Brast01G177600
Brahy.S01G0189000	Brast01G177700
Brahy.S01G0189100	Brast01G177800
Brahy.S01G0189200	Brast01G177900
Brahy.S01G0189300	Brast01G178000
Brahy.S01G0189400	Brast01G178100
Brahy.S01G0189500	Brast01G178200
Brahy.S01G0189700	Brast01G178300
Brahy.S01G0189800	Brast01G178400
Brahy.S01G0190200	Brast01G178700
Brahy.S01G0190300	Brast01G178900
Brahy.S01G0190400	Brast01G179000
Brahy.S01G0190500	Brast01G179100
Brahy.S01G0190600	Brast01G179200
Brahy.S01G0190700	Brast01G179300
Brahy.S01G0190800	Brast01G179400
Brahy.S01G0190900	Brast01G179500
Brahy.S01G0191000	Brast01G179600
Brahy.S01G0191200	Brast01G179700
Brahy.S01G0191300	Brast01G179800
Brahy.S01G0191400	Brast01G179900
Brahy.S01G0191500	Brast01G180000
Brahy.S01G0191600	Brast01G180100
Brahy.S01G0191700	Brast01G180200
Brahy.S01G0191800	Brast01G180300
Brahy.S01G0191900	Brast01G180400
Brahy.S01G0192000	Brast01G180500
Brahy.S01G0192100	Brast01G180600
Brahy.S01G0192200	Brast01G180700
Brahy.S01G0192300	Brast01G180800
Brahy.S01G0192400	Brast01G180900
Brahy.S01G0192500	Brast01G181000
Brahy.S01G0192600	Brast01G181100
Brahy.S01G0192700	Brast01G181200
Brahy.S01G0192800	Brast01G181300
Brahy.S01G0192900	Brast01G181400
Brahy.S01G0193000	Brast01G181500
Brahy.S01G0193100	Brast01G181600
Brahy.S01G0193200	Brast01G181700
Brahy.S01G0193300	Brast01G181800
Brahy.S01G0193400	Brast01G181900
Brahy.S01G0193500	Brast01G182000
Brahy.S01G0193600	Brast01G182100
Brahy.S01G0193700	Brast01G182200
Brahy.S01G0193800	Brast01G182300
Brahy.S01G0193900	Brast01G182400
Brahy.S01G0194000	Brast01G182500
Brahy.S01G0194200	Brast01G182600
Brahy.S01G0194300	Brast01G182700
Brahy.S01G0194400	Brast01G182900
Brahy.S01G0194500	Brast01G183000
Brahy.S01G0194600	Brast01G183100
Brahy.S01G0194700	Brast01G183200
Brahy.S01G0194900	Brast01G183400
Brahy.S01G0195000	Brast01G183500
Brahy.S01G0195100	Brast01G183600
Brahy.S01G0195200	Brast01G183700
Brahy.S01G0195400	Brast01G183800
Brahy.S01G0195600	Brast01G183900
Brahy.S01G0195700	Brast01G184000
Brahy.S01G0195800	Brast01G184100
Brahy.S01G0195900	Brast01G184200
Brahy.S01G0196000	Brast01G184300
Brahy.S01G0196100	Brast01G184400
Brahy.S01G0196200	Brast01G184500
Brahy.S01G0196400	Brast01G184700
Brahy.S01G0196500	Brast01G184800
Brahy.S01G0196800	Brast01G184900
Brahy.S01G0196900	Brast01G185100
Brahy.S01G0197100	Brast01G185200
Brahy.S01G0197200	Brast01G185300
Brahy.S01G0197300	Brast01G185400
Brahy.S01G0197400	Brast01G185500
Brahy.S01G0197600	Brast01G185600
Brahy.S01G0197700	Brast01G185700
Brahy.S01G0198000	Brast01G185900
Brahy.S01G0198100	Brast01G186000
Brahy.S01G0198200	Brast01G186100
Brahy.S01G0198300	Brast01G186200
Brahy.S01G0198400	Brast01G186300
Brahy.S01G0198500	Brast01G186400
Brahy.S01G0198600	Brast01G186600
Brahy.S01G0198700	Brast01G186700
Brahy.S01G0198800	Brast01G186800
Brahy.S01G0198900	Brast01G186900
Brahy.S01G0199000	Brast01G187000
Brahy.S01G0199100	Brast01G187100
Brahy.S01G0199200	Brast01G187200
Brahy.S01G0199400	Brast01G187300
Brahy.S01G0199500	Brast01G187400
Brahy.S01G0199600	Brast01G187500
Brahy.S01G0199700	Brast01G187600
Brahy.S01G0199800	Brast01G187700
Brahy.S01G0199900	Brast01G187800
Brahy.S01G0200000	Brast01G187900
Brahy.S01G0200100	Brast01G188000
Brahy.S01G0200200	Brast01G188100
Brahy.S01G0200300	Brast01G188200
Brahy.S01G0200400	Brast01G188300
Brahy.S01G0200500	Brast01G188400
Brahy.S01G0200600	Brast01G188500
Brahy.S01G0200700	Brast01G188600
Brahy.S01G0200800	Brast01G188700
Brahy.S01G0200900	Brast01G188800
Brahy.S01G0201200	Brast01G188900
Brahy.S01G0201300	Brast01G189000
Brahy.S01G0201400	Brast01G189100
Brahy.S01G0201500	Brast01G189200
Brahy.S01G0201700	Brast01G189400
Brahy.S01G0201800	Brast01G189500
Brahy.S01G0201900	Brast01G189600
Brahy.S01G0202000	Brast01G189700
Brahy.S01G0202100	Brast01G189800
Brahy.S01G0202200	Brast01G189900
Brahy.S01G0202300	Brast01G190000
Brahy.S01G0202400	Brast01G190100
Brahy.S01G0202500	Brast01G190200
Brahy.S01G0202600	Brast01G190300
Brahy.S01G0202800	Brast01G190500
Brahy.S01G0202900	Brast01G190600
Brahy.S01G0203000	Brast01G190700
Brahy.S01G0203100	Brast01G190800
Brahy.S01G0203200	Brast01G190900
Brahy.S01G0203300	Brast01G191000
Brahy.S01G0203400	Brast01G191100
Brahy.S01G0203500	Brast01G191200
Brahy.S01G0203700	Brast01G191300
Brahy.S01G0203800	Brast01G191400
Brahy.S01G0203900	Brast01G191500
Brahy.S01G0204100	Brast01G191600
Brahy.S01G0204200	Brast01G191700
Brahy.S01G0204300	Brast01G191800
Brahy.S01G0204400	Brast01G191900
Brahy.S01G0204500	Brast01G192000
Brahy.S01G0204600	Brast01G192100
Brahy.S01G0204700	Brast01G192200
Brahy.S01G0204800	Brast01G192300
Brahy.S01G0204900	Brast01G192400
Brahy.S01G0205000	Brast01G192500
Brahy.S01G0205100	Brast01G192600
Brahy.S01G0205200	Brast01G192700
Brahy.S01G0205300	Brast01G192800
Brahy.S01G0205400	Brast01G192900
Brahy.S01G0205500	Brast01G193000
Brahy.S01G0205700	Brast01G193200
Brahy.S01G0205800	Brast01G193300
Brahy.S01G0205900	Brast01G193400
Brahy.S01G0206000	Brast01G193500
Brahy.S01G0206100	Brast01G193600
Brahy.S01G0206300	Brast01G193700
Brahy.S01G0206400	Brast01G193800
Brahy.S01G0206500	Brast01G193900
Brahy.S01G0206600	Brast01G194000
Brahy.S01G0206700	Brast01G194100
Brahy.S01G0206800	Brast01G194200
Brahy.S01G0207000	Brast01G194300
Brahy.S01G0207100	Brast01G194400
Brahy.S01G0207200	Brast01G194500
Brahy.S01G0207300	Brast01G194600
Brahy.S01G0207400	Brast01G194700
Brahy.S01G0207500	Brast01G194800
Brahy.S01G0207600	Brast01G194900
Brahy.S01G0207700	Brast01G195000
Brahy.S01G0207800	Brast01G195100
Brahy.S01G0207900	Brast01G195200
Brahy.S01G0208000	Brast01G195300
Brahy.S01G0208100	Brast01G195400
Brahy.S01G0208200	Brast01G195500
Brahy.S01G0208300	Brast01G195600
Brahy.S01G0208400	Brast01G195700
Brahy.S01G0208500	Brast01G195800
Brahy.S01G0208600	Brast01G195900
Brahy.S01G0208700	Brast01G196000
Brahy.S01G0208900	Brast01G196100
Brahy.S01G0209000	Brast01G196200
Brahy.S01G0209100	Brast01G196300
Brahy.S01G0209200	Brast01G196400
Brahy.S01G0209300	Brast01G196500
Brahy.S01G0209500	Brast01G196600
Brahy.S01G0209600	Brast01G196700
Brahy.S01G0209700	Brast01G196800
Brahy.S01G0209800	Brast01G196900
Brahy.S01G0209900	Brast01G197000
Brahy.S01G0210000	Brast01G197100
Brahy.S01G0210100	Brast01G197200
Brahy.S01G0210200	Brast01G197300
Brahy.S01G0210300	Brast01G197400
Brahy.S01G0210400	Brast01G197500
Brahy.S01G0210500	Brast01G197600
Brahy.S01G0210700	Brast01G197700
Brahy.S01G0210800	Brast01G197800
Brahy.S01G0210900	Brast01G197900
Brahy.S01G0211000	Brast01G198000
Brahy.S01G0211100	Brast01G198100
Brahy.S01G0211200	Brast01G198200
Brahy.S01G0211300	Brast01G198300
Brahy.S01G0211400	Brast01G198400
Brahy.S01G0211500	Brast01G198500
Brahy.S01G0211600	Brast01G198600
Brahy.S01G0211700	Brast01G198700
Brahy.S01G0211800	Brast01G198800
Brahy.S01G0211900	Brast01G198900
Brahy.S01G0212000	Brast01G199000
Brahy.S01G0212100	Brast01G199100
Brahy.S01G0212200	Brast01G199200
Brahy.S01G0212300	Brast01G199300
Brahy.S01G0212400	Brast01G199400
Brahy.S01G0212500	Brast01G199600
Brahy.S01G0212600	Brast01G199700
Brahy.S01G0212700	Brast01G199800
Brahy.S01G0212800	Brast01G199900
Brahy.S01G0212900	Brast01G200000
Brahy.S01G0213000	Brast01G200100
Brahy.S01G0213100	Brast01G200200
Brahy.S01G0213200	Brast01G200300
Brahy.S01G0213300	Brast01G200400
Brahy.S01G0213400	Brast01G200500
Brahy.S01G0213500	Brast01G200600
Brahy.S01G0213600	Brast01G200700
Brahy.S01G0213800	Brast01G200800
Brahy.S01G0213900	Brast01G200900
Brahy.S01G0214000	Brast01G201000
Brahy.S01G0214100	Brast01G201100
Brahy.S01G0214200	Brast01G201200
Brahy.S01G0214400	Brast01G201400
Brahy.S01G0214600	Brast01G201500
Brahy.S01G0214700	Brast01G201600
Brahy.S01G0215000	Brast01G201800
Brahy.S01G0215100	Brast01G201900
Brahy.S01G0215200	Brast01G202000
Brahy.S01G0215300	Brast01G202100
Brahy.S01G0215400	Brast01G202200
Brahy.S01G0215500	Brast01G202300
Brahy.S01G0215600	Brast01G202400
Brahy.S01G0215700	Brast01G202500
Brahy.S01G0216100	Brast01G202700
Brahy.S01G0216200	Brast01G202800
Brahy.S01G0216300	Brast01G202900
Brahy.S01G0216400	Brast01G203000
Brahy.S01G0216500	Brast01G203100
Brahy.S01G0216600	Brast01G203200
Brahy.S01G0216700	Brast01G203300
Brahy.S01G0216800	Brast01G203400
Brahy.S01G0216900	Brast01G203500
Brahy.S01G0217000	Brast01G203600
Brahy.S01G0217100	Brast01G203700
Brahy.S01G0217200	Brast01G203800
Brahy.S01G0217300	Brast01G203900
Brahy.S01G0217400	Brast01G204000
Brahy.S01G0217500	Brast01G204100
Brahy.S01G0217600	Brast01G204200
Brahy.S01G0217700	Brast01G204300
Brahy.S01G0217800	Brast01G204400
Brahy.S01G0217900	Brast01G204500
Brahy.S01G0218000	Brast01G204600
Brahy.S01G0218100	Brast01G204700
Brahy.S01G0218500	Brast01G205000
Brahy.S01G0218600	Brast01G205100
Brahy.S01G0218700	Brast01G205200
Brahy.S01G0218800	Brast01G205300
Brahy.S01G0218900	Brast01G205400
Brahy.S01G0219000	Brast01G205500
Brahy.S01G0219100	Brast01G205600
Brahy.S01G0219300	Brast01G205800
Brahy.S01G0219500	Brast01G205900
Brahy.S01G0219600	Brast01G206000
Brahy.S01G0219700	Brast01G206100
Brahy.S01G0219800	Brast01G206200
Brahy.S01G0219900	Brast01G206300
Brahy.S01G0220000	Brast01G206400
Brahy.S01G0220100	Brast01G206500
Brahy.S01G0220200	Brast01G206600
Brahy.S01G0220300	Brast01G206700
Brahy.S01G0220400	Brast01G206800
Brahy.S01G0220500	Brast01G206900
Brahy.S01G0220600	Brast01G207000
Brahy.S01G0220800	Brast01G207100
Brahy.S01G0220900	Brast01G207200
Brahy.S01G0221000	Brast01G207300
Brahy.S01G0221100	Brast01G207400
Brahy.S01G0221200	Brast01G207500
Brahy.S01G0221400	Brast01G207600
Brahy.S01G0221500	Brast01G207700
Brahy.S01G0221600	Brast01G207800
Brahy.S01G0221900	Brast01G208100
Brahy.S01G0222000	Brast01G208200
Brahy.S01G0222300	Brast01G208300
Brahy.S01G0222500	Brast01G208400
Brahy.S01G0222700	Brast01G208500
Brahy.S01G0222800	Brast01G208600
Brahy.S01G0223100	Brast01G208700
Brahy.S01G0223200	Brast01G208800
Brahy.S01G0223300	Brast01G208900
Brahy.S01G0223400	Brast01G209000
Brahy.S01G0223500	Brast01G209100
Brahy.S01G0223600	Brast01G209200
Brahy.S01G0223800	Brast01G209400
Brahy.S01G0223900	Brast01G209500
Brahy.S01G0224000	Brast01G209600
Brahy.S01G0224100	Brast01G209700
Brahy.S01G0224400	Brast01G209900
Brahy.S01G0224600	Brast01G210000
Brahy.S01G0224700	Brast01G210100
Brahy.S01G0224800	Brast01G210200
Brahy.S01G0224900	Brast01G210300
Brahy.S01G0225000	Brast01G210400
Brahy.S01G0225100	Brast01G210500
Brahy.S01G0225200	Brast01G210600
Brahy.S01G0225300	Brast01G210700
Brahy.S01G0225400	Brast01G210800
Brahy.S01G0225500	Brast01G210900
Brahy.S01G0225700	Brast01G211000
Brahy.S01G0225800	Brast01G211100
Brahy.S01G0225900	Brast01G211200
Brahy.S01G0226000	Brast01G211300
Brahy.S01G0226100	Brast01G211400
Brahy.S01G0226200	Brast01G211500
Brahy.S01G0226300	Brast01G211600
Brahy.S01G0226400	Brast01G211700
Brahy.S01G0226500	Brast01G211800
Brahy.S01G0226600	Brast01G211900
Brahy.S01G0226800	Brast01G212000
Brahy.S01G0226900	Brast01G212100
Brahy.S01G0227000	Brast01G212200
Brahy.S01G0227100	Brast01G212300
Brahy.S01G0227200	Brast01G212400
Brahy.S01G0227300	Brast01G212500
Brahy.S01G0227400	Brast01G212600
Brahy.S01G0227500	Brast01G212700
Brahy.S01G0227600	Brast01G212800
Brahy.S01G0227700	Brast01G212900
Brahy.S01G0227800	Brast01G213000
Brahy.S01G0227900	Brast01G213100
Brahy.S01G0228000	Brast01G213200
Brahy.S01G0228100	Brast01G213300
Brahy.S01G0228200	Brast01G213400
Brahy.S01G0228600	Brast01G213500
Brahy.S01G0228700	Brast01G213700
Brahy.S01G0228900	Brast01G213800
Brahy.S01G0229000	Brast01G213900
Brahy.S01G0229300	Brast01G214100
Brahy.S01G0229400	Brast01G214200
Brahy.S01G0229500	Brast01G214300
Brahy.S01G0229600	Brast01G214400
Brahy.S01G0229700	Brast01G214500
Brahy.S01G0229800	Brast01G214600
Brahy.S01G0229900	Brast01G214700
Brahy.S01G0230000	Brast01G214800
Brahy.S01G0230100	Brast01G214900
Brahy.S01G0230300	Brast01G215100
Brahy.S01G0230400	Brast01G215300
Brahy.S01G0230500	Brast01G215400
Brahy.S01G0230700	Brast01G215500
Brahy.S01G0230800	Brast01G215600
Brahy.S01G0231000	Brast01G215700
Brahy.S01G0231100	Brast01G215800
Brahy.S01G0231200	Brast01G216000
Brahy.S01G0231300	Brast01G216100
Brahy.S01G0231400	Brast01G216200
Brahy.S01G0231500	Brast01G216300
Brahy.S01G0231600	Brast01G216400
Brahy.S01G0231700	Brast01G216500
Brahy.S01G0231800	Brast01G216600
Brahy.S01G0231900	Brast01G216700
Brahy.S01G0232000	Brast01G216800
Brahy.S01G0232100	Brast01G216900
Brahy.S01G0232400	Brast01G217000
Brahy.S01G0232500	Brast01G217100
Brahy.S01G0232600	Brast01G217200
Brahy.S01G0232700	Brast01G217300
Brahy.S01G0232800	Brast01G217400
Brahy.S01G0232900	Brast01G217500
Brahy.S01G0233100	Brast01G217700
Brahy.S01G0233200	Brast01G217800
Brahy.S01G0233300	Brast01G217900
Brahy.S01G0233400	Brast01G218000
Brahy.S01G0233600	Brast01G218100
Brahy.S01G0233700	Brast01G218200
Brahy.S01G0233800	Brast01G218300
Brahy.S01G0233900	Brast01G218400
Brahy.S01G0234000	Brast01G218500
Brahy.S01G0234200	Brast01G218700
Brahy.S01G0234300	Brast01G218800
Brahy.S01G0234400	Brast01G218900
Brahy.S01G0234500	Brast01G219000
Brahy.S01G0234600	Brast01G219100
Brahy.S01G0234700	Brast01G219200
Brahy.S01G0234800	Brast01G219300
Brahy.S01G0234900	Brast01G219400
Brahy.S01G0235000	Brast01G219500
Brahy.S01G0235100	Brast01G219600
Brahy.S01G0235200	Brast01G219700
Brahy.S01G0235300	Brast01G219800
Brahy.S01G0235400	Brast01G219900
Brahy.S01G0235500	Brast01G220000
Brahy.S01G0235600	Brast01G220100
Brahy.S01G0235700	Brast01G220200
Brahy.S01G0235800	Brast01G220300
Brahy.S01G0235900	Brast01G220400
Brahy.S01G0236000	Brast01G220500
Brahy.S01G0236100	Brast01G220600
Brahy.S01G0236200	Brast01G220700
Brahy.S01G0236300	Brast01G220900
Brahy.S01G0236400	Brast01G221000
Brahy.S01G0236500	Brast01G221100
Brahy.S01G0236600	Brast01G221200
Brahy.S01G0236700	Brast01G221300
Brahy.S01G0236800	Brast01G221400
Brahy.S01G0236900	Brast01G221500
Brahy.S01G0237000	Brast01G221600
Brahy.S01G0237100	Brast01G221700
Brahy.S01G0237200	Brast01G221800
Brahy.S01G0237300	Brast01G221900
Brahy.S01G0237400	Brast01G222000
Brahy.S01G0237500	Brast01G222100
Brahy.S01G0237600	Brast01G222200
Brahy.S01G0237700	Brast01G222300
Brahy.S01G0237800	Brast01G222400
Brahy.S01G0237900	Brast01G222500
Brahy.S01G0238000	Brast01G222600
Brahy.S01G0238100	Brast01G222700
Brahy.S01G0238500	Brast01G223000
Brahy.S01G0238600	Brast01G223100
Brahy.S01G0238700	Brast01G223200
Brahy.S01G0238800	Brast01G223300
Brahy.S01G0239100	Brast01G223400
Brahy.S01G0239200	Brast01G223500
Brahy.S01G0239300	Brast01G223600
Brahy.S01G0239500	Brast01G223800
Brahy.S01G0239700	Brast01G223900
Brahy.S01G0239800	Brast01G224000
Brahy.S01G0239900	Brast01G224100
Brahy.S01G0240000	Brast01G224200
Brahy.S01G0240100	Brast01G224300
Brahy.S01G0240200	Brast01G224400
Brahy.S01G0240300	Brast01G224500
Brahy.S01G0240400	Brast01G224600
Brahy.S01G0240500	Brast01G224700
Brahy.S01G0240600	Brast01G224800
Brahy.S01G0240700	Brast01G224900
Brahy.S01G0240800	Brast01G225000
Brahy.S01G0241000	Brast01G225100
Brahy.S01G0241100	Brast01G225200
Brahy.S01G0241200	Brast01G225300
Brahy.S01G0241300	Brast01G225400
Brahy.S01G0241500	Brast01G225500
Brahy.S01G0241600	Brast01G225600
Brahy.S01G0241700	Brast01G225700
Brahy.S01G0241800	Brast01G225800
Brahy.S01G0241900	Brast01G225900
Brahy.S01G0242000	Brast01G226000
Brahy.S01G0242100	Brast01G226200
Brahy.S01G0242300	Brast01G226400
