bhsid	bsid
Brahy.S01G0018600	Brast01G017000
Brahy.S01G0018700	Brast01G017100
Brahy.S01G0018800	Brast01G017200
Brahy.S01G0018900	Brast01G017300
Brahy.S01G0019000	Brast01G017400
Brahy.S01G0019100	Brast01G017500
Brahy.S01G0019200	Brast01G017600
Brahy.S01G0019300	Brast01G017700
Brahy.S01G0019400	Brast01G017800
Brahy.S01G0019500	Brast01G017900
Brahy.S01G0019600	Brast01G018000
Brahy.S01G0019800	Brast01G018100
Brahy.S01G0019900	Brast01G018200
Brahy.S01G0020000	Brast01G018300
Brahy.S01G0020100	Brast01G018400
Brahy.S01G0020200	Brast01G018500
Brahy.S01G0020300	Brast01G018600
Brahy.S01G0020400	Brast01G018700
Brahy.S01G0020600	Brast01G018800
Brahy.S01G0020900	Brast01G019000
Brahy.S01G0021000	Brast01G019100
Brahy.S01G0021100	Brast01G019200
Brahy.S01G0021200	Brast01G019300
Brahy.S01G0021500	Brast01G019600
Brahy.S01G0021700	Brast01G019700
Brahy.S01G0021900	Brast01G019800
Brahy.S01G0022000	Brast01G019900
Brahy.S01G0022200	Brast01G020000
Brahy.S01G0022400	Brast01G020100
Brahy.S01G0022500	Brast01G020200
Brahy.S01G0022700	Brast01G020300
Brahy.S01G0022800	Brast01G020400
Brahy.S01G0022900	Brast01G020500
Brahy.S01G0023000	Brast01G020600
Brahy.S01G0023100	Brast01G020700
Brahy.S01G0023200	Brast01G020800
Brahy.S01G0023300	Brast01G020900
Brahy.S01G0023400	Brast01G021000
Brahy.S01G0023500	Brast01G021100
Brahy.S01G0023600	Brast01G021200
Brahy.S01G0023700	Brast01G021300
Brahy.S01G0023800	Brast01G021400
Brahy.S01G0023900	Brast01G021600
Brahy.S01G0024000	Brast01G021700
Brahy.S01G0024100	Brast01G021800
Brahy.S01G0024200	Brast01G021900
Brahy.S01G0024300	Brast01G022000
Brahy.S01G0024400	Brast01G022100
Brahy.S01G0024500	Brast01G022200
Brahy.S01G0024600	Brast01G022300
Brahy.S01G0024700	Brast01G022400
Brahy.S01G0024800	Brast01G022500
Brahy.S01G0024900	Brast01G022600
Brahy.S01G0025000	Brast01G022700
Brahy.S01G0025100	Brast01G022800
Brahy.S01G0025200	Brast01G022900
Brahy.S01G0025300	Brast01G023000
Brahy.S01G0025400	Brast01G023100
Brahy.S01G0025500	Brast01G023200
Brahy.S01G0025700	Brast01G023300
Brahy.S01G0025800	Brast01G023400
Brahy.S01G0025900	Brast01G023500
Brahy.S01G0026000	Brast01G023600
Brahy.S01G0026100	Brast01G023700
Brahy.S01G0026200	Brast01G023800
Brahy.S01G0026300	Brast01G023900
Brahy.S01G0026600	Brast01G024100
Brahy.S01G0026700	Brast01G024200
Brahy.S01G0026800	Brast01G024300
Brahy.S01G0026900	Brast01G024400
Brahy.S01G0027000	Brast01G024500
Brahy.S01G0027100	Brast01G024600
Brahy.S01G0027200	Brast01G024700
Brahy.S01G0027300	Brast01G024800
Brahy.S01G0027500	Brast01G025000
Brahy.S01G0027700	Brast01G025200
Brahy.S01G0027800	Brast01G025300
Brahy.S01G0027900	Brast01G025400
Brahy.S01G0028000	Brast01G025500
Brahy.S01G0028100	Brast01G025600
Brahy.S01G0028200	Brast01G025700
Brahy.S01G0028300	Brast01G025800
Brahy.S01G0028400	Brast01G025900
Brahy.S01G0028500	Brast01G026000
Brahy.S01G0028600	Brast01G026100
Brahy.S01G0028700	Brast01G026200
Brahy.S01G0028800	Brast01G026300
Brahy.S01G0028900	Brast01G026400
Brahy.S01G0029000	Brast01G026500
Brahy.S01G0029100	Brast01G026600
Brahy.S01G0029200	Brast01G026700
Brahy.S01G0029300	Brast01G026800
Brahy.S01G0029500	Brast01G026900
Brahy.S01G0029600	Brast01G027000
Brahy.S01G0029700	Brast01G027100
Brahy.S01G0029800	Brast01G027200
Brahy.S01G0030000	Brast01G027300
Brahy.S01G0030100	Brast01G027400
Brahy.S01G0030200	Brast01G027500
Brahy.S01G0030300	Brast01G027600
Brahy.S01G0030400	Brast01G027700
Brahy.S01G0030500	Brast01G027800
Brahy.S01G0030700	Brast01G028000
Brahy.S01G0030900	Brast01G028100
Brahy.S01G0031000	Brast01G028200
Brahy.S01G0031100	Brast01G028300
Brahy.S01G0031200	Brast01G028400
Brahy.S01G0031300	Brast01G028500
Brahy.S01G0031400	Brast01G028600
