	bhdid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
637	Brahy.S01G0346700	0.000863153	0.001766464	0.488633065				
638	Brahy.S01G0355800	0.000516814	0.000405103	1.275761349				
639	Brahy.S01G0357400	0.000157163	0.006319516	0.02486948				
640	Brahy.S01G0357600	0.040218195	0.017740769	2.266992757				
641	Brahy.S01G0357800	0.022556804	0.021622153	1.043226544				
642	Brahy.S01G0368900	0.007596351	0.011210113	0.677633779				
643	Brahy.S01G0369600	0.00011832	0.000225342	0.525071373				
644	Brahy.S01G0371900	0.009667793	0.014264841	0.677735726				
645	Brahy.S01G0377600	0.000139445	0.003311764	0.042105858				
646	Brahy.S01G0385200	0.007615977	0.007746495	0.98315131				
647	Brahy.S01G0405100	0.00068627	0.000123987	5.535031526				
648	Brahy.S01G0410000	0.003717218	0.009176012	0.405101681				
649	Brahy.S01G0411500	0.003010363	0.00272009	1.106714736				
650	Brahy.S01G0412400	0.005109299	0.002310151	2.211672868				
651	Brahy.S01G0416600	0.013449114	0.0196429	0.684680682				
652	Brahy.S01G0422200	0.000845084	0.002565159	0.329446951				
653	Brahy.S01G0422400	0.003482791	0.004207363	0.827784742				
654	Brahy.S01G0424100	0.008791752	0.00730475	1.203566454				
655	Brahy.S01G0424200	0.001324527	0.00187032	0.708181738				
656	Brahy.S01G0428100	0.001733989	0.00098953	1.752335784				
657	Brahy.S01G0429300	0.000823008	0.004980187	0.1652565				
658	Brahy.S01G0438300	0.000303032	0.000707974	0.428027543				
659	Brahy.S01G0438600	0.000634069	0.001045105	0.606704009				
660	Brahy.S01G0441100	0.001998546	0.001970967	1.013992568				
661	Brahy.S01G0444200	0.008238745	0.008455257	0.974393296				
662	Brahy.S01G0447800	0.002123662	0.005619715	0.377894854				
663	Brahy.S02G0002000	0.001163919	0.003963012	0.293695441				
664	Brahy.S02G0014100	0.000335289	0.001040286	0.322304803				
665	Brahy.S02G0015000	0.001521455	0.003409253	0.446272338				
666	Brahy.S02G0017600	0.002318645	0.002650163	0.874906588				
667	Brahy.S02G0018300	0.000445986	0.002361497	0.483787926				
668	Brahy.S02G0021900	0.000820916	0.001072322	0.765549373				
669	Brahy.S02G0024100	0.001640597	0.002074182	0.790960933				
670	Brahy.S02G0024500	0.000797434	0.002468005	0.323108808				
671	Brahy.S02G0026900	0.000210729	0.000378746	0.556385574				
672	Brahy.S02G0027000	0.0016632844999999	0.007342672	0.2265701319999999				
673	Brahy.S02G0032700	0.00327942	0.0081060065	0.4209601364999999				
674	Brahy.S02G0034600	0.001762824	0.0018334635	0.96146272				
675	Brahy.S02G0039900	4.82e-05	0.001101928	0.043781359				
676	Brahy.S02G0040500	0.0007497615	0.003775532	0.2212724935				
677	Brahy.S02G0045000	0.000431517	0.001241758	0.347504888				
678	Brahy.S02G0070800	0.001402982	0.001427992	0.982485714				
679	Brahy.S02G0076900	0.009707509	0.006637281	1.462573023				
680	Brahy.S02G0077800	0.001003376	0.003418961	0.293473869				
681	Brahy.S02G0080400	0.0040411765	0.003532833	0.992414236				
682	Brahy.S02G0081200	5.63e-05	0.000179153	0.314510828				
683	Brahy.S02G0091600	0.001032421	0.003037564	0.339884618				
684	Brahy.S02G0094800	0.0040839434999999	0.007216322	0.567361064				
685	Brahy.S02G0095600	0.000747107	0.001240998	0.602020593				
686	Brahy.S02G0097600	0.001582151	0.00106285	1.488593177				
687	Brahy.S02G0098500	0.000342623	0.000898723	0.381233524				
688	Brahy.S02G0102800	0.0004491649999999	0.0016040545	0.2938276265				
689	Brahy.S02G0104200	0.001273155	0.000600471	2.120262874				
690	Brahy.S02G0105100	0.000555842	0.001939239	0.286628832				
691	Brahy.S02G0108400	0.0036239335	0.0008166045	4.58509979				
692	Brahy.S02G0125100	0.0035688265	0.005309892	1.1091095795				
693	Brahy.S02G0126200	0.000632377	0.000695337	0.909453258				
694	Brahy.S02G0126700	0.000728842	0.005188793	0.140464634				
695	Brahy.S02G0128900	0.000861268	0.002494077	0.345325355				
696	Brahy.S02G0135400	0.001058417	0.004926418	0.21484512				
697	Brahy.S02G0139500	0.000123049	0.000418095	0.285044014				
698	Brahy.S02G0140000	0.001983997	0.001089191	1.821532812				
699	Brahy.S02G0144100	2.7e-05	7.84e-05	0.344096219				
700	Brahy.S02G0144400	0.000102645	0.001076979	0.09530852				
701	Brahy.S02G0146300	0.000642062	0.00246244	0.260742034				
702	Brahy.S02G0147700	0.008126437	0.002228713	3.646246728				
703	Brahy.S02G0148100	0.022766533	0.015075168	1.510200898				
704	Brahy.S02G0150400	0.001115835	0.0012327244999999	1.026334508				
705	Brahy.S02G0151100	0.006135289	0.007948993	0.771832226				
706	Brahy.S02G0153000	0.001062538	0.002943152	0.3642680945				
707	Brahy.S02G0155000	0.003180548	0.006005348	0.5442603835				
708	Brahy.S02G0166400	0.006541461	0.003596943	1.818617025				
709	Brahy.S02G0169300	0.000934808	0.001379368	0.67770773				
710	Brahy.S02G0170300	0.002226015	0.003902016	0.570478098				
711	Brahy.S02G0175600	0.001492411	0.002767891	0.539186945				
712	Brahy.S02G0175700	0.000412584	0.000475983	0.866804195				
713	Brahy.S02G0184400	0.00015854	0.000113328	1.398943965				
714	Brahy.S02G0189900	0.00010595	0.003657533	0.028967606				
715	Brahy.S02G0191400	0.0065993895	0.0064522545	1.099232149				
716	Brahy.S02G0192700	0.005470559	0.004658268	1.174376167				
717	Brahy.S02G0196400	0.0009217	0.00106972	0.861627342				
718	Brahy.S02G0200700	0.002394557	0.0002289335	10.8558451885				
719	Brahy.S02G0204700	0.000284376	0.001913144	0.148643173				
720	Brahy.S02G0205800	0.006140169	0.0036858159999999	1.684247091				
721	Brahy.S02G0213200	0.000410572	0.0008219165	0.473913014				
722	Brahy.S02G0216600	0.000904145	0.002870029	0.315029933				
723	Brahy.S02G0218200	0.007619737	0.005798576	1.314070473				
724	Brahy.S02G0218600	0.002991845	0.003382765	0.9169870415				
725	Brahy.S02G0220700	0.01459359	0.017785121	0.820550476				
726	Brahy.S02G0233800	0.013211229	0.0070243124999999	1.8815897965				
727	Brahy.S02G0234200	0.000275815	0.000859613	0.3208600219999999				
728	Brahy.S02G0237600	0.001471773	0.002386508	0.616931551				
729	Brahy.S02G0241100	0.000991682	0.002655007	0.373513738				
730	Brahy.S02G0246900	0.0047026425	0.011654926	0.364781002				
731	Brahy.S02G0252900	0.002234901	0.002738341	0.8161517				
732	Brahy.S02G0253800	0.0054406535	0.005220987	1.062435928				
733	Brahy.S02G0254200	0.006131091	0.0217020169999999	0.2892568035				
734	Brahy.S02G0258800	0.000245043	0.000320511	0.764539202				
735	Brahy.S02G0269100	0.0002098065	0.0008083365	0.263534523				
736	Brahy.S02G0270200	0.000328881	0.000367231	0.895569702				
737	Brahy.S02G0278900	0.001550314	0.0026309239999999	0.5921212425				
738	Brahy.S02G0284300	0.005380918	0.005220387	1.030750793				
739	Brahy.S02G0285500	0.002614047	0.002411358	1.084056193				
740	Brahy.S02G0287300	0.002161966	0.0016197899999999	1.4709462555				
741	Brahy.S02G0290400	0.003191974	0.003780925	0.844231208				
742	Brahy.S02G0292100	0.0013172095	0.0033898065	0.3905214425				
743	Brahy.S02G0292300	0.000827463	0.001364447	0.606445191				
744	Brahy.S02G0292800	0.011696462	0.012843157	0.910715538				
745	Brahy.S02G0299000	0.0015387225	0.0021631405	0.735954871				
746	Brahy.S02G0299500	0.022934594	0.023606947	0.971518822				
747	Brahy.S02G0301700	0.0086938505	0.0119719754999999	0.731460939				
748	Brahy.S02G0304800	0.0039112535	0.0054025494999999	0.727200501				
749	Brahy.S02G0306400	0.0003626535	0.0004166184999999	0.664802363				
750	Brahy.S02G0310700	0.002974665	0.000955138	3.11438327				
751	Brahy.S02G0322400	0.001427125	0.002748111	0.519311253				
752	Brahy.S02G0330900	0.001458137	0.002401907	0.565245977				
753	Brahy.S02G0335000	0.005188523	0.001473373	3.521527876				
754	Brahy.S02G0341200	0.0011705465	0.001573006	0.8176897885000001				
755	Brahy.S02G0344200	0.001867346	0.003512104	0.531688669				
756	Brahy.S02G0345500	0.0030034535	0.0050441935	0.5720085305				
757	Brahy.S02G0355800	0.000917131	0.005720123	0.160334098				
758	Brahy.S02G0362500	0.001113652	0.002473301	0.4920085054999999				
759	Brahy.S02G0371400	2.025e-05	0.000431792	0.157107687				
760	Brahy.S02G0371800	0.000951394	0.000338379	2.811626103				
761	Brahy.S02G0379500	0.0005189656666666	0.002525865	0.3389571163333333				
762	Brahy.S02G0381500	0.010328892	0.0067712215	1.5209716765				
763	Brahy.S02G0383100	0.000882516	0.002366525	0.372916543				
764	Brahy.S02G0386400	0.005519461	0.004404878	1.25303379				
765	Brahy.S02G0387100	0.0060065645	0.0127521245	0.476904308				
766	Brahy.S02G0393600	0.000100585	0.000291421	0.345152927				
767	Brahy.S02G0398900	0.000632695	0.001912765	0.33077513				
768	Brahy.S02G0400100	0.000474215	0.001322314	0.358624778				
769	Brahy.S02G0400900	0.0018404565	0.001884158	0.9877811835				
770	Brahy.S02G0403300	0.003565159	0.008747471	0.407564589				
771	Brahy.S02G0407100	0.0007938925	0.0015394345	0.409706892				
772	Brahy.S02G0413800	0.005736373	0.005987468	0.958063169				
773	Brahy.S02G0417900	0.000832654	0.000430056	1.936150381				
774	Brahy.S02G0418400	0.000151753	0.000430781	0.352273762				
775	Brahy.S02G0420300	0.00110742	0.001052816	1.051864808				
776	Brahy.S02G0421000	0.000233434	0.000377032	0.619135989				
777	Brahy.S02G0424200	0.002650924	0.005827213	0.454921384				
778	Brahy.S03G0005600	0.0026514473333333	0.0071618243333333	0.376628585				
779	Brahy.S03G0012000	0.000952094	0.001063518	0.895231258				
780	Brahy.S03G0015900	0.000225569	0.0007970096666666	0.2830630736666666				
781	Brahy.S03G0017200	0.00116599	0.001810374	0.644060616				
782	Brahy.S03G0017900	0.0006662183333333	0.0069715113333333	0.1054343956666666				
783	Brahy.S03G0028000	0.002905808	0.002448511	1.186765435				
784	Brahy.S03G0029200	0.003549408	0.004251732	0.834814648				
785	Brahy.S03G0032000	0.000118401	0.000916946	0.129125546				
786	Brahy.S03G0037400	0.000631718	0.000884261	0.714402228				
787	Brahy.S03G0038300	0.000420721	0.006367664	0.066071534				
788	Brahy.S03G0047200	0.002269271	0.003995886	0.567901779				
789	Brahy.S03G0049100	0.000430606	0.0009009235	0.4575465115				
790	Brahy.S03G0053500	0.001659374	0.004467999	0.371390764				
791	Brahy.S03G0067000	0.0025901473333333	0.0015081836666666	3.2024657013333333				
792	Brahy.S03G0071200	0.000641065	0.005290191	0.121179923				
793	Brahy.S03G0074600	0.000602818	0.0007718396666666	0.7703149536666666				
794	Brahy.S03G0091900	0.0005340306666666	0.000738196	1.2724885136666668				
795	Brahy.S03G0106700	0.003703785	0.007005288	0.528712765				
796	Brahy.S03G0107800	0.000141254	0.000470393	0.300290538				
797	Brahy.S03G0108000	0.002363001	0.001453087	1.626193706				
798	Brahy.S03G0118300	0.006973908	0.006717734	1.038133967				
799	Brahy.S03G0122100	0.000969981	0.001542897	0.628674708				
800	Brahy.S03G0122200	0.000668208	0.001791464	0.372995532				
801	Brahy.S03G0124100	8.47e-05	0.000135684	0.623981635				
802	Brahy.S03G0144400	0.001131528	0.003590168	0.315174064				
803	Brahy.S03G0146500	0.001648021	0.008177307	0.201535929				
804	Brahy.S03G0156800	0.00670541	0.005397515	1.242314251				
805	Brahy.S03G0158800	0.00140194175	0.00247439125	0.5897520789999999				
806	Brahy.S03G0166000	0.001359916	0.002613659	0.52031115				
807	Brahy.S03G0170900	0.002145576	0.002989723	0.717650536				
808	Brahy.S03G0171500	0.000350584	0.000902372	0.388513693				
809	Brahy.S03G0178900	0.000161476	0.000654143	0.246851041				
810	Brahy.S03G0180200	0.000918289	0.001795064	0.511563643				
811	Brahy.S03G0182600	0.001631863	0.001397149	1.167994914				
812	Brahy.S03G0189500	0.000932164	0.0013633999999999	0.72854542175				
813	Brahy.S03G0204900	0.00071486	0.00120343	0.594018488				
814	Brahy.S03G0206500	0.000387652	0.000959298	0.404099311				
815	Brahy.S03G0217100	0.000223924	0.001089273	0.205571904				
816	Brahy.S03G0217500	0.0007767795	0.0003250505	2.4385762035000003				
817	Brahy.S03G0219000	0.000211975	0.000494616	0.428564698				
818	Brahy.S03G0223800	0.000680022	0.001070776	0.63507386				
819	Brahy.S03G0226200	0.0004681405	0.001347187	0.3878446475				
820	Brahy.S03G0226400	0.0007357542	0.0014534462	0.5144329304				
821	Brahy.S03G0232000	0.001174168	0.002973517	0.394875245				
822	Brahy.S03G0232300	0.002351126	0.0021617093333333	1.307920799				
823	Brahy.S03G0232900	0.000157219	0.00050861	0.309115879				
824	Brahy.S03G0233900	0.000413534	0.001236414	0.334462336				
825	Brahy.S03G0248600	0.000509078	0.0006777075	0.77500456				
826	Brahy.S03G0250500	0.000589075	0.004703131	0.125251766				
827	Brahy.S03G0253800	0.0014124171999999	0.0016559832	0.8632481204				
828	Brahy.S03G0262700	0.005536743	0.004426958	1.250687973				
829	Brahy.S03G0263200	0.000604494	0.003110079	0.194365992				
830	Brahy.S03G0263500	0.006908657	0.007504922	0.920550164				
831	Brahy.S03G0266300	0.000562809	0.000660692	0.85184759				
832	Brahy.S03G0267500	0.002555618	0.0039748242	0.6095340502				
833	Brahy.S03G0268200	0.015919836	0.023100744	0.689148179				
834	Brahy.S03G0269500	0.0028872642	0.00533109	0.4739359824				
835	Brahy.S03G0272300	0.0004240033333333	0.0014453619999999	0.2737702063333333				
836	Brahy.S03G0279200	0.00343358275	0.00103781275	3.3904992465				
837	Brahy.S03G0280800	0.00472943475	0.00597084075	0.789204513				
838	Brahy.S03G0288300	0.0007811425	0.0024259109999999	0.33104106575				
839	Brahy.S03G0289900	0.0001428405	0.00076567925	0.23761903525				
840	Brahy.S03G0290400	0.000507095	0.000244556	2.073538923				
841	Brahy.S03G0291900	0.0022676536666666	0.0037185703333333	0.6113296763333333				
842	Brahy.S03G0298000	0.004900368	0.004487163	1.081100802				
843	Brahy.S03G0304000	0.002226706	0.001113674	1.999423066				
844	Brahy.S03G0306200	0.0019135746666666	0.0026235913333333	0.7536319656666667				
845	Brahy.S03G0307400	0.00335157175	0.00447092675	0.64631801975				
846	Brahy.S03G0308200	0.0092960593333333	0.0159832433333333	0.5762888503333333				
847	Brahy.S03G0308300	0.0055497515	0.01072040725	0.53273426025				
848	Brahy.S03G0313600	0.000522972	0.0016786935	0.3125881765				
849	Brahy.S03G0314200	0.001518721	0.0018089073333333	0.8209766526666668				
850	Brahy.S03G0314800	0.00322485	0.0038505082499999	0.8674113785				
851	Brahy.S03G0318100	0.000301382	0.000730427	0.412610958				
852	Brahy.S03G0319300	0.003718259	0.004079719	0.91140075				
853	Brahy.S03G0323800	7.87e-05	0.000281775	0.279395267				
854	Brahy.S03G0325200	0.002017729	0.001935915	1.042261153				
855	Brahy.S03G0330400	0.000796446	0.001401202	0.568402225				
856	Brahy.S04G0006600	0.0005376012499999	0.000857277	0.6344127225				
857	Brahy.S04G0009000	4.02e-05	0.0001689	0.238008454				
858	Brahy.S04G0011800	0.000438966	0.0011740973333333	0.5166503933333334				
859	Brahy.S04G0012100	0.00175232325	0.0026256985	0.96725012725				
860	Brahy.S04G0012700	0.011133628	0.010828255	1.028201447				
861	Brahy.S04G0013200	0.0049546693333333	0.0073860646666666	0.6800054683333334				
862	Brahy.S04G0014700	0.0007410755	0.001280949	0.56822562				
863	Brahy.S04G0015000	0.000270954	0.00045013	0.601945163				
864	Brahy.S04G0021800	0.0031902865	0.00457224675	0.72116756125				
865	Brahy.S04G0021900	0.0009963062	0.0014342218	0.7525796326				
866	Brahy.S04G0023000	0.002640881	0.002434394	1.08482055				
867	Brahy.S04G0023200	0.006576576	0.0070482613333333	1.10018384				
868	Brahy.S04G0023500	0.0024265895	0.00374890575	0.78135457275				
869	Brahy.S04G0025300	0.000852319	0.00073896775	1.26159703675				
870	Brahy.S04G0028200	0.00202367	0.0030996256666666	0.712470351				
871	Brahy.S04G0035100	9.55e-05	0.000246427	0.387577402				
872	Brahy.S04G0035900	0.00011115575	0.000260115	0.42802459525				
873	Brahy.S04G0036000	0.002656035	0.00501477475	0.6289230325				
874	Brahy.S04G0036100	0.000804248	0.00191309	0.420392241				
875	Brahy.S04G0040100	0.002199082	0.002302671	0.955013277				
876	Brahy.S04G0040200	0.00050347	0.002072669	0.2630863625				
877	Brahy.S04G0047300	0.000908833	0.000655259	1.386982004				
878	Brahy.S04G0049000	0.00288310525	0.006299669	0.439123376				
879	Brahy.S04G0060800	0.000882786	0.005274847	0.16735758				
880	Brahy.S04G0069600	0.0042484	0.0046656276666666	0.9816354506666668				
881	Brahy.S04G0073200	0.002245665	0.0070256466666666	0.3530943229999999				
882	Brahy.S04G0076400	0.000531249	0.000616348	0.861930054				
883	Brahy.S04G0082000	0.0055863505	0.00604503275	0.93078787625				
884	Brahy.S04G0082100	0.003242193	0.001846659	1.6554508095				
885	Brahy.S04G0083100	1.5e-05	4.33e-05	0.34717877				
886	Brahy.S04G0084700	0.0002218469999999	0.0003436573333333	0.6306503713333333				
887	Brahy.S04G0085800	0.000631076	0.001018633	0.619532415				
888	Brahy.S04G0090800	0.0017093763333333	0.0013895643333333	1.507250101				
889	Brahy.S04G0094000	3.0400000000000105e-05	3.365000000000022e-05	0.683065335				
890	Brahy.S04G0094200	0.0007523973333333	0.000370497	1.969631025				
891	Brahy.S04G0098600	0.00069885125	0.0007279165	0.84849143725				
892	Brahy.S04G0098700	0.0004411636666666	0.0013843006666666	0.3794639746666666				
893	Brahy.S04G0100000	0.0055483395	0.00866408	0.5990134205				
894	Brahy.S04G0102300	0.0017547406666666	0.0053230563333333	0.3653080873333333				
895	Brahy.S04G0113700	0.004508433	0.005562749	0.83225661625				
896	Brahy.S04G0116600	5.53e-05	0.000221955	0.249234624				
897	Brahy.S04G0121200	0.0038368893333333	0.0029544519999999	1.3874414946666669				
898	Brahy.S04G0124600	0.000365447	0.001158816	0.31536276				
899	Brahy.S04G0139700	7.9516e-05	0.0001915845	0.4014436995				
900	Brahy.S04G0144200	5.31e-05	0.000186855	0.284146559				
901	Brahy.S04G0144500	0.001697858	0.00206312375	0.8565348325				
902	Brahy.S04G0145600	0.0016461499999999	0.00227306225	0.76055728425				
903	Brahy.S04G0149500	0.00197138	0.002924088	0.674186395				
904	Brahy.S04G0150800	0.0004992275	0.0010036845	0.411784395				
905	Brahy.S04G0153700	0.000983454	0.00232558	0.4500867705				
906	Brahy.S04G0156000	0.000338999	0.0002221294999999	1.801816577				
907	Brahy.S04G0156200	0.0009135165	0.005681173	0.1609368075				
908	Brahy.S04G0160600	0.000510142	0.0023263593333333	0.2504673833333333				
909	Brahy.S04G0162200	0.001163663	0.0008663265	1.856396702				
910	Brahy.S04G0164800	0.0008452304999999	0.002578573	0.3266120695				
911	Brahy.S04G0165000	0.000652032	0.004759131	0.137006549				
912	Brahy.S04G0165200	0.000639963	0.001426332	0.448677569				
913	Brahy.S04G0167500	0.0009692783333333	0.0015733086666666	0.65479368				
914	Brahy.S04G0167700	0.0004195135999999	0.001217842	0.4475701728				
915	Brahy.S04G0169400	0.0006518895	0.0023088025	0.282354374				
916	Brahy.S04G0171300	0.000727176	0.004960188	0.146602443				
917	Brahy.S04G0175000	0.000900054	0.007148887	0.125901325				
918	Brahy.S04G0181600	1.35e-05	2.92e-05	0.462839743				
919	Brahy.S04G0184500	0.000115122	0.001554582	0.074053367				
920	Brahy.S04G0198000	0.0012684416666666	0.0030399713333333	0.42769601				
921	Brahy.S04G0203800	0.000286251	0.0007397266666666	0.377240407				
922	Brahy.S04G0217300	0.00031697	0.002018227	0.157053853				
923	Brahy.S04G0224500	7.46e-05	0.000226843	0.328783811				
924	Brahy.S04G0228800	0.000479808	0.000925553	0.518401335				
925	Brahy.S04G0236900	0.0008109384999999	0.0005942755	3.3632707230000003				
926	Brahy.S04G0238300	0.0139438356666666	0.020853035	0.6677654369999999				
927	Brahy.S04G0242700	0.001215505	0.008703431	0.139658126				
928	Brahy.S04G0250000	0.001867409	0.001132396	1.649077789				
929	Brahy.S04G0257500	0.000399721	0.001336246	0.299137595				
930	Brahy.S04G0262000	0.001350809	0.000262053	5.154708017				
931	Brahy.S04G0265400	0.0037744383333333	0.006046227	0.6459426006666668				
932	Brahy.S04G0267800	0.002518785	0.001431252	1.759846941				
933	Brahy.S04G0270800	0.013067885	0.035559141	0.367497205				
934	Brahy.S04G0271000	0.0016200084999999	0.002506126	0.770143138				
935	Brahy.S04G0279800	0.003258335	0.0082023596666666	0.467200885				
936	Brahy.S04G0280000	0.000173909	0.000337864	0.514730822				
937	Brahy.S04G0280200	5.23e-05	0.000961903	0.054351382				
938	Brahy.S04G0287000	0.000232097	0.000138909	1.670861389				
939	Brahy.S04G0293400	0.001568571	0.008876694	0.176706657				
940	Brahy.S04G0293500	0.0171744775	0.02220872675	0.78155950625				
941	Brahy.S04G0295600	0.000229093	0.000627955	0.36482308				
942	Brahy.S04G0301200	1.59e-05	6.94e-05	0.229414436				
943	Brahy.S04G0302100	0.000497545	0.000144381	3.446049418				
944	Brahy.S04G0307300	0.0015270315	0.0014483719999999	0.824036136				
945	Brahy.S04G0308300	0.0007860524999999	0.0008904725	0.9973764755				
946	Brahy.S04G0317400	0.000803	0.000534127	1.503387198				
947	Brahy.S04G0319200	0.007165317	0.005325102	1.345573498				
948	Brahy.S04G0319700	0.000665053	0.000434914	1.52916074				
949	Brahy.S04G0324600	5.01e-05	0.00015153	0.330583756				
950	Brahy.S04G0324900	0.003647204	0.00664616	0.548768592				
951	Brahy.S04G0326800	0.001324418	0.004352152	0.304313451				
952	Brahy.S04G0328800	0.000170731	0.001208317	0.141296664				
953	Brahy.S04G0330200	0.000415665	0.000415547	1.000283617				
954	Brahy.S04G0331500	0.002254	0.00132815	1.697097069				
955	Brahy.S04G0333500	0.00020123275	0.00026274425	0.87043069475				
956	Brahy.S04G0338000	0.000173282	0.000663048	0.2172321865				
957	Brahy.S04G0347000	0.002296808	0.001587419	1.446882087				
958	Brahy.S04G0348100	0.0006206545	0.001302341	0.4629628999999999				
959	Brahy.S04G0352000	0.000445753	0.001010365	0.441180404				
960	Brahy.S04G0355300	0.028523577	0.014955045	1.907287958				
961	Brahy.S04G0359400	0.000274629	0.000211217	1.300217681				
962	Brahy.S04G0362700	0.000773805	0.0048497835	0.18427237625				
963	Brahy.S04G0367200	8.63e-05	0.000585388	0.147480724				
964	Brahy.S05G0001300	0.002629385	0.003583552	0.733737133				
965	Brahy.S05G0001500	0.000319047	0.000276133	1.155411394				
966	Brahy.S05G0003000	0.000969309	0.00150926	0.642241457				
967	Brahy.S05G0008900	0.0001707	0.001589947	0.107361937				
968	Brahy.S05G0012900	0.00097166	0.001527067	0.636291498				
969	Brahy.S05G0015400	0.0008550945	0.0076324815	0.1115266495				
970	Brahy.S05G0017600	0.000461223	0.002177984	0.211765837				
971	Brahy.S05G0021100	1.81e-05	0.0003119875	0.0734358715				
972	Brahy.S05G0027700	0.001103834	0.0012023294	1.1005709926				
973	Brahy.S05G0027800	0.0004098865	0.0031337565	0.0979715474999999				
974	Brahy.S05G0034300	0.002938218	0.002066011	1.422169802				
975	Brahy.S05G0042600	0.001350866	0.001280718	1.054771991				
976	Brahy.S05G0048600	0.01166467325	0.01028846325	1.110084045				
977	Brahy.S05G0050300	0.000603015	0.000845271	0.713398102				
978	Brahy.S05G0051700	6.68e-05	0.000220371	0.303057287				
979	Brahy.S05G0055300	7.6e-05	0.000242883	0.313011945				
980	Brahy.S05G0056600	0.00140039	0.0032358225	0.5638925730000001				
981	Brahy.S05G0060300	0.010030534	0.0124455665	0.81309168625				
982	Brahy.S05G0060400	0.0200967999999999	0.0275741254999999	0.7308095917499999				
983	Brahy.S05G0062000	0.001774457	0.0012065206666666	1.4538325463333333				
984	Brahy.S05G0065400	0.00080020975	0.00146294325	0.53695607775				
985	Brahy.S05G0069500	0.00234549	0.001557723	1.505716837				
986	Brahy.S05G0072400	0.0072971699999999	0.01219395125	0.6058547025000001				
987	Brahy.S05G0076200	0.0002598075	0.001154915	0.2647541025				
988	Brahy.S05G0077100	0.000263227	0.000514668	0.511450382				
989	Brahy.S05G0079400	0.000823376	0.001041037	0.790919057				
990	Brahy.S05G0085900	0.001518817	0.001906015	0.796854458				
991	Brahy.S05G0089800	0.000770344	0.0044026776666666	0.1791872903333333				
992	Brahy.S05G0092900	0.000245125	0.001904057	0.128738152				
993	Brahy.S05G0095000	0.0015819085	0.00290365	0.512252524				
994	Brahy.S05G0102600	0.00681553475	0.014362249	0.474633099				
995	Brahy.S05G0104800	0.004320123	0.010040135	0.430285371				
996	Brahy.S05G0109000	0.000137839	0.001232965	0.111794441				
997	Brahy.S05G0111700	0.00142027025	0.002377833	0.55894228875				
998	Brahy.S05G0113500	0.0002015533333333	0.0033889953333333	0.063288107				
999	Brahy.S05G0114500	0.0004018559999999	0.000498506	0.774659185				
1000	Brahy.S05G0119000	0.000658122	0.00236727	0.333481474				
1001	Brahy.S05G0125200	0.000384348	0.001122719	0.342337052				
1002	Brahy.S05G0133300	0.000357442	0.0002322985	1.500416445				
1003	Brahy.S05G0137500	0.0025796836666666	0.0036405726666666	0.8178509706666667				
1004	Brahy.S05G0139400	0.000622983	0.003565158	0.174741968				
1005	Brahy.S05G0143200	0.000138353	0.00019086	0.724895271				
1006	Brahy.S05G0145000	0.000178359	0.000595992	0.299264827				
1007	Brahy.S05G0156300	0.000623457	0.001863757	0.334516318				
1008	Brahy.S05G0156700	0.0020848743333333	0.0015787026666666	1.1984829453333334				
1009	Brahy.S05G0159400	0.00647929375	0.0131311	0.49246376875				
1010	Brahy.S05G0161200	0.000495566	0.000854366	0.580039026				
1011	Brahy.S05G0163600	0.012777316	0.00444103425	3.09344571925				
1012	Brahy.S05G0174500	0.000531682	0.00137572	0.386475704				
1013	Brahy.S05G0180900	0.002792004	0.003218606	0.867457667				
1014	Brahy.S05G0183700	0.005465734	0.0055770125	0.9621066285				
1015	Brahy.S05G0184100	7.98e-05	0.000328605	0.242754201				
1016	Brahy.S05G0184700	0.0011088945	0.0043122495	0.2445011225				
1017	Brahy.S05G0190600	0.00699615575	0.00533159525	1.40576458525				
1018	Brahy.S05G0200400	6.53e-05	0.00271553	0.024048082				
1019	Brahy.S05G0200600	0.0020801303333333	0.0078869436666666	0.3819195123333334				
1020	Brahy.S05G0200900	0.0008510515	0.00094904	0.896749086				
1021	Brahy.S05G0202500	0.000288489	0.000973078	0.296470815				
1022	Brahy.S05G0203500	0.000980762	0.001700215	0.576845494				
1023	Brahy.S05G0218600	0.002643456	0.0048956765	0.4592333345				
1024	Brahy.S05G0218800	0.003771889	0.003393827	1.111397031				
1025	Brahy.S05G0221000	0.001031341	0.001659285	0.621557452				
1026	Brahy.S05G0230600	0.00749534775	0.01029607625	0.73617445875				
1027	Brahy.S05G0241300	0.002997108	0.011159705	0.268565201				
1028	Brahy.S05G0241800	0.000280282	0.000967527	0.289689205				
1029	Brahy.S05G0246700	0.003986392	0.0048888449999999	0.835088871				
1030	Brahy.S05G0247100	0.0011825273333333	0.0043501423333333	0.2700294883333333				
1031	Brahy.S05G0253100	0.000352568	0.000544247	0.7412591045				
1032	Brahy.S05G0253200	0.0036316235	0.00576007725	1.0986063435				
1033	Brahy.S05G0258700	0.0005859075	0.0008260275	1.143922958				
1034	Brahy.S05G0263100	0.000779836	0.0012196135	0.62940285225				
1035	Brahy.S05G0268500	0.00180351	0.00115687	1.558956275				
1036	Brahy.S05G0269600	0.00961171775	0.00738422575	1.30756919625				
1037	Brahy.S05G0270000	0.000237749	0.000931697	0.255177866				
1038	Brahy.S05G0282500	0.002511381	0.001741454	1.442117164				
