	bhdid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
416	Brahy.D04G0387800	0.00040604	0.001168239	0.347565617	Brast05G001200			
417	Brahy.D04G0389800	0.00012398	0.000252593	0.490828316	Brast05G090500			
418	Brahy.D04G0392700	0.000195711	0.002549542	0.076763381	Brast05G088700			
419	Brahy.D04G0417000	0.006168733	0.004893368	1.260631345	Brast05G106300			
420	Brahy.D04G0429100	0.000590604	0.001436569	0.411121554	Brast05G115100			
421	Brahy.D04G0432900	0.000991216	0.0012910215	0.727873749	Brast05G118500			
422	Brahy.D04G0434600	0.003481283	0.004460108	0.78053785	Brast05G119800			
423	Brahy.D04G0437500	0.00278074	0.002523242	1.102050606	Brast05G122200			
424	Brahy.D04G0442700	0.008175458	0.008246836	0.991344708	Brast05G126700			
425	Brahy.D04G0445000	0.000280719	0.0010840469999999	0.233510704	Brast05G128900			
426	Brahy.D04G0454000	0.002229037	0.003778618	0.589907979	Brast05G135600	0.000340524	0.000499778	0.681350023
427	Brahy.D04G0457000	0.001215154	0.002169963	0.559988605	Brast05G138700			
428	Brahy.D04G0478400	0.006526056	0.003584032	1.820869917	Brast05G156500			
429	Brahy.D04G0479400	0.001441924	0.0025358905	0.748121058				
430	Brahy.D04G0487900	0.000108054	0.000250129	0.431991068	Brast05G164600	0.001947986	0.006756997	0.288291703
431	Brahy.D04G0491000	0.000231705	0.001662844	0.139342796				
432	Brahy.D04G0498600	0.00040985	0.000865599	0.473487167				
433	Brahy.D04G0498700	0.000284304	0.003032505	0.093752246	Brast05G172600			
434	Brahy.D04G0499800	0.000419258	0.001808614	0.231811741				
435	Brahy.D04G0505500	0.000115302	0.000133115	0.866177672	Brast05G178500			
436	Brahy.D04G0506300	0.000284404	0.00040323	0.705314143	Brast05G179500	0.000854804	0.000913722	0.935519289
437	Brahy.D04G0516600	0.005055548	0.008955176	0.564539165	Brast05G187600			
438	Brahy.D04G0518400	0.001488389	0.002331839	0.638289834	Brast05G189600			
439	Brahy.D04G0521600	0.000554366	0.00189436	0.292640477	Brast05G192200	0.000261317	0.001329217	0.196594375
440	Brahy.D04G0526600	0.0041054985	0.0066225799999999	0.524930083	Brast05G195600			
441	Brahy.D04G0529100	0.004470261	0.004792778	0.932707636	Brast05G198000			
442	Brahy.D04G0547000	0.004077983	0.003558491	1.145986465	Brast05G211800			
443	Brahy.D04G0553000	0.000393839	0.000439351	0.896411466	Brast05G216800			
444	Brahy.D04G0559100	0.000743701	0.003232203	0.230091013	Brast05G222500			
445	Brahy.D04G0560100	0.001150519	0.002137139	0.538345511	Brast05G223400			
446	Brahy.D04G0560900	0.003484344	0.001110875	3.136574882	Brast05G224400	0.000550853	0.000640225	0.860405624
447	Brahy.D04G0566400	0.002489486	0.003890237	0.639931622	Brast05G229900			
448	Brahy.D04G0574000	0.010757656	0.002701591	3.981970376	Brast05G236800			
449	Brahy.D04G0574400	0.002000617	0.001971882	1.014572399	Brast05G237100	0.002701104	0.008014733	0.337017277
450	Brahy.D04G0575000	0.023767931	0.017726669	1.340800756	Brast05G237500			
451	Brahy.D04G0575400	0.000804398	0.001720797	0.467456814	Brast05G237900	0.001652677	0.001680689	0.983332454
452	Brahy.D04G0576800	0.002320922	0.002957271	0.784818732	Brast05G239000			
453	Brahy.D04G0578600	0.001039217	0.000800067	1.298912034	Brast05G240800			
454	Brahy.D04G0579500	0.000114045	0.000407205	0.280066994	Brast05G241800			
455	Brahy.D04G0584400	0.007918976	0.011555276	0.685312598	Brast05G245600			
456	Brahy.D04G0584600	0.005212938	0.019650788	0.265278848	Brast05G245800			
457	Brahy.D04G0586800	0.001374448	0.003374243	0.407335153	Brast05G247600			
458	Brahy.D04G0590900	0.00038838	0.003746724	0.103658461				
459	Brahy.D04G0603400	0.000812482	0.001030785	0.788216487	Brast05G262000			
460	Brahy.D04G0621600	0.005676019	0.005497978	1.032383	Brast05G278500			
461	Brahy.D04G0627700	0.001303689	0.000410961	3.172297707	Brast05G284300			
462	Brahy.D04G0630200	0.000718947	0.006003146	0.119761646	Brast05G286000			
463	Brahy.D04G0631700	0.003427803	0.006683641	0.512864664	Brast05G287300			
464	Brahy.D04G0633200	0.00679262	0.004278046	1.587785925	Brast05G289100	0.000475176	0.000591848	0.802868167
465	Brahy.D04G0635000	0.0025382415	0.0048961965	0.5825909855				
