"kTotal"	"kWithin"	"kOut"	"kDiff"
"TRIDC3AG017120"	17.158417349336	16.2188662848489	0.939551064487095	15.2793152203618
"TRIDC2BG014800"	352.680872362485	307.971363909514	44.7095084529706	263.261855456544
"TRIDC7AG036210"	0.0558146277785037	0.0544571652624977	0.00135746251600596	0.0530997027464918
"TRIDC5AG047770"	1.08942070813861	1.05520971186235	0.034210996276254	1.0209987155861
"TRIDC2AG035670"	70.3313302723499	62.9270845193756	7.40424575297425	55.5228387664014
"TRIDC4BG021940"	71.8320638867474	42.6184674516806	29.2135964350668	13.4048710166138
"TRIDC4BG013910"	0.317779295125745	0.260255862133713	0.0575234329920321	0.202732429141681
"TRIDC3BG083350"	309.792664192442	285.878123000074	23.9145411923683	261.963581807705
"TRIDC2AG028560"	7.69323653024702	7.30371588429287	0.389520645954145	6.91419523833873
"TRIDC4AG070460"	0.074505726524903	0.0490881433948429	0.02541758313006	0.0236705602647829
"TRIDC2AG037440"	258.831875736049	204.696450535014	54.135425201035	150.561025333979
"TRIDC2AG042920"	71.7942504789775	61.2289297770899	10.5653207018876	50.6636090752024
"TRIDC5AG059960"	84.6241529421646	37.817702237466	46.8064507046985	-8.98874846723248
"TRIDC4BG022240"	16.4200469069141	14.892410949436	1.52763595747813	13.3647749919579
"TRIDC1BG070890"	0.152309854575958	0.15165627006437	0.000653584511588062	0.151002685552782
"TRIDC3AG075260"	0.031691774000322	0.000187958623428856	0.0315038153768932	-0.0313158567534643
"TRIDC5AG068830"	14.1095759631453	6.78662074900739	7.3229552141379	-0.536334465130517
"TRIDC7AG029070"	0.225077639911025	0.152847586418583	0.0722300534924426	0.0806175329261401
"TRIDC3BG025030"	3.30377793232528	3.10700846500595	0.196769467319334	2.91023899768661
"TRIDC1AG057700"	0.0574397694405481	0.0408687140719266	0.0165710553686216	0.024297658703305
"TRIDC3BG038850"	3.45051206221662	2.08328210371903	1.36722995849759	0.716052145221436
"TRIDC2BG038790"	0.271737378349686	0.225953547679019	0.0457838306706668	0.180169717008352
"TRIDC3BG012770"	7.04424884493245	5.4001453868641	1.64410345806835	3.75604192879575
"TRIDC2BG054610"	80.0120370021449	71.8122890581899	8.19974794395502	63.6125411142349
"TRIDC7BG023490"	124.459845873104	112.501609551328	11.9582363217759	100.543373229552
"TRIDC2BG039350"	0.0487929076564595	0.0270068471607326	0.0217860604957269	0.00522078666500563
"TRIDC5BG065490"	45.253706285886	39.5119691284902	5.74173715739575	33.7702319710945
"TRIDC4AG038540"	0.0306136629215219	0.0297382304867497	0.000875432434772151	0.0288627980519776
"TRIDC5BG070520"	0.405100655877143	0.370981580251252	0.0341190756258908	0.336862504625361
"TRIDC4BG017010"	94.0179191863745	85.5925137867992	8.42540539957533	77.1671083872239
"TRIDC2BG040710"	38.7242514111656	35.8761790101422	2.84807240102345	33.0281066091187
"TRIDC2AG023870"	0.211540906102849	0.206450413899516	0.00509049220333266	0.201359921696184
"TRIDC5AG002350"	6.49824648486484	5.50024997917633	0.997996505688509	4.50225347348782
"TRIDC6BG012730"	0.202892692718628	0.0350142778468669	0.167878414871761	-0.132864137024894
"TRIDC2AG047330"	0.60425323752723	0.443486112663559	0.160767124863671	0.282718987799888
"TRIDC4AG027150"	447.878804308328	412.947994749588	34.9308095587401	378.017185190848
"TRIDC5AG037770"	252.021679107292	234.862739941041	17.1589391662513	217.70380077479
"TRIDC5BG042550"	7.2695259080162	7.06710614462142	0.202419763394778	6.86468638122664
"TRIDC6AG055520"	16.2137654061598	15.3174958904579	0.896269515701974	14.4212263747559
"TRIDC6AG039020"	2.02274333906627	0.707815727730495	1.31492761133578	-0.607111883605284
"TRIDC3AG074310"	57.2106297420241	6.76713971730351	50.4434900247206	-43.6763503074171
"TRIDC1BG068400"	3.6644591211181	1.89173831178947	1.77272080932862	0.11901750246085
"TRIDC3BG041880"	32.5458348924681	30.8161435888198	1.72969130364834	29.0864522851714
"TRIDC7BG025210"	464.207650916085	378.295868339772	85.9117825763128	292.38408576346
"TRIDC2BG048280"	132.892693019954	104.535953663704	28.3567393562497	76.1792143074546
"TRIDC5BG052920"	0.00411913260441298	0.00375970333860806	0.000359429265804923	0.00340027407280313
"TRIDC3AG021330"	256.227140304073	241.684044302465	14.5430960016078	227.140948300857
"TRIDC2BG038440"	162.282809786562	146.566183571355	15.7166262152072	130.849557356147
"TRIDC7BG054020"	0.287425174462951	0.247959938693252	0.0394652357696992	0.208494702923553
"TRIDC5BG075080"	6.33758517398873	4.83056780626898	1.50701736771975	3.32355043854924
"TRIDC5AG057060"	1.54724407572839	1.19589146715412	0.351352608574271	0.844538858579849
"TRIDC5AG022620"	9.10889318513026	8.47596567674831	0.63292750838195	7.84303816836636
"TRIDC6AG010890"	0.0415196279721615	0.000300150564588897	0.0412194774075726	-0.0409193268429837
"TRIDC5BG035690"	2.39775704612566	0.941636340309308	1.45612070581636	-0.514484365507049
"TRIDC1BG007360"	89.8605137515978	6.17737756070779	83.68313619089	-77.5057586301822
"TRIDC2BG045140"	34.7319190321941	26.4426945413921	8.28922449080195	18.1534700505902
"TRIDC3BG056640"	358.887598681777	281.073734713676	77.8138639681019	203.259870745574
"TRIDC6AG024880"	131.915937343946	114.357206875725	17.558730468222	96.7984764075025
"TRIDC2AG037250"	476.338857862908	436.413340189393	39.9255176735151	396.487822515878
"TRIDC5BG033070"	34.2707641311609	21.2048284962526	13.0659356349083	8.13889286134435
"TRIDC7AG073560"	25.9340784653587	21.1742609748535	4.75981749050518	16.4144434843483
