nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC6BG048350	NA	turquoise
TRIDC1AG060830	NA	turquoise
TRIDC4BG049440	NA	turquoise
TRIDC1AG037640	NA	turquoise
TRIDC2BG025550	NA	turquoise
TRIDC4BG004110	NA	blue
TRIDC1AG047680	NA	turquoise
TRIDC7AG036340	NA	turquoise
TRIDC3BG022470	NA	turquoise
TRIDC4AG011900	NA	turquoise
TRIDC1AG018980	NA	turquoise
TRIDC4AG029660	NA	black
TRIDC3BG055130	NA	turquoise
TRIDC1AG038820	NA	turquoise
TRIDC7BG054820	NA	turquoise
TRIDC7BG022800	NA	turquoise
TRIDC5BG080870	NA	turquoise
TRIDC3AG038850	NA	blue
TRIDC7AG049130	NA	black
TRIDC1AG026470	NA	turquoise
TRIDC6BG037750	NA	turquoise
TRIDC7AG026590	NA	turquoise
TRIDC1BG061190	NA	turquoise
TRIDC3BG029590	NA	red
TRIDC4AG000910	NA	turquoise
TRIDC1AG030250	NA	turquoise
TRIDC2BG037330	NA	turquoise
TRIDC1AG044300	NA	brown
TRIDC1AG033760	NA	turquoise
TRIDC4AG016540	NA	turquoise
TRIDC2AG026670	NA	blue
TRIDC2BG071430	NA	turquoise
TRIDC1BG039490	NA	turquoise
TRIDC2BG010180	NA	turquoise
TRIDC3BG069300	NA	turquoise
TRIDC3BG005760	NA	blue
TRIDC4BG033510	NA	turquoise
TRIDC2AG041820	NA	turquoise
TRIDC4AG037880	NA	turquoise
TRIDC4AG041600	NA	turquoise
TRIDC6BG026340	NA	turquoise
TRIDC3AG058000	NA	turquoise
TRIDC6AG015880	NA	turquoise
TRIDC3AG069080	NA	blue
TRIDC5AG022580	NA	turquoise
TRIDC2BG019320	NA	turquoise
TRIDC2AG075890	NA	turquoise
TRIDC4BG009280	NA	turquoise
TRIDC1BG038420	NA	blue
TRIDC1AG038590	NA	turquoise
TRIDC4BG012780	NA	turquoise
TRIDC7BG030480	NA	blue
TRIDC4BG059340	NA	turquoise
TRIDC3BG069030	NA	blue
TRIDC2BG069320	NA	turquoise
TRIDC3BG033830	NA	turquoise
TRIDC7BG015070	NA	turquoise
TRIDC2AG053510	NA	blue
