	A	gs	WUE	Ci	Tr	VPD	Tleaf	AL	AW	AW/AL	GCV	SCV	SA	SI	SD	DW
143C	12.69723687	0.383927431	33.07197101	339.1480212	4.284091786	0.624111453	23.96030871	17.13189829	2.151978269	0.125612365	1364.282993	5135.591186	28.95564545	17.42894878	93.70278333	6.5375
143T	8.4071302	0.163829263	51.3164134	309.9125433	3.084857156	1.142779906	24.99685383	16.06202659	0.912135969	0.056788349	832.9296692	6691.185832	11.50667386	16.3350393	72.87995	6.22
144C	13.32209718	0.474985862	28.04735522	344.0952219	5.606592483	1.258915105	25.82978494	18.73866858	2.457514239	0.131146684	1692.67133	2980.184846	36.16801335	14.6876714	65.0714625	3.755
144T	9.906052587	0.219788054	45.07093265	319.0746697	3.05085192	1.534329759	25.83586534	18.15823444	1.321942464	0.072801266	745.5670692	4889.559599	18.85280839	16.4300638	76.35053333	3.03
145C	12.67347081	0.391991626	32.33097334	324.1526718	3.321411074	0.92880451	25.52037366	18.59372852	2.684054926	0.144352701	1850.590854	4413.43304	39.19654305	15.76561775	76.35046667	5.085
145T	9.207344708	0.234226896	39.3095109	320.2775234	2.852245604	1.459756361	25.83752314	18.48732788	1.201305739	0.064979955	1001.991782	7701.205203	17.44285525	18.0454217	78.085725	3.085
146C	13.45081763	0.446807615	30.10427126	339.4655543	3.892921613	0.97581917	23.13889822	16.34695132	2.98859835	0.18282298	1775.106695	3444.325255	38.37021238	18.62528773	95.19008571	4.6925
146T	10.60373758	0.243431394	43.55944973	301.6825684	3.476865257	1.305827729	24.15602366	15.79198697	1.362126826	0.086254303	1064.35384	3963.342231	16.8944557	16.1752884	97.1731	2.94
147C	14.06227157	0.37622236	37.37755394	336.3718236	4.371614216	1.230839397	25.53474204	17.15743111	2.5438375	0.148264474	1074.650903	2585.968268	34.27926571	14.21952795	45.11621667	4.115
147T	11.3975307	0.186097726	61.24486824	308.3877993	2.570111948	1.473993824	25.54567083	18.24883552	1.687793762	0.092487751	621.0821208	4059.808177	24.19047608	15.6021722	48.5867	2.615
148C	14.76383067	0.439614519	33.58358293	381.8939694	4.892798194	1.163154755	24.89112028	19.88978886	2.330138803	0.117152516	1482.907636	3721.188464	36.40003878	11.82402366	32.96955	4.14
148T	11.45397495	0.131987236	86.78092898	308.8127962	2.512181997	1.612681116	24.8309981	18.86570786	1.705332214	0.090393227	1273.573451	5388.017339	25.26806482	13.236211	34.35772	3.21
149C	13.07637627	0.347431789	37.63724766	367.8366971	3.041732164	0.9775936	25.283446	21.83181613	2.242914613	0.102736053	650.1206956	4977.452567	38.45851288	15.14644138	45.11623333	3.93
149T	7.881949017	0.107262331	73.48291747	316.6398341	1.288796264	1.231120105	25.2581687	20.22921484	2.00542271	0.099134975	1134.247571	3023.809681	31.86213232	13.2145671	41.64573333	3.3025
150C	12.35006383	0.320832887	38.49375898	305.0835883	3.309702084	0.990691125	24.01204033	17.710386	3.030794751	0.171130926	1374.05306	2964.244998	42.1574598	14.72320419	43.13308571	4.1125
150T	11.15883393	0.231696209	48.16148697	179.3313476	1.738621491	1.126370122	24.05624247	17.15607286	1.899438911	0.110715251	940.5027266	1710.45618	25.59370111	14.1122514	46.10777143	2.9075
181C	12.18865387	0.244952915	49.75917048	314.0521526	2.222934618	1.076609039	24.42568207	18.29970867	1.890561767	0.103311031	985.9197631	2788.087394	27.17220785	12.19216911	33.54795556	5.255
181T	9.828000622	0.174030762	56.47277828	307.8768815	1.874783795	1.142678101	24.38589923	15.99429182	0.9916711	0.062001564	628.7506372	3480.621891	12.45726072	11.3065724	37.1837	2.405
