"","GeneName","PearsonCorrelation","p.Standard","q.Standard","moduleColors"
"1","TRIDC3AG017120",0.695114019346583,1.85654266523405e-08,7.29496118759165e-09,"turquoise"
"2","TRIDC2BG014800",0.708769444945413,6.57595034301407e-09,3.01252670549213e-09,"turquoise"
"3","TRIDC7AG036210",0.091930410013003,0.545488085035914,0.0552177330503058,"grey"
"4","TRIDC5AG047770",0.776937564147903,1.01766437762541e-11,1.50797142844935e-11,"turquoise"
"5","TRIDC2AG035670",-0.694825274772732,1.89633697521418e-08,7.43301057418809e-09,"turquoise"
"6","TRIDC4BG021940",0.806584935307625,2.37436867224713e-13,7.84937258370546e-13,"turquoise"
"7","TRIDC4BG013910",0.309651729676046,0.0357789637117602,0.00436700923336317,"grey"
"8","TRIDC3BG083350",0.732631943238601,8.94533790945548e-10,5.43762231991086e-10,"turquoise"
"9","TRIDC2AG028560",0.7703466725812,2.1372712839614e-11,2.68715062430319e-11,"turquoise"
"10","TRIDC4AG070460",0.335151955815041,0.02225072641738,0.00279460378251017,"grey"
"11","TRIDC2AG037440",0.755261916626969,1.04922696720316e-10,9.58975510995152e-11,"turquoise"
"12","TRIDC2AG042920",-0.531628566625687,0.000102452400372046,1.78357933103743e-05,"blue"
"13","TRIDC5AG059960",-0.643477962473263,5.43019750427798e-07,1.44281125466398e-07,"turquoise"
"14","TRIDC4BG022240",0.478936722099645,0.000625329124102956,9.71596604492805e-05,"turquoise"
"15","TRIDC1BG070890",0.168491565593847,0.264631748506819,0.0282996800771484,"grey"
"16","TRIDC3AG075260",0.440745258435819,0.00191772226328086,0.000278177551436105,"grey"
"17","TRIDC5AG068830",-0.509127527485577,0.000231104600895685,3.82426097074367e-05,"blue"
"18","TRIDC7AG029070",-0.131829332251473,0.384560891617251,0.0400287581984294,"grey"
"19","TRIDC3BG025030",0.395196018381859,0.00613206143170396,0.00082974124129731,"turquoise"
"20","TRIDC1AG057700",0.36975269984443,0.0109220818823875,0.00143035150465606,"grey"
"21","TRIDC3BG038850",-0.439898507446355,0.00196283231794008,0.000284462286756217,"turquoise"
"22","TRIDC2BG038790",0.315120129848621,0.0324221392053202,0.00398116098323829,"grey"
"23","TRIDC3BG012770",-0.672189566454655,9.16626810866763e-08,2.97496659645654e-08,"turquoise"
"24","TRIDC2BG054610",0.627266868805526,1.3506089052323e-06,3.31176384665688e-07,"turquoise"
"25","TRIDC7BG023490",0.749017652299862,1.94789102390844e-10,1.59976336792415e-10,"turquoise"
"26","TRIDC2BG039350",0.459679995071381,0.00112031662783372,0.000168274522344223,"grey"
"27","TRIDC5BG065490",0.576729217642441,1.61909087843661e-05,3.20266973414664e-06,"turquoise"
"28","TRIDC4AG038540",-0.045144109545264,0.767053621672383,0.0753578285907049,"grey"
"29","TRIDC5BG070520",0.642460499228514,5.76047484292193e-07,1.5212723340304e-07,"turquoise"
"30","TRIDC4BG017010",0.859507962924471,2.48236985391372e-17,6.09002251758674e-16,"turquoise"
"31","TRIDC2BG040710",0.776161249956418,1.1123697893828e-11,1.61014409221572e-11,"turquoise"
"32","TRIDC2AG023870",0.0461512878142548,0.762004655665086,0.0749079511073503,"grey"
"33","TRIDC5AG002350",-0.679221533707451,5.71878547981197e-08,1.96047354521741e-08,"turquoise"
"34","TRIDC6BG012730",0.194088579125031,0.1973714985534,0.0215304121995974,"grey"
"35","TRIDC2AG047330",0.50769007864505,0.000242905176310877,4.0091332068695e-05,"turquoise"
"36","TRIDC4AG027150",0.769949047162771,2.23298892620359e-11,2.78537985344457e-11,"turquoise"
"37","TRIDC5AG037770",0.717036069411872,3.38703794887794e-09,1.70383120107668e-09,"turquoise"
"38","TRIDC5BG042550",-0.383006926641202,0.00813432168813487,0.00108426367030747,"turquoise"
"39","TRIDC6AG055520",0.539896590255387,7.47128250271673e-05,1.32945039882976e-05,"turquoise"
"40","TRIDC6AG039020",0.398047089763924,0.00573042519301077,0.00077748417978979,"red"
"41","TRIDC3AG074310",0.607374196641327,3.81240982869657e-06,8.51465655979445e-07,"red"
"42","TRIDC1BG068400",0.136375127721521,0.368185097095903,0.0384664921241557,"brown"
"43","TRIDC3BG041880",0.673151532727616,8.60107093650751e-08,2.80838128366256e-08,"turquoise"
"44","TRIDC7BG025210",0.78784753846713,2.77905660312099e-12,5.32303372286113e-12,"turquoise"
"45","TRIDC2BG048280",0.722801595891774,2.0966894327295e-09,1.12575380518752e-09,"turquoise"
"46","TRIDC5BG052920",-0.157912577341077,0.296374197400556,0.0314098496406063,"grey"
"47","TRIDC3AG021330",0.763981760037109,4.25597486357208e-11,4.60642289639896e-11,"turquoise"
"48","TRIDC2BG038440",0.660926414145758,1.89246343041773e-07,5.64430083825081e-08,"turquoise"
"49","TRIDC7BG054020",0.673628969184531,8.33276785592859e-08,2.73506555903053e-08,"turquoise"
"50","TRIDC5BG075080",-0.501021391401231,0.000305044957664885,4.9662111061141e-05,"brown"
"51","TRIDC5AG057060",0.412049720607737,0.00407022792167406,0.00056407254700864,"turquoise"
"52","TRIDC5AG022620",0.493236917767665,0.000395342103406331,6.32858809161066e-05,"turquoise"
"53","TRIDC6AG010890",-0.161270293119968,0.286046873255933,0.0304029141555726,"grey"
"54","TRIDC5BG035690",0.216670809506216,0.148826923390848,0.0165269544675276,"grey"
"55","TRIDC1BG007360",0.618965380049172,2.10402813478052e-06,4.95719006125232e-07,"red"
"56","TRIDC2BG045140",0.571630818424658,2.02647412927547e-05,3.94181449669561e-06,"turquoise"
"57","TRIDC3BG056640",0.845285871459074,4.38873248674867e-16,5.83208211190686e-15,"turquoise"
"58","TRIDC6AG024880",0.697163535548451,1.59572339366058e-08,6.43393828320124e-09,"turquoise"
"59","TRIDC2AG037250",0.82695640821916,1.09685508169613e-14,7.0909521248569e-14,"turquoise"
"60","TRIDC5BG033070",0.86633089500244,5.43299590433391e-18,1.69979960757477e-16,"turquoise"
"61","TRIDC7AG073560",0.554863424857613,4.11551804639929e-05,7.64006604934531e-06,"blue"
"62","TRIDC3BG061260",-0.688861819944903,2.91956698894091e-08,1.08188032676275e-08,"turquoise"
"63","TRIDC1AG017300",0.739795018435838,4.67210085337129e-10,3.1952990587149e-10,"turquoise"
"64","TRIDC6BG048590",0.267023139755552,0.0727365662088356,0.00849843467762667,"grey"
"65","TRIDC1AG055310",0.553669446681203,4.32125911928799e-05,7.98790807465762e-06,"turquoise"
"66","TRIDC6AG055890",0.471420193592327,0.000788733833053278,0.000120802516518153,"turquoise"
"67","TRIDC7BG015290",0.832541251466016,4.32734859416949e-15,3.47486716765634e-14,"turquoise"
"68","TRIDC4AG038880",0.688778034987081,2.9370654622013e-08,1.08752220702094e-08,"turquoise"
"69","TRIDC1AG038130",0.723720901974128,1.93974285238713e-09,1.05390586462942e-09,"turquoise"
"70","TRIDC5BG070780",0.759031003311227,7.14400610295651e-11,6.93237294852855e-11,"blue"
"71","TRIDC7AG047050",0.810096305094363,1.44353573653251e-13,5.27160990685584e-13,"turquoise"
"72","TRIDC3AG034200",0.725468869654538,1.67126979418016e-09,9.34027838761182e-10,"turquoise"
"73","TRIDC7AG048010",0.590364717927846,8.69064037716074e-06,1.80881558867531e-06,"blue"
"74","TRIDC3AG026770",0.353428853728,0.0154339262335297,0.00198268522018346,"grey"
"75","TRIDC3AG023150",0.781320358745473,6.10741377026978e-12,9.98891907707239e-12,"turquoise"
"76","TRIDC7BG025950",0.662338488171589,1.73150026849924e-07,5.2211901265286e-08,"turquoise"
"77","TRIDC7AG065720",0.706350761812085,7.94370055701805e-09,3.53674270354322e-09,"turquoise"
"78","TRIDC6BG051730",0.817324012225911,4.97586893709482e-14,2.36305646331406e-13,"turquoise"
"79","TRIDC2AG066330",0.692730491730447,2.20980869621241e-08,8.50492662101235e-09,"turquoise"
"80","TRIDC5AG031110",0.802990772586235,3.90177133400031e-13,1.15578301595301e-12,"turquoise"
"81","TRIDC5AG036480",-0.52103980908437,0.000151459009515229,2.57397150324905e-05,"blue"
"82","TRIDC3BG040800",0.788876695658352,2.44706675582317e-12,4.80766139703162e-12,"turquoise"
"83","TRIDC3BG026230",0.824755662669118,1.5649507706788e-14,9.58416257130322e-14,"turquoise"
"84","TRIDC1BG058900",0.670475201142734,1.02601084136635e-07,3.28100866645977e-08,"turquoise"
"85","TRIDC3BG053370",0.631242089562259,1.08635816662023e-06,2.71530188636178e-07,"turquoise"
"86","TRIDC5BG021830",0.836680161412919,2.11318950365012e-15,1.92560037890836e-14,"turquoise"
"87","TRIDC4AG041950",0.64404695625024,5.2532345770888e-07,1.40123970369222e-07,"turquoise"
"88","TRIDC6BG054050",0.770703725620443,2.05463555693584e-11,2.60033930813556e-11,"turquoise"
"89","TRIDC7BG026840",0.706527457171101,7.83539901915392e-09,3.49665958423611e-09,"turquoise"
"90","TRIDC6BG048030",0.268286454577691,0.0713248667650724,0.00834368265721432,"grey"
"91","TRIDC7AG004740",0.700031484414749,1.28780813313511e-08,5.33173106171034e-09,"turquoise"
"92","TRIDC5AG020060",0.778452983114048,8.54326969432778e-12,1.33782689674316e-11,"turquoise"
"93","TRIDC1BG029200",0.715213426093735,3.92999006202607e-09,1.93126788008296e-09,"turquoise"
"94","TRIDC3BG045410",-0.785506286461368,3.70013012707285e-12,6.64924551936482e-12,"turquoise"
"95","TRIDC2AG047030",0.347629426890969,0.0173749085765863,0.00221389714754023,"red"
"96","TRIDC4BG028430",0.65453224563169,2.8109334437895e-07,7.99962944929231e-08,"turquoise"
"97","TRIDC6BG066440",-0.444857257208679,0.00171136169447252,0.000250139814181178,"purple"
"98","TRIDC6AG029410",0.793617765807821,1.34652341904312e-12,3.01014321759371e-12,"turquoise"
"99","TRIDC1AG016470",0.831093266867787,5.52942983489493e-15,4.00796054149674e-14,"turquoise"
