"","GeneName","PearsonCorrelation","p.Standard","q.Standard","moduleColors"
"1","TRIDC5AG047770",-0.0619276684334509,0.657896900048027,0.151893076053068,"turquoise"
"2","TRIDC7AG036210",-0.395240634063285,0.00283497794899389,0.00175027183291162,"turquoise"
"3","TRIDC3AG017120",0.0475081288753589,0.734209371748816,0.166397488781442,"blue"
"4","TRIDC2BG014800",0.549079268461631,1.04954626890376e-05,4.0897399683606e-05,"blue"
"5","TRIDC2AG035670",-0.458997927635292,0.000396441545834665,0.000439232986833442,"blue"
"6","TRIDC2BG038790",-0.31983380225503,0.0179275126326093,0.00726949337598026,"turquoise"
"7","TRIDC3AG075260",-0.0858660811271217,0.538739498257783,0.128650078988753,"turquoise"
"8","TRIDC1BG068400",-0.275841243429662,0.0431479085545372,0.0149504232261962,"blue"
"9","TRIDC4BG013910",-0.246353027324829,0.0724534517902901,0.0232697741352093,"turquoise"
"10","TRIDC2AG028560",0.252578662323833,0.065231407568663,0.021274071888312,"brown"
"11","TRIDC4BG021940",0.534540257667236,2.04682225230815e-05,6.25873864128242e-05,"turquoise"
"12","TRIDC5BG070520",-0.217576851846015,0.114324738034939,0.0343469751023391,"turquoise"
"13","TRIDC1BG070890",-0.277574013500307,0.0417829111421384,0.0145555522359414,"turquoise"
"14","TRIDC4BG017010",0.457351893452509,0.000419403954713237,0.000457236686424029,"blue"
"15","TRIDC3BG083350",0.43631854058009,0.000838191701524757,0.000731239013934691,"blue"
"16","TRIDC7AG029070",-0.376963718956007,0.00463029348985779,0.00251360880363269,"turquoise"
"17","TRIDC2AG047330",-0.122974430202545,0.377408819670241,0.0951682363562459,"turquoise"
"18","TRIDC3BG038850",-0.355048455767913,0.0080263341124463,0.0038226422804277,"turquoise"
"19","TRIDC3BG025030",0.0434141878137096,0.756382771922518,0.17050423492962,"blue"
"20","TRIDC1AG057700",-0.316723582072002,0.0191603341831459,0.00765907071484442,"turquoise"
"21","TRIDC4AG070460",0.025187233250385,0.85722253752354,0.188445265971344,"turquoise"
"22","TRIDC2BG039350",0.106196827494648,0.446497308541245,0.109948988322415,"turquoise"
"23","TRIDC2AG023870",-0.352706508552732,0.00849236252190558,0.00399196269154074,"turquoise"
"24","TRIDC5BG042550",-0.438601502614175,0.000779348792052568,0.000698195248723247,"turquoise"
"25","TRIDC5AG002350",-0.460133775820925,0.000381263070957226,0.000429934604550143,"turquoise"
"26","TRIDC2BG054610",0.457714313907563,0.000414247809958094,0.000453687537501834,"blue"
"27","TRIDC3BG012770",-0.0810322386778219,0.561943251300002,0.133058052523085,"turquoise"
"28","TRIDC6BG012730",0.0857117612053875,0.539473078405375,0.128810824099203,"turquoise"
"29","TRIDC3BG061260",-0.514201571260437,4.92062045555807e-05,0.000108044181054443,"blue"
"30","TRIDC4BG022240",0.296668394948207,0.0289405666617852,0.010699098438178,"blue"
"31","TRIDC7BG023490",0.443610220990017,0.000663004210453938,0.00062618076213021,"blue"
"32","TRIDC7BG054020",-0.010000171766075,0.943065170464947,0.203619805500161,"turquoise"
"33","TRIDC5AG059960",-0.426039126532584,0.00115531493659866,0.000921517100731889,"turquoise"
"34","TRIDC5BG035690",0.334689068782444,0.0129214046132109,0.00558488439624796,"blue"
"35","TRIDC7BG073240",-0.0658605413970782,0.637626333945734,0.148002285232877,"turquoise"
"36","TRIDC3BG041880",0.320642647603552,0.0176180907604676,0.0071617383412805,"blue"
"37","TRIDC3AG074310",0.432728999221665,0.000938763742585904,0.000789879026822538,"blue"
"38","TRIDC5AG068830",-0.397204345274609,0.00268457032230844,0.00168132743725424,"turquoise"
"39","TRIDC3AG026770",-0.387863950331221,0.00346824360676913,0.00203070891420072,"turquoise"
"40","TRIDC2AG042920",-0.345684204491536,0.0100319260095137,0.00456295173186759,"turquoise"
"41","TRIDC6BG048030",-0.339827518568131,0.0114932215308812,0.00507883355639367,"turquoise"
"42","TRIDC6AG039020",-0.0180348639445681,0.897509055647647,0.195827036991636,"turquoise"
"43","TRIDC7AG065720",0.506212717109648,6.82702779464369e-05,0.000130627914630235,"blue"
"44","TRIDC2AG037440",0.642565772292482,5.16410102469324e-08,1.50768749977081e-06,"blue"
"45","TRIDC2BG040710",0.26397589775198,0.0534978592603707,0.0178824722594045,"brown"
"46","TRIDC5BG065490",0.643236905137836,4.93226536293708e-08,1.48056524339232e-06,"blue"
"47","TRIDC5BG052920",-0.261077016707189,0.0563078124623682,0.0187131491931623,"turquoise"
"48","TRIDC4AG038540",0.0913174104982467,0.513138497998959,0.12338279553534,"blue"
"49","TRIDC6BG067850",-0.376826748730118,0.00464682848626036,0.00251937643993811,"turquoise"
"50","TRIDC6AG055520",-0.167913039985055,0.226047457267184,0.061670412885609,"turquoise"
"51","TRIDC2BG045140",0.506941006380075,6.6287766603403e-05,0.000128667988393667,"turquoise"
"52","TRIDC1BG062180",0.535552426886188,1.95605680569026e-05,6.09487531781825e-05,"blue"
"53","TRIDC3AG024350",0.202752376479283,0.142026355635261,0.0413125703385018,"blue"
"54","TRIDC7BG026840",0.139201426281967,0.317023321813722,0.082087697666432,"blue"
"55","TRIDC3BG053370",0.501866355372531,8.12699444208909e-05,0.000146961982006031,"blue"
"56","TRIDC7BG015290",0.55615154589808,7.48469020235364e-06,3.39035579110466e-05,"blue"
"57","TRIDC3BG059300",-0.371134606044216,0.00538109744240801,0.00280592940918372,"turquoise"
"58","TRIDC5BG075080",-0.175274818052033,0.205952994012316,0.0569786194259849,"brown"
"59","TRIDC2BG039580",-0.280528596698052,0.0395366326695386,0.0139117437206908,"turquoise"
"60","TRIDC7AG043680",0.458391665280542,0.000404763870774306,0.000445762364706395,"turquoise"
"61","TRIDC4BG028430",0.182510325288327,0.187452553739669,0.0524777246029689,"blue"
"62","TRIDC2BG039030",0.0912292708634651,0.513547527006482,0.123450365404994,"turquoise"
"63","TRIDC4BG015120",-0.508156999841804,6.3094426652545e-05,0.000124950555801725,"turquoise"
"64","TRIDC4AG027150",0.434075531415463,0.000899839559206567,0.000768043828997837,"blue"
"65","TRIDC2AG019600",-0.472488837711895,0.000246876549957869,0.000315043196691358,"turquoise"
"66","TRIDC7AG052730",-0.209581154630512,0.128707367129976,0.0380037098024069,"turquoise"
"67","TRIDC6AG024880",0.299968099280467,0.0270939381809322,0.0101422635858384,"blue"
"68","TRIDC2BG032790",0.390208006029129,0.00325476461774302,0.00193657120121858,"blue"
"69","TRIDC3AG022070",-0.280288735523054,0.039715234354045,0.0139630618605143,"turquoise"
"70","TRIDC7AG073560",0.611204219970511,3.84605706712131e-07,5.55997919661299e-06,"turquoise"
"71","TRIDC7BG025210",0.479821680793135,0.000189062143076639,0.000259963480457987,"blue"
"72","TRIDC5AG077090",-0.325421446952649,0.0158804343235267,0.00658474136649989,"blue"
"73","TRIDC6AG010890",-0.115776722507136,0.406236120577766,0.101358093622479,"blue"
"74","TRIDC3BG026230",0.50307205981462,7.74545684762927e-05,0.0001411771375657,"blue"
"75","TRIDC5AG057060",0.476058113829876,0.000216991998535414,0.000288322689411818,"blue"
"76","TRIDC3BG040330",-0.308996996936913,0.0225348161685107,0.00869597817056812,"turquoise"
"77","TRIDC4AG038880",0.532312856282428,2.2603465035887e-05,6.66309779281473e-05,"blue"
"78","TRIDC6AG038200",-0.520772532199985,3.73231509896707e-05,8.88287273222597e-05,"turquoise"
"79","TRIDC1AG037640",-0.429791542371029,0.00102893521780281,0.000844269118118859,"turquoise"
"80","TRIDC2BG048280",0.472742025042261,0.000244640065285861,0.00031277457932218,"blue"
"81","TRIDC7AG047050",0.545508562827958,1.24075103767844e-05,4.53581733878959e-05,"blue"
"82","TRIDC2BG038440",0.527570977633009,2.78463535056403e-05,7.54949818677381e-05,"blue"
"83","TRIDC4AG012650",-0.416552125892812,0.00153852847986535,0.00113304322335048,"turquoise"
"84","TRIDC4BG052850",-0.302268849864142,0.0258651300525226,0.00976021631224848,"turquoise"
"85","TRIDC3BG035000",0.587955765955593,1.45622599375418e-06,1.24144714714297e-05,"turquoise"
"86","TRIDC4BG060740",-0.00484532263278286,0.972396472279045,0.208579324335724,"turquoise"
"87","TRIDC2AG066330",0.0383699943347095,0.783968458166838,0.175325527284064,"brown"
"88","TRIDC1AG044300",-0.249176025372593,0.0691043325669682,0.0223694300605397,"brown"
"89","TRIDC2BG082450",-0.168925560493142,0.223206762177352,0.0610131028431298,"turquoise"
"90","TRIDC1BG029200",0.4031060910319,0.00227394202838244,0.00148611356856186,"blue"
"91","TRIDC1AG016470",0.608858086535935,4.42416516807749e-07,5.88492332088755e-06,"blue"
"92","TRIDC3BG027260",-0.110760521802253,0.427051683528736,0.105757260178533,"turquoise"
"93","TRIDC3BG060830",-0.442904709760534,0.0006783890378744,0.000636370382742022,"turquoise"
"94","TRIDC5AG036480",-0.334703691355095,0.0129171353971404,0.0055841716196686,"turquoise"
"95","TRIDC5BG033070",0.467307813909537,0.000296895900926813,0.000359702853512285,"turquoise"
"96","TRIDC3BG057790",0.530783004979934,2.41864892143742e-05,6.90992717088389e-05,"blue"
"97","TRIDC3BG063600",-0.309201476967025,0.0224395033749648,0.0086722208127344,"turquoise"
"98","TRIDC4AG016540",-0.512444624796434,5.29227887017564e-05,0.000112828993734035,"turquoise"
"99","TRIDC3BG018680",0.013599407640608,0.922626981306857,0.200241517425506,"turquoise"
"100","TRIDC5BG070780",0.183779152792043,0.184333961967441,0.0516997422191705,"turquoise"
"101","TRIDC5AG037770",0.570111365802389,3.73846887304656e-06,2.22561585680973e-05,"blue"
"102","TRIDC5AG067120",0.500958991184747,8.42533585745547e-05,0.000151150728937509,"blue"
"103","TRIDC6BG026340",0.374844985583777,0.00489189069851168,0.00261236875979614,"blue"
"104","TRIDC5AG013480",-0.428868695315528,0.00105881620880429,0.000861637411021847,"turquoise"
"105","TRIDC6BG048590",0.366114201533109,0.00611040367497855,0.00310291870569632,"blue"
"106","TRIDC6BG066440",-0.236972254254767,0.0845075783618355,0.0265295151306902,"turquoise"
"107","TRIDC2AG026670",-0.395924044126222,0.00278181328625762,0.00172518881854607,"turquoise"
"108","TRIDC7AG004740",0.566493304730576,4.49117889789742e-06,2.47977635464872e-05,"blue"
"109","TRIDC4BG033910",0.498238917572712,9.38049665046233e-05,0.000163336738515099,"blue"
"110","TRIDC1BG014180",0.442084215212985,0.000696682861587482,0.000647941837765303,"blue"
"111","TRIDC3BG087220",0.026535667684474,0.849664067728576,0.18726656430718,"blue"
"112","TRIDC2AG037250",0.522906314916966,3.40710933613015e-05,8.42765509060398e-05,"blue"
"113","TRIDC5BG071900",0.500190427964155,8.68580969143664e-05,0.00015440882762609,"blue"
"114","TRIDC1BG007360",0.267831705035535,0.0499360513601189,0.0169011942779384,"blue"
"115","TRIDC1AG017300",0.523248329145803,3.35746707136638e-05,8.38884548818753e-05,"turquoise"
"116","TRIDC1AG012280",-0.151566667564412,0.275357753064444,0.0729384861802373,"turquoise"
"117","TRIDC1BG062150",-0.270751712647623,0.047368002886172,0.0161423463813756,"turquoise"
"118","TRIDC2AG053510",-0.367299022587558,0.00593097596693892,0.00302985140038207,"turquoise"
"119","TRIDC4AG012450",-0.209722799340918,0.128441346064655,0.0379409304701234,"turquoise"
"120","TRIDC3BG040800",0.416073653638691,0.00156054199636181,0.00114254343624897,"blue"
"121","TRIDC3BG034150",0.426682109091145,0.00113272465584916,0.000907915605660716,"blue"
