	A	gs	WUE	Ci	Tr	VPD	Tleaf	AL	AW	AW/AL	GCV	SCV	SA	SI	SD	DW
ES19C	7.578823713	0.097079	78.0688025	292.4593	1.380374	0.961043	22.48533	10.59576	1.218049	0.114956266	498.6498	3071.789	10.13647033	11.6215	83.4	1.6
ES19T	4.333362055	0.048471932	89.39940861	254.5627809	0.551664419	1.151369628	23.23055267	11.15628607	0.974909703	0.087386582	585.823986	3309.370692	8.542282231	11.09755918	80.4	0.5295
ES1C	7.40807938	0.165032	44.8888205	338.7553	1.734018	1.30524	23.21603	9.39776	1.133568	0.120621084	496.0384	2647.672	8.366846641	14.49639	127.84	2.5075
ES1T	6.053769904	0.092834571	65.21029654	297.3063155	1.147220815	1.284157596	22.61520052	8.218599386	0.804148869	0.097845001	389.6889043	1907.084356	5.190678713	12.69362464	102.472	1.07
ES21C	7.667045625	0.115181	66.56499186	308.3113	1.498247	1.36107	23.8178	9.446217	1.166909	0.123531886	575.1997	2948.689	8.657346278	12.11384	73.8	1.47625
ES21T	3.37865004	0.048471932	69.70322619	224.3209931	0.352108997	1.400766483	23.57962799	9.159157984	0.977953282	0.106773274	466.4669387	2398.915201	7.0349909	13.50902939	88.7	1.03
ES23C	6.0024171	0.126143	47.5841908	340.8434	1.345581	1.109681	21.77271	9.188998	1.206205	0.131266216	549.8487	2993.6	8.705208206	12.50318	80.1	1.64
ES23T	5.726830192	0.047351185	120.9437566	221.1324218	0.543334996	1.166112163	21.64760462	9.373933971	0.953490426	0.101717212	444.6656578	2251.911067	7.019854459	13.47077708	106.87	1.16
ES6C	9.285302155	0.185496	50.05665169	332.8361	1.551622	0.902518	22.37354	9.363124	1.002862	0.107107628	538.6585	2609.226	7.374826913	13.71517	96.6	3.21
ES6T	5.873532484	0.072198187	81.35290827	259.8916242	0.618581039	0.916969125	21.9680481	9.948226789	0.829551142	0.083386835	522.5097196	2744.982432	6.48154774	12.94820462	89.5	1.0275
ES9C	10.44874526	0.160483	65.10808477	305.6271	1.804749	1.190767	23.11082	11.64043	1.09733	0.094268854	591.31	3353.676	10.03219944	13.98953	84.1	1.505
ES9T	4.750764862	0.054773388	86.7349097	259.2865432	0.72255307	1.350577711	23.17871366	10.62475213	0.832034575	0.078310963	586.7082952	3200.006462	6.94304631	13.05006857	116.258	0.54
WS10C	9.3538846	0.21018971	44.5021061	204.252923	2.29031236	1.28356552	17.9798504	30.4953372	1.59642452	0.05234979	7004.17753	2983.22421	38.2359348	14.0318627	117.16	1.8216
WS10T	2.38418009	0.03276479	72.7665216	234.996068	0.49129813	1.51741575	18.3990682	31.9275875	1.21146417	0.03794412	7062.34756	3389.51643	30.3785163	16.0026732	28.7	0.744
WS1C	9.005555679	0.196291328	45.87852031	158.0297464	2.64233059	1.478006031	19.81663677	31.23536964	1.439191905	0.046075712	5719.507316	2963.983484	35.30654646	15.61360223	30.6	2.016
WS1T	3.753553534	0.065490885	57.31413668	170.1847064	0.890363965	1.422800165	16.95147991	32.67640143	1.324391854	0.04053053	6539.319953	3148.626047	33.98917356	14.14814855	30.3	0.9774
WS3C	9.810608456	0.157961966	62.10740917	304.1472395	2.173928377	1.502287905	17.75865691	30.48666884	1.452680338	0.047649691	5944.009012	2851.235631	34.78323037	16.76548334	120.1	1.3782
WS3T	4.416898612	0.045629376	96.79945244	257.7776464	0.720507692	1.632209033	17.05603218	33.69632974	1.286102199	0.038167427	5920.695351	3806.751655	34.03674034	16.82822741	132.233	1.0134
WS4C	12.51324081	0.300285346	41.67116703	352.7984956	2.055890241	0.790314716	14.89316218	34.90423508	2.738225796	0.078449672	7147.876942	3193.75726	75.06496109	14.708403	27.8	2.07
WS4T	8.50677649	0.103328883	82.3271891	269.2662378	0.892718509	0.901792133	14.64925941	35.7098328	1.384647275	0.038774958	6752.218515	3029.60675	38.8344227	16.42975202	38.9	1.359
WS6C	10.7949169	0.182521267	59.14333753	293.8889512	2.226581303	1.288918972	19.02563477	37.34945089	3.158308965	0.084561055	6885.236224	1805.138417	92.64643568	14.74163587	32.4	2.133
WS6T	6.504435679	0.066994023	97.08979082	243.7383792	0.674524213	1.041333587	15.65293789	32.65756315	1.207249111	0.036966907	6480.238975	3204.347822	30.96496197	15.07545072	32.4	1.1592
WS8C	10.83595591	0.198185534	54.6758166	309.5493661	2.002159639	1.118093468	18.68391582	33.13782989	2.610963903	0.078791035	6862.154091	3122.724936	67.95396673	14.32578732	31.3	1.9089
WS8T	4.852004059	0.038556448	125.8415728	245.3748326	0.520548085	1.379421297	19.79484336	32.02717038	1.2307926	0.038429639	6225.192464	3557.952369	30.9594565	14.72477615	33.1	1.1151
WS9C	7.614365508	0.179215425	42.48722169	203.5830908	2.082016975	1.525508828	19.65536993	34.75512017	2.182784826	0.062804698	6411.247591	2544.72565	59.58262076	14.19822324	31.7	2.4966
WS9T	4.833063065	0.091460493	52.84317749	203.4867346	1.045929642	1.630195594	20.110677	31.61305902	0.888229669	0.028096922	5241.716461	2936.243287	22.053711	16.38708514	37.3	1.0284
