nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC2AG056930	NA	turquoise
TRIDC4BG007090	NA	blue
TRIDC6AG037400	NA	turquoise
TRIDC5BG043690	NA	turquoise
TRIDC4AG013170	NA	green
TRIDC4BG031520	NA	turquoise
TRIDC3AG034200	NA	blue
TRIDC3BG047130	NA	turquoise
TRIDC5AG073570	NA	blue
TRIDC5AG068340	NA	blue
TRIDC3AG000920	NA	turquoise
TRIDC5AG020060	NA	turquoise
TRIDC6BG062830	NA	blue
TRIDC7BG058240	NA	blue
TRIDC4AG041670	NA	turquoise
TRIDC7AG030690	NA	blue
TRIDC1BG031690	NA	turquoise
TRIDC2BG037330	NA	turquoise
TRIDC3BG055130	NA	blue
TRIDC2AG045510	NA	turquoise
TRIDC2BG069320	NA	blue
TRIDC3AG054000	NA	turquoise
TRIDC6AG055890	NA	blue
TRIDC7AG048010	NA	turquoise
TRIDC3BG034720	NA	blue
TRIDC1BG054490	NA	turquoise
TRIDC3AG035990	NA	blue
TRIDC1BG032020	NA	turquoise
TRIDC2AG046080	NA	turquoise
TRIDC7BG025950	NA	blue
TRIDC6AG047230	NA	blue
TRIDC5AG034350	NA	blue
TRIDC3BG030830	NA	yellow
TRIDC5BG076900	NA	blue
TRIDC5AG003030	NA	turquoise
TRIDC5AG069060	NA	blue
TRIDC4BG029570	NA	blue
TRIDC1AG030250	NA	turquoise
TRIDC1BG041580	NA	blue
TRIDC1BG074390	NA	turquoise
TRIDC7AG047300	NA	blue
TRIDC4BG043350	NA	turquoise
TRIDC2AG081760	NA	turquoise
TRIDC4AG003810	NA	blue
TRIDC1AG021400	NA	turquoise
TRIDC2AG069660	NA	turquoise
TRIDC4BG049360	NA	turquoise
TRIDC1BG059370	NA	blue
TRIDC3AG042430	NA	yellow
TRIDC1AG040300	NA	turquoise
TRIDC5BG060040	NA	turquoise
TRIDC1BG035830	NA	turquoise
TRIDC2AG075890	NA	blue
TRIDC2BG033060	NA	blue
TRIDC1AG017270	NA	blue
TRIDC1AG024190	NA	blue
TRIDC3BG067930	NA	blue
TRIDC1BG035430	NA	blue
TRIDC6AG000070	NA	turquoise
TRIDC5AG034280	NA	blue
TRIDC7AG035610	NA	turquoise
TRIDC1AG000840	NA	brown
TRIDC3BG056640	NA	blue
TRIDC7AG030920	NA	blue
TRIDC1BG058900	NA	blue
TRIDC3BG059550	NA	turquoise
TRIDC6BG054050	NA	blue
TRIDC6BG038490	NA	blue
TRIDC2BG083740	NA	turquoise
TRIDC4AG014630	NA	brown
