"y","MEpink","MEgreen","MEblue","MEred","MEturquoise","MEyellow","MEbrown","MEblack","MEgrey"
"ES21T","466.46693870"," -0.05845301"," -0.04857652"," -0.08366353"," -0.05795011","  0.16173568"," -0.03135512"," -0.03173752"," -0.04645496"," -0.07587126"
"ES23C","549.84870000"," -0.05518669"," -0.08508263"," -0.09396665"," -0.06710099","  0.13161310"," -0.05353297"," -0.03760574"," -0.06765906"," -0.05418159"
"ES23T","444.66565780"," -0.05056190","  0.00472272"," -0.07828487"," -0.05603954","  0.15768763"," -0.01841818"," -0.02763127"," -0.01819435"," -0.09755523"
"ES6C","538.65850000"," -0.03745042"," -0.06276908"," -0.05440719"," -0.05341057","  0.23359765"," -0.02277792"," -0.02161469"," -0.04805559"," -0.02389705"
"ES6T","522.509719600"," -0.049442685"," -0.068341420"," -0.063044982"," -0.064203597","  0.197583211"," -0.031413534"," -0.022647092"," -0.063626432","  0.004597645"
"ES9C","591.31000000"," -0.04480710"," -0.08447030"," -0.07758527"," -0.05957709","  0.16838655"," -0.02716713"," -0.02702337"," -0.06321087"," -0.02635336"
"ES9T","586.70829520"," -0.03564598"," -0.02644791"," -0.08212527"," -0.05766246","  0.16364990"," -0.02062268"," -0.03431825"," -0.03060818"," -0.09389535"
"WS10C","7004.17753000","  -0.04259617","  -0.05121414","  -0.14058390","  -0.06352562","  -0.10172191","   0.20666285","   0.18740561","   0.07324878","   0.07187766"
"WS10T"," 7.062348e+03"," 2.523829e-02"," 9.240029e-03","-1.338845e-01","-1.559277e-02","-1.042480e-01"," 9.483007e-01"," 1.410124e-01"," 1.847123e-01"," 1.075876e-01"
"WS1C","5719.50731600","  -0.05871196","  -0.08861885","  -0.16507886","  -0.08626042","  -0.12646593","  -0.02256028","   0.19802385","  -0.02393479","   0.04905483"
"WS1T"," 6.539320e+03","-5.952435e-02","-6.076172e-02","-1.472522e-01","-8.530042e-02","-1.076777e-01"," 9.854248e-03"," 1.925395e-01"," 1.858567e-01"," 9.833742e-02"
"WS3C","5944.00901200","  -0.06084676","  -0.08530050","  -0.16143158","  -0.09037981","  -0.12049811","  -0.01370022","   0.24395716","  -0.02683273","   0.01697308"
"WS3T"," 5.920695e+03","-7.288950e-02","-8.734890e-02","-1.626942e-01","-1.039474e-01","-1.222559e-01","-4.622448e-03"," 2.004112e-01","-1.444184e-02"," 1.273674e-02"
"WS4C","7147.87694200","  -0.08055765","  -0.10510862","  -0.15224547","  -0.10483017","  -0.11255800","  -0.05902684","   0.27553747","  -0.06980771","   0.06082233"
"WS4T"," 6.752219e+03","-5.773685e-02","-3.333583e-02","-1.509621e-01","-9.817623e-02","-1.105267e-01"," 3.861603e-03"," 2.202459e-01"," 3.562471e-01"," 9.132327e-02"
"WS6C"," 6.885236e+03","-6.857063e-02","-7.894052e-02","-1.535983e-01","-9.166891e-02","-1.133787e-01","-8.111592e-03"," 3.145252e-01"," 4.725270e-03"," 3.786365e-02"
"WS6T"," 6.480239e+03","-5.782494e-02","-4.823120e-02","-1.685556e-01","-9.873545e-02","-1.294939e-01","-2.543959e-02"," 1.969455e-01"," 1.884647e-01","-8.555411e-03"
"WS8C","6862.15409100","  -0.06711051","  -0.09101287","  -0.16056211","  -0.09317019","  -0.12236902","  -0.02462838","   0.26404804","  -0.03334823","   0.03043552"
"WS8T","6225.19246400","  -0.04061315","   0.01247826","  -0.14799672","  -0.08225719","  -0.10727280","   0.03795781","   0.22345544","   0.70460542","   0.08417208"
"WS9C","6411.24759100","  -0.06312393","  -0.08681530","  -0.15917507","  -0.09170263","  -0.12020999","   0.02127524","   0.19455428","  -0.02361981","   0.10451642"
"WS9T","5241.71646100","  -0.04918734","  -0.02584450","  -0.15569385","  -0.07599745","  -0.11864755","   0.02496324","   0.18860327","   0.37951504","   0.06722205"
