"kTotal"	"kWithin"	"kOut"	"kDiff"
"TRIDC5AG047770"	236.903709991036	200.510384115728	36.3933258753079	164.11705824042
"TRIDC7AG036210"	539.946243490299	505.39336726484	34.5528762254592	470.840491039381
"TRIDC3AG017120"	106.041933560841	52.9314922302393	53.1104413306021	-0.1789491003628
"TRIDC2BG014800"	984.114119760632	673.422184335598	310.691935425034	362.730248910564
"TRIDC2AG035670"	1097.5215107701	697.021468884943	400.500041885152	296.521426999791
"TRIDC2BG038790"	1166.2590452205	1149.23513026562	17.0239149548825	1132.21121531073
"TRIDC3AG075260"	724.486824479271	685.099853764981	39.3869707142899	645.712883050691
"TRIDC1BG068400"	567.179692156171	516.386502423544	50.7931897326273	465.593312690917
"TRIDC4BG013910"	403.787427413216	396.459897501537	7.3275299116799	389.132367589857
"TRIDC2AG028560"	305.526890252654	38.12046313384	267.406427118814	-229.285963984974
"TRIDC4BG021940"	870.320848721469	813.865775157692	56.4550735637771	757.410701593915
"TRIDC5BG070520"	298.940299021291	290.357766561938	8.58253245935356	281.775234102584
"TRIDC1BG070890"	546.408099288733	525.306824679966	21.101274608767	504.205550071199
"TRIDC4BG017010"	664.127414514001	467.174946614521	196.952467899481	270.22247871504
"TRIDC3BG083350"	770.054533635589	637.487340339442	132.567193296147	504.920147043294
"TRIDC7AG029070"	746.643802823243	682.005126332716	64.6386764905277	617.366449842188
"TRIDC2AG047330"	214.729097650515	192.608872771049	22.1202248794663	170.488647891583
"TRIDC3BG038850"	1171.6182615334	1120.92854120099	50.6897203324097	1070.23882086858
"TRIDC3BG025030"	155.673186066565	137.066545954597	18.6066401119682	118.459905842628
"TRIDC1AG057700"	228.79437502721	223.636741967641	5.15763305956847	218.479108908073
"TRIDC4AG070460"	10.4686961661233	4.49473406828703	5.97396209783625	-1.47922802954921
"TRIDC2BG039350"	112.295740999936	96.9387200483628	15.3570209515732	81.5816990967896
"TRIDC2AG023870"	632.469920344998	605.831785559621	26.6381347853763	579.193650774245
"TRIDC5BG042550"	1288.29402770128	1125.51582184115	162.778205860126	962.737615981029
"TRIDC5AG002350"	941.546033696797	891.154858871392	50.3911748254048	840.763684045987
"TRIDC2BG054610"	686.579711829083	487.881651170607	198.698060658476	289.18359051213
"TRIDC3BG012770"	90.7076842632339	85.4122934920742	5.29539077115977	80.1169027209144
"TRIDC6BG012730"	224.648281563981	126.435154863999	98.2131266999813	28.222028164018
"TRIDC3BG061260"	884.481887320473	593.177403463128	291.304483857344	301.872919605784
"TRIDC4BG022240"	19.8652241617406	13.7381864698023	6.12703769193836	7.61114877786391
"TRIDC7BG023490"	514.889753002585	434.430277988873	80.4594750137118	353.970802975162
"TRIDC7BG054020"	393.94852885439	386.604995737305	7.34353311708429	379.261462620221
"TRIDC5AG059960"	999.570613145948	905.919979244158	93.6506339017897	812.269345342368
"TRIDC5BG035690"	163.6739622465	150.970944690155	12.7030175563451	138.26792713381
"TRIDC7BG073240"	454.838093495994	382.100470342486	72.737623153508	309.362847188978
"TRIDC3BG041880"	274.238441378228	237.502679432536	36.7357619456912	200.766917486845
"TRIDC3AG074310"	937.916799526177	831.043879521871	106.872920004306	724.170959517565
"TRIDC5AG068830"	1224.62763750682	1167.97348313708	56.6541543697401	1111.31932876734
"TRIDC3AG026770"	664.783797657251	616.047189806036	48.7366078512147	567.310581954821
"TRIDC2AG042920"	1387.6146831943	1358.54425122791	29.0704319663832	1329.47381926153
"TRIDC6BG048030"	594.978748659669	483.630351640657	111.348397019012	372.281954621645
"TRIDC6AG039020"	79.4791987112354	63.5107500678688	15.9684486433665	47.5423014245023
"TRIDC7AG065720"	1147.05040738981	690.302567807251	456.74783958256	233.554728224691
"TRIDC2AG037440"	902.58479331363	604.609335123665	297.975458189966	306.633876933699
"TRIDC2BG040710"	321.39715376444	33.7993591296432	287.597794634797	-253.798435505153
"TRIDC5BG065490"	366.337978157333	298.132338144888	68.2056400124447	229.926698132443
"TRIDC5BG052920"	543.391409557627	534.890397790024	8.50101176760313	526.389386022421
"TRIDC4AG038540"	42.6562422590278	34.2928246067714	8.36341765225644	25.9294069545149
"TRIDC6BG067850"	318.699808396809	265.650265846071	53.0495425507381	212.600723295333
"TRIDC6AG055520"	241.658359294685	180.837670187959	60.8206891067259	120.016981081233
"TRIDC2BG045140"	581.42134348731	340.727361813274	240.693981674036	100.033380139238
"TRIDC1BG062180"	1046.71796740596	967.677804397339	79.0401630086199	888.637641388719
"TRIDC3AG024350"	183.270839302918	170.410928234655	12.8599110682625	157.551017166393
"TRIDC7BG026840"	537.369365395891	471.972585685527	65.3967797103641	406.575805975163
"TRIDC3BG053370"	1003.64614442599	904.182091211979	99.4640532140137	804.718037997966
"TRIDC7BG015290"	514.227496511676	468.281304851228	45.946191660448	422.33511319078
"TRIDC3BG059300"	1037.68548753722	996.250105885583	41.4353816516335	954.814724233949
"TRIDC5BG075080"	362.458574022888	43.6299645626668	318.828609460221	-275.198644897554
"TRIDC2BG039580"	393.546266392506	352.075812423962	41.4704539685439	310.605358455418
"TRIDC7AG043680"	1005.02881733145	525.515849754752	479.512967576699	46.0028821780531
"TRIDC4BG028430"	429.24068104765	376.400583981856	52.8400970657946	323.560486916061
"TRIDC2BG039030"	269.238737454491	179.750550034275	89.4881874202154	90.2623626140598
"TRIDC4BG015120"	166.379412733024	143.487085806874	22.8923269261491	120.594758880725
"TRIDC4AG027150"	1101.45108061745	896.134324975305	205.316755642142	690.817569333163
"TRIDC2AG019600"	556.008748590748	410.742569533569	145.266179057179	265.47639047639
"TRIDC7AG052730"	881.030178531058	863.918193512959	17.1119850180989	846.80620849486
"TRIDC6AG024880"	429.897174556069	366.694570492581	63.2026040634882	303.491966429093
"TRIDC2BG032790"	799.642510279344	717.012482112888	82.6300281664568	634.382453946431
