genotype	aw	slope	species	treat	group	color
WT6	1.685673	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WS10	1.699082	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS1	1.70815	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS4	1.70815	ES	T.dicoccoides	drought	Td(EST)	EST
WS8	1.70815	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	1.70815	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	1.70815	AS	T.dicoccoides	drought	Td(AST)	AST
WT7	1.70815	AS	T.dicoccoides	drought	Td(AST)	AST
144C	1.708463	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
146T	1.708463	AS	H.spontaneum	drought	Hs(AST)	AST
35C	1.710832	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
35C	1.710832	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
123C	1.710832	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
181C	1.710832	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	1.710832	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	1.710832	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
121T	1.710832	ES	H.spontaneum	drought	Hs(EST)	EST
150T	1.710832	AS	H.spontaneum	drought	Hs(AST)	AST
150T	1.710832	AS	H.spontaneum	drought	Hs(AST)	AST
WS4	1.730335	ES	T.dicoccoides	drought	Td(EST)	EST
WT6	1.730335	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
143T	1.730651	AS	H.spontaneum	drought	Hs(AST)	AST
147C	1.733052	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
121T	1.733052	ES	H.spontaneum	drought	Hs(EST)	EST
WS6	1.746788	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	1.746788	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	1.746788	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
126C	1.747115	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
35C	1.749531	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121T	1.749531	ES	H.spontaneum	drought	Hs(EST)	EST
123T	1.749531	ES	H.spontaneum	drought	Hs(EST)	EST
150T	1.749531	AS	H.spontaneum	drought	Hs(AST)	AST
181T	1.749531	AS	H.spontaneum	drought	Hs(AST)	AST
WT6	1.757672	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WS6	1.768488	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
145C	1.768812	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
143T	1.768812	AS	H.spontaneum	drought	Hs(AST)	AST
WS10	1.79099	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS1	1.795245	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS1	1.795245	ES	T.dicoccoides	drought	Td(EST)	EST
WS4	1.795245	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	1.795245	ES	T.dicoccoides	drought	Td(EST)	EST
WS8	1.795245	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS8	1.795245	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	1.795245	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	1.795245	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WT7	1.795245	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
143C	1.795573	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
143C	1.795573	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
146C	1.795573	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114C	1.798064	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	1.798064	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	1.798064	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	1.798064	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121C	1.798064	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
181C	1.798064	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	1.798064	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
119T	1.798064	ES	H.spontaneum	drought	Hs(EST)	EST
120T	1.798064	ES	H.spontaneum	drought	Hs(EST)	EST
121T	1.798064	ES	H.spontaneum	drought	Hs(EST)	EST
122T	1.798064	ES	H.spontaneum	drought	Hs(EST)	EST
122T	1.798064	ES	H.spontaneum	drought	Hs(EST)	EST
WS1	1.800548	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	1.800548	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	1.800548	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS10	1.800548	ES	T.dicoccoides	drought	Td(EST)	EST
WT6	1.800548	AS	T.dicoccoides	drought	Td(AST)	AST
WT7	1.800548	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
141C	1.800878	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
144C	1.800878	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
145T	1.800878	AS	H.spontaneum	drought	Hs(AST)	AST
114C	1.803375	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	1.803375	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	1.803375	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	1.803375	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
149C	1.803375	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
35T	1.803375	ES	H.spontaneum	drought	Hs(EST)	EST
35T	1.803375	ES	H.spontaneum	drought	Hs(EST)	EST
114T	1.803375	ES	H.spontaneum	drought	Hs(EST)	EST
121T	1.803375	ES	H.spontaneum	drought	Hs(EST)	EST
181T	1.803375	AS	H.spontaneum	drought	Hs(AST)	AST
WS10	1.806723	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	1.816366	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WT6	1.816366	AS	T.dicoccoides	drought	Td(AST)	AST
143C	1.816698	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
115C	1.819218	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121C	1.819218	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
148C	1.819218	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149C	1.819218	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
35T	1.819218	ES	H.spontaneum	drought	Hs(EST)	EST
115T	1.819218	ES	H.spontaneum	drought	Hs(EST)	EST
121T	1.819218	ES	H.spontaneum	drought	Hs(EST)	EST
121T	1.819218	ES	H.spontaneum	drought	Hs(EST)	EST
121T	1.819218	ES	H.spontaneum	drought	Hs(EST)	EST
149T	1.819218	AS	H.spontaneum	drought	Hs(AST)	AST
WS1	1.842427	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS4	1.842427	ES	T.dicoccoides	drought	Td(EST)	EST
WS8	1.842427	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
124C	1.842764	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
146C	1.842764	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114C	1.84532	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
115C	1.84532	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
149C	1.84532	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114T	1.84532	ES	H.spontaneum	drought	Hs(EST)	EST
121T	1.84532	ES	H.spontaneum	drought	Hs(EST)	EST
149T	1.84532	AS	H.spontaneum	drought	Hs(AST)	AST
WS8	1.852749	ES	T.dicoccoides	drought	Td(EST)	EST
146T	1.853088	AS	H.spontaneum	drought	Hs(AST)	AST
146T	1.853088	AS	H.spontaneum	drought	Hs(AST)	AST
121C	1.855658	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS8	1.857888	ES	T.dicoccoides	drought	Td(EST)	EST
WS4	1.878305	ES	T.dicoccoides	drought	Td(EST)	EST
WS8	1.878305	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	1.878305	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
141C	1.878649	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
142C	1.878649	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
145T	1.878649	AS	H.spontaneum	drought	Hs(AST)	AST
114T	1.881255	ES	H.spontaneum	drought	Hs(EST)	EST
123T	1.881255	ES	H.spontaneum	drought	Hs(EST)	EST
149T	1.881255	AS	H.spontaneum	drought	Hs(AST)	AST
WS4	1.918487	ES	T.dicoccoides	drought	Td(EST)	EST
WS1	1.923451	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	1.923451	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
123T	1.926471	ES	H.spontaneum	drought	Hs(EST)	EST
123T	1.926471	ES	H.spontaneum	drought	Hs(EST)	EST
WS10	1.927976	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS8	1.93334	ES	T.dicoccoides	drought	Td(EST)	EST
WT6	1.93334	AS	T.dicoccoides	drought	Td(AST)	AST
144C	1.933694	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
123C	1.936376	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
181C	1.936376	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114T	1.936376	ES	H.spontaneum	drought	Hs(EST)	EST
119T	1.936376	ES	H.spontaneum	drought	Hs(EST)	EST
119T	1.936376	ES	H.spontaneum	drought	Hs(EST)	EST
120T	1.936376	ES	H.spontaneum	drought	Hs(EST)	EST
122T	1.936376	ES	H.spontaneum	drought	Hs(EST)	EST
WS1	1.938266	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS4	1.938266	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	1.938266	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	1.938266	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
145C	1.938621	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
124T	1.938621	ES	H.spontaneum	drought	Hs(EST)	EST
126T	1.938621	ES	H.spontaneum	drought	Hs(EST)	EST
144T	1.938621	AS	H.spontaneum	drought	Hs(AST)	AST
145T	1.938621	AS	H.spontaneum	drought	Hs(AST)	AST
35C	1.94131	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114C	1.94131	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	1.94131	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	1.94131	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
122C	1.94131	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	1.94131	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
119T	1.94131	ES	H.spontaneum	drought	Hs(EST)	EST
122T	1.94131	ES	H.spontaneum	drought	Hs(EST)	EST
150T	1.94131	AS	H.spontaneum	drought	Hs(AST)	AST
WS4	1.952969	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	1.952969	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	1.952969	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WT6	1.952969	AS	T.dicoccoides	drought	Td(AST)	AST
WT7	1.952969	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WT7	1.952969	AS	T.dicoccoides	drought	Td(AST)	AST
124C	1.953326	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
124C	1.953326	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
145C	1.953326	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
141T	1.953326	AS	H.spontaneum	drought	Hs(AST)	AST
114C	1.956035	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114C	1.956035	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	1.956035	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	1.956035	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
122C	1.956035	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	1.956035	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
148C	1.956035	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
148C	1.956035	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
119T	1.956035	ES	H.spontaneum	drought	Hs(EST)	EST
120T	1.956035	ES	H.spontaneum	drought	Hs(EST)	EST
150T	1.956035	AS	H.spontaneum	drought	Hs(AST)	AST
WT7	1.962709	AS	T.dicoccoides	drought	Td(AST)	AST
WS10	1.966734	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	1.97723	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	1.97723	ES	T.dicoccoides	drought	Td(EST)	EST
142T	1.977592	AS	H.spontaneum	drought	Hs(AST)	AST
144T	1.977592	AS	H.spontaneum	drought	Hs(AST)	AST
145T	1.977592	AS	H.spontaneum	drought	Hs(AST)	AST
35C	1.980335	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114T	1.980335	ES	H.spontaneum	drought	Hs(EST)	EST
121T	1.980335	ES	H.spontaneum	drought	Hs(EST)	EST
121T	1.980335	ES	H.spontaneum	drought	Hs(EST)	EST
121T	1.980335	ES	H.spontaneum	drought	Hs(EST)	EST
WS4	1.991645	ES	T.dicoccoides	drought	Td(EST)	EST
WS6	1.991645	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	1.991645	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WS10	2.00003	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS1	2.010704	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS4	2.010704	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	2.010704	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	2.010704	ES	T.dicoccoides	drought	Td(EST)	EST
WS8	2.010704	ES	T.dicoccoides	drought	Td(EST)	EST
WS3	2.010704	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
143C	2.011072	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
 118C	2.013862	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	2.013862	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WT6	2.038959	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WS8	2.052941	ES	T.dicoccoides	drought	Td(EST)	EST
145T	2.053316	AS	H.spontaneum	drought	Hs(AST)	AST
35C	2.056164	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121C	2.056164	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
123C	2.056164	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114T	2.056164	ES	H.spontaneum	drought	Hs(EST)	EST
122T	2.056164	ES	H.spontaneum	drought	Hs(EST)	EST
WS10	2.065013	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS4	2.071436	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	2.071436	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	2.071436	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	2.071436	AS	T.dicoccoides	drought	Td(AST)	AST
143C	2.071815	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
144C	2.071815	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
144C	2.071815	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
145T	2.071815	AS	H.spontaneum	drought	Hs(AST)	AST
119C	2.074689	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
181C	2.074689	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	2.074689	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	2.074689	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
119T	2.074689	ES	H.spontaneum	drought	Hs(EST)	EST
119T	2.074689	ES	H.spontaneum	drought	Hs(EST)	EST
148T	2.074689	AS	H.spontaneum	drought	Hs(AST)	AST
WS4	2.076034	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	2.076034	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	2.076034	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
141C	2.076414	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
144C	2.076414	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
144C	2.076414	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
 118C	2.079294	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	2.079294	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	2.079294	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	2.079294	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
148C	2.079294	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	2.079294	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114T	2.079294	ES	H.spontaneum	drought	Hs(EST)	EST
120T	2.079294	ES	H.spontaneum	drought	Hs(EST)	EST
120T	2.079294	ES	H.spontaneum	drought	Hs(EST)	EST
150T	2.079294	AS	H.spontaneum	drought	Hs(AST)	AST
WS1	2.089768	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS8	2.089768	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
144T	2.09015	AS	H.spontaneum	drought	Hs(AST)	AST
126C	2.090158	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114C	2.093049	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114C	2.093049	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	2.093049	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
122C	2.093049	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	2.093049	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
121T	2.093049	ES	H.spontaneum	drought	Hs(EST)	EST
121T	2.093049	ES	H.spontaneum	drought	Hs(EST)	EST
149T	2.093049	AS	H.spontaneum	drought	Hs(AST)	AST
150T	2.093049	AS	H.spontaneum	drought	Hs(AST)	AST
WS10	2.09675	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	2.103412	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS8	2.103412	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	2.103412	AS	T.dicoccoides	drought	Td(AST)	AST
WT7	2.103412	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WS3	2.103412	ES	T.dicoccoides	drought	Td(EST)	EST
124C	2.103797	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
142T	2.103797	AS	H.spontaneum	drought	Hs(AST)	AST
146C	2.108326	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS6	2.112459	ES	T.dicoccoides	drought	Td(EST)	EST
WS8	2.112459	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	2.112459	AS	T.dicoccoides	drought	Td(AST)	AST
WT7	2.112459	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
124C	2.112845	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
141C	2.112845	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
144C	2.112845	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
115C	2.115776	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
115C	2.115776	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	2.115776	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
148C	2.115776	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
148T	2.115776	AS	H.spontaneum	drought	Hs(AST)	AST
WS4	2.143822	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	2.143822	AS	T.dicoccoides	drought	Td(AST)	AST
141C	2.144215	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	2.147189	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	2.147189	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS4	2.157124	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS10	2.16154	ES	T.dicoccoides	drought	Td(EST)	EST
WS4	2.183485	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	2.183485	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	2.183485	ES	T.dicoccoides	drought	Td(EST)	EST
WT7	2.183485	AS	T.dicoccoides	drought	Td(AST)	AST
146C	2.183885	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
146C	2.183885	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
141T	2.183885	AS	H.spontaneum	drought	Hs(AST)	AST
142T	2.183885	AS	H.spontaneum	drought	Hs(AST)	AST
142T	2.183885	AS	H.spontaneum	drought	Hs(AST)	AST
144T	2.183885	AS	H.spontaneum	drought	Hs(AST)	AST
WS10	2.202091	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	2.209532	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
124T	2.209936	ES	H.spontaneum	drought	Hs(EST)	EST
144T	2.209936	AS	H.spontaneum	drought	Hs(AST)	AST
114C	2.213001	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
115C	2.213001	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
115C	2.213001	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	2.213001	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
149C	2.213001	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	2.213001	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	2.213001	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS1	2.213843	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS4	2.213843	ES	T.dicoccoides	drought	Td(EST)	EST
WT6	2.213843	AS	T.dicoccoides	drought	Td(AST)	AST
WS3	2.213843	ES	T.dicoccoides	drought	Td(EST)	EST
144T	2.214248	AS	H.spontaneum	drought	Hs(AST)	AST
 118C	2.217319	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	2.217319	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
148C	2.217319	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
150C	2.217319	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS4	2.226727	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS4	2.226727	ES	T.dicoccoides	drought	Td(EST)	EST
WS6	2.226727	ES	T.dicoccoides	drought	Td(EST)	EST
WS8	2.226727	ES	T.dicoccoides	drought	Td(EST)	EST
WT7	2.226727	AS	T.dicoccoides	drought	Td(AST)	AST
143C	2.227134	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
145C	2.227134	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
35C	2.230223	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	2.230223	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
148C	2.230223	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149C	2.230223	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149C	2.230223	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149C	2.230223	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114T	2.230223	ES	H.spontaneum	drought	Hs(EST)	EST
114T	2.230223	ES	H.spontaneum	drought	Hs(EST)	EST
119T	2.230223	ES	H.spontaneum	drought	Hs(EST)	EST
150T	2.230223	AS	H.spontaneum	drought	Hs(AST)	AST
WT7	2.231005	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
146C	2.231413	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114T	2.234508	ES	H.spontaneum	drought	Hs(EST)	EST
120T	2.234508	ES	H.spontaneum	drought	Hs(EST)	EST
WS1	2.248036	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	2.248036	ES	T.dicoccoides	drought	Td(EST)	EST
WT6	2.248036	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
141T	2.248447	AS	H.spontaneum	drought	Hs(AST)	AST
147C	2.251566	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
147C	2.251566	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
148C	2.251566	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149C	2.251566	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149T	2.251566	AS	H.spontaneum	drought	Hs(AST)	AST
WS8	2.264939	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS1	2.277533	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	2.277533	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
124C	2.27795	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
115C	2.28111	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
122C	2.28111	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121T	2.28111	ES	H.spontaneum	drought	Hs(EST)	EST
WS1	2.285891	ES	T.dicoccoides	drought	Td(EST)	EST
WS6	2.285891	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	2.285891	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WS8	2.314906	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
124C	2.31533	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
143C	2.31533	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
35C	2.318541	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
35C	2.318541	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114C	2.318541	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS10	2.335165	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	2.347628	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS3	2.347628	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
124C	2.348057	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114C	2.351314	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
115C	2.351314	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
115C	2.351314	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	2.351314	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	2.351314	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114T	2.351314	ES	H.spontaneum	drought	Hs(EST)	EST
114T	2.351314	ES	H.spontaneum	drought	Hs(EST)	EST
120T	2.351314	ES	H.spontaneum	drought	Hs(EST)	EST
122T	2.351314	ES	H.spontaneum	drought	Hs(EST)	EST
WS9	2.351686	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	2.351686	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WS3	2.351686	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
142C	2.352116	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
119C	2.355378	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	2.355378	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	2.355378	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	2.355378	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
150C	2.355378	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	2.355378	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
121T	2.355378	ES	H.spontaneum	drought	Hs(EST)	EST
122T	2.355378	ES	H.spontaneum	drought	Hs(EST)	EST
123T	2.355378	ES	H.spontaneum	drought	Hs(EST)	EST
149T	2.355378	AS	H.spontaneum	drought	Hs(AST)	AST
WS6	2.359781	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS8	2.359781	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS8	2.359781	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	2.359781	ES	T.dicoccoides	drought	Td(EST)	EST
146T	2.360213	AS	H.spontaneum	drought	Hs(AST)	AST
146T	2.360213	AS	H.spontaneum	drought	Hs(AST)	AST
