file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_SM_AS17.vcf	19337815	392043	18945772	0.000179186520804076	0.000226756577677236	0.000178202158287377	205197.133333106	64954.1282902885	0.000228913420361403	0.000405397518432111	0.00446401977939117	0.0162384453394866	-0.0339493280141446	0.396836936573543	0.413875699184906	0.000169955995339411	96845	0.039418313644701	2127	0.0338133706675829	94718
temp_vcf4_SM_AS19.vcf	19337815	392043	18945772	0.000206092540791821	0.000294552772802041	0.000204262041895393	203929.617261665	63872.2067649639	0.00022087654615569	0.000386206150804845	0.0054617906668885	0.0220561491292416	-0.0230657410918287	0.347919230013659	0.373967505765286	0.000197718604335373	121964	0.0402419701889199	2750	0.0311438285325223	119214
temp_vcf4_SM_AS22.vcf	19337815	392043	18945772	0.000237031608012998	0.000343954583157394	0.000234819061385469	204180.087809192	63926.6851513131	0.00023261062341593	0.000388338526574207	0.00554322319785966	0.0227696286607195	-0.0238391094805442	0.352327151675525	0.412454559708701	0.000225243015070073	123425	0.0455969705247962	2828	0.0350486290937849	120597
temp_vcf4_SM_AS25.vcf	19337815	392043	18945772	0.000215200092234072	0.00033677555330911	0.000212684343153685	204105.856995758	63923.1070633603	0.000206698562342865	0.000359230774865313	0.00550610062593062	0.0224597224505596	-0.0237090421975093	0.371878264777882	0.396839167725241	0.000204394453488459	122705	0.0456206497824414	2774	0.0319015971357651	119931
temp_vcf4_SM_AS30.vcf	19337815	392043	18945772	0.000217869868032697	0.000305007275316743	0.00021606674221846	204003.219752913	63887.5176773171	0.000239514090209895	0.000400517827731112	0.00550280936412049	0.0218706458880775	-0.0236093394687672	0.3810808699791	0.384718830143784	0.000205109566252476	121769	0.0422579145105339	2711	0.0323523798542102	119058
temp_vcf4_SM_AS40.vcf	19337815	392043	18945772	6.25678150943384e-06	0	6.38625247495074e-06	198437	62443.0000000001	0	0	2.51969138819877e-05	0.000176160658520571	-0.00148221343873518	*	*	5.69271934743469e-06	4048	0	39	0.0274594047362466	4009
temp_vcf4_SM_AS47.vcf	19337815	392043	18945772	0.000262999412500424	0.000257604051999929	0.000263111058165573	207939.540311591	65097.1729292704	9.87539392136237e-05	0.000143719999236304	0.00536445228713686	0.0187757122271592	-0.0376949536212383	0.311560217639785	0.34187692320631	0.000247290006919675	109635	0.0387481171082699	2452	0.0437293042927697	107183
temp_vcf4_SM_AS50.vcf	19337815	392043	18945772	0.000264089604487255	0.000292616860214876	0.000263499292785139	209059.754486418	65358.3988677324	9.54587464000959e-05	0.000108648047919162	0.00550448548084794	0.0186515191512663	-0.038766212522816	0.336043622560318	0.380556154185768	0.000250825266149482	112602	0.0423945793306897	2546	0.0430914806566523	110056
temp_vcf4_SM_AS7.vcf	19337815	392043	18945772	0.000222984444750309	0.000306666849241079	0.000221252812969679	201125.520071099	63272.6149077375	0.000288960106973835	0.000321349032351073	0.00420218703420509	0.0167504890472028	-0.0164658249862552	0.369100201817289	0.374511332131662	0.000213283053768577	101154	0.0457433783958128	2536	0.0406459574195382	98618
